FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000014	0.00437241	0.193168	7.31362e-14	0.00828054	0.918307	0.000123565	0.718098	0.219787	6.54672e-17	0.476268	0.0586306	0.134183	0.000363401	0.131993	N/A	0.201908	8.62585e-06	0.0935165	0.846196	0.850456	0.245535	0.889683	3.87107e-06	0.117546	8.89777e-05	0.0810728	0.617027
OG0000015	1.10377e-27	0.00465133	2.36057e-28	6.90857e-12	1.33358e-30	6.53018e-10	8.41795e-05	0.143801	0.000526654	0.020593	0.832534	0.0219259	0.0220403	0.883907	N/A	0.0917303	0.0015384	0.0317649	6.07185e-06	0.127627	4.70385e-06	0.00447506	0.00610163	0.0598573	0.879151	0.828482	0.273976
OG0000020	4.2494e-16	0.0188344	2.29211e-11	0.609214	0.918307	0.0186499	0.000653985	0.0441164	0.406598	0.57455	0.223589	0.000947212	0.695554	0.626812	N/A	0.000729546	2.28104e-05	0.112173	0.393038	0.86498	0.280655	0.266216	0.131296	0.908519	0.352126	0.244875	0.289354
OG0000021	4.13785e-12	0.166864	0.047218	0.438451	0.103983	0.00177052	0.234654	0.297039	0.000110964	0.115429	0.0537754	5.76247e-05	0.218591	0.338212	N/A	0.000404383	2.53372e-06	0.245535	0.851709	0.602048	0.7846	0.885899	0.0441286	0.521913	7.04659e-06	0.0182326	0.928545
OG0000023	8.17457e-12	0.0418284	0.00308393	2.01585e-05	4.11599e-11	3.43594e-05	0.000875911	0.023523	0.000976607	0.019909	0.299244	0.491444	5.43221e-09	0.0663093	N/A	1.64867e-07	0.3161	0.7846	0.36551	0.855789	0.792074	0.495837	0.279313	0.270142	0.323386	0.693326	0.748562
OG0000025	3.32274e-13	0.408761	1.54863e-06	0.00839201	3.91789e-06	6.62015e-06	0.0889587	0.154227	7.58414e-06	0.71628	0.400245	1.83992e-05	0.308421	6.2833e-08	N/A	0.000208497	0.0730049	0.776488	0.840067	0.844521	0.776488	0.881685	0.0387004	0.241042	0.0361771	0.497177	0.261122
OG0000029	1.30995e-06	0.209332	0.00460751	0.0331448	0.775394	0.16989	0.0158946	0.31416	0.698071	0.90695	0.208074	5.396e-05	0.218591	0.384348	N/A	0.00754852	1.43357e-05	0.102853	0.130021	0.86498	0.280655	0.899078	0.0190077	0.146884	0.338179	0.230219	0.275594
OG0000042	5.19268e-12	0.855912	1.5899e-15	0.123151	1.6967e-07	4.21137e-07	4.12576e-11	0.014543	0.875018	0.773282	0.00516934	2.385e-16	0.0220403	0.475215	N/A	0.0917303	0.0015384	0.118183	0.000172252	0.830405	0.084201	0.467507	0.0019909	0.0565399	0.0538422	0.0927946	0.000765545
OG0000046	7.34847e-07	3.06026e-05	0.32009	3.15074e-10	0.000733971	0.0245559	0.469564	0.424703	0.424703	0.262306	0.380949	0.668157	0.00468585	0.00011291	N/A	0.00120671	0.788471	0.73611	0.0715359	0.328185	0.767667	0.451581	0.856044	0.679837	0.351517	0.425624	0.904189
OG0000047	2.44708e-16	0.000478717	1.54863e-06	0.000364534	0.795244	0.121859	0.007128	1.52592e-10	1.65884e-26	0.403376	0.0100461	0.000931809	0.0220403	0.883907	N/A	0.0917303	1.42523e-05	0.0481275	0.28125	0.821942	0.747573	0.0870663	0.856044	4.69664e-06	0.0533153	0.377996	0.157599
