FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000014	-4	-2	27	7	0	-11	-2	-5	46	-2	5	5	-8	4	0	1	6	2	0	0	1	0	-8	3	11	3	1
OG0000015	-26	7	57	-20	56	-17	17	3	-7	-3	0	6	-4	-1	0	1	3	2	7	2	7	7	-6	5	0	0	-2
OG0000020	-17	5	25	1	0	-8	15	7	-3	1	-3	14	-2	-2	0	4	6	2	1	0	1	2	-3	0	2	2	-3
OG0000021	-12	2	5	-2	4	-9	4	4	18	4	-5	19	-4	-3	0	4	7	1	0	-1	0	0	-3	1	13	5	0
OG0000023	-13	4	8	-10	22	-12	14	-7	12	-5	2	2	33	-5	0	8	1	0	1	0	0	1	-2	2	2	-1	-1
OG0000025	-12	1	14	-6	13	-12	6	-5	18	-1	-2	18	3	26	0	5	2	0	0	0	0	0	-3	2	5	1	-3
OG0000029	-9	2	8	6	-1	-5	10	3	1	0	-3	17	-4	-3	0	3	6	2	2	0	1	0	-4	3	2	2	-3
OG0000042	-11	0	29	-4	16	-12	31	-4	0	0	-3	38	-4	-2	0	1	3	1	5	0	2	1	-5	4	-3	2	-6
OG0000046	-9	9	2	-12	8	7	2	-2	-2	2	-2	1	11	15	0	4	0	0	2	1	0	1	0	-1	-2	1	0
OG0000047	-15	7	14	-4	0	4	9	-15	56	1	-4	11	-4	-1	0	1	5	2	1	0	0	3	0	-8	4	1	-3
OG0000048	-9	6	-1	0	5	-8	0	8	2	1	-1	11	-5	-1	0	2	5	1	0	0	0	-2	-1	6	7	5	2
OG0000051	-5	-1	11	15	9	-9	10	-1	0	-1	0	-2	18	-3	0	1	0	1	5	1	3	-1	-9	26	-1	-2	-1
OG0000052	-9	0	10	-1	10	-3	1	-4	3	-2	1	20	-5	-1	0	2	5	1	1	0	1	0	-3	5	0	3	-1
OG0000053	-8	1	2	-3	9	-9	10	-9	16	-5	5	6	18	6	0	4	1	0	0	-2	0	-1	-1	1	1	1	1
OG0000055	-13	1	45	-4	3	-7	15	2	-3	1	-3	8	-4	-2	0	1	5	1	3	0	1	4	-4	0	0	0	-1
OG0000060	-6	0	6	3	-4	-2	7	9	-5	0	5	1	10	1	0	4	0	0	0	-1	0	0	-3	0	2	3	4
OG0000061	-5	1	8	-2	2	-5	7	-3	6	0	-1	12	-6	13	0	0	4	0	0	0	0	1	-2	1	1	2	1
OG0000066	-3	0	1	-6	50	-5	5	-10	53	3	-1	-4	2	-3	0	1	0	1	1	0	0	-2	-2	8	4	-1	0
OG0000067	-9	6	2	-9	14	-8	7	-7	2	-5	13	8	8	-2	0	4	1	0	0	0	0	0	0	0	-2	6	4
OG0000068	-2	0	1	15	-4	8	-6	-7	22	0	-2	-2	13	50	0	0	0	0	0	1	0	-2	-4	3	2	-3	-1
OG0000069	-4	11	-4	-4	3	1	1	28	-6	1	1	0	-2	3	0	1	2	0	0	0	0	-1	1	0	4	0	2
OG0000070	-6	16	-4	-5	15	-3	4	6	-1	0	0	2	-6	1	0	1	3	1	1	0	0	-1	1	3	3	1	2
OG0000072	-3	-1	16	0	3	-4	0	10	-4	-4	8	6	-6	2	0	0	4	1	0	0	0	0	-4	1	1	3	1
OG0000074	-3	3	-3	1	1	-5	8	2	5	-3	7	-2	2	15	0	2	1	0	0	-1	0	-3	0	3	5	0	2
OG0000075	-5	0	6	4	1	-3	0	7	-3	0	0	1	10	-2	0	3	1	0	1	0	1	0	-1	4	1	0	-1
OG0000077	-9	4	1	2	2	-5	5	5	-4	-1	1	8	4	2	0	2	1	0	1	0	0	-1	-1	5	0	2	-1
OG0000080	-8	0	12	0	3	-9	3	-1	5	0	-5	14	5	-4	0	4	2	0	0	0	1	0	-2	1	3	0	-3
OG0000083	-1	-2	3	3	1	-6	9	6	-1	1	-2	8	-7	6	0	1	3	0	1	0	0	-1	-3	3	3	1	-1
OG0000085	-5	1	3	6	0	-4	-3	2	5	-3	3	1	-6	5	0	0	3	1	0	0	2	0	0	3	5	0	0
OG0000086	-3	1	16	0	-1	-4	-1	-2	-2	-2	2	13	0	9	0	0	1	0	0	1	1	4	-1	0	-5	4	0
OG0000090	2	1	-1	0	4	-2	1	1	-2	0	1	-2	-6	2	0	1	2	0	2	2	2	1	2	2	0	0	2
OG0000091	-8	7	0	-9	22	-7	13	-6	3	0	9	2	-3	-1	0	1	3	0	1	0	0	0	0	1	-1	6	9
OG0000093	-3	-1	19	-4	2	-4	3	7	5	-2	0	30	-2	-1	0	1	3	0	0	0	0	1	-4	0	8	0	-5
OG0000095	-7	2	8	2	-1	-4	6	-4	2	-1	3	0	9	-1	0	3	0	0	1	0	1	1	-2	1	0	1	0
OG0000096	-4	1	-2	0	8	-6	12	-6	6	-2	3	2	16	-4	0	4	0	0	1	-1	0	-4	0	6	0	2	0
OG0000097	-9	0	74	-3	0	-5	5	-3	6	0	-2	-1	-2	19	0	0	0	0	1	0	0	7	-3	0	0	-2	0
OG0000098	-6	0	29	50	-14	-8	11	4	-4	0	0	0	-1	-1	0	0	0	2	4	1	2	2	-3	3	0	-2	0
OG0000099	-1	-1	4	2	0	-2	2	1	-1	1	0	7	-4	-1	0	1	5	0	1	1	0	0	-2	3	0	3	2
OG0000100	-1	3	-1	0	1	-2	0	1	-2	0	0	1	1	3	0	2	0	0	2	1	1	1	2	2	0	0	0
OG0000101	1	2	-1	0	1	-3	0	1	-3	0	1	1	2	-2	0	2	1	0	2	1	1	1	3	2	0	1	0
OG0000102	2	0	-2	4	0	-2	-1	1	-2	1	0	1	1	1	0	2	1	0	0	1	1	1	1	3	0	0	0
OG0000103	-8	3	5	-6	13	-8	16	-7	6	1	0	0	-6	19	0	0	1	0	1	0	0	1	-1	1	-1	0	1
OG0000105	-5	3	11	-6	10	-6	-2	1	6	-1	-1	15	-3	-2	0	1	3	1	0	1	1	3	-1	0	5	1	-2
OG0000106	-2	4	-2	4	-1	3	-1	3	-3	1	0	4	-1	1	0	1	2	0	1	0	0	-1	0	1	0	2	2
OG0000107	0	0	0	-7	18	4	-1	-7	43	8	-3	4	-2	-1	0	0	3	0	0	0	0	-6	-1	0	3	3	2
OG0000108	-4	5	5	-7	3	-3	0	14	-4	0	1	0	5	2	0	2	0	0	0	0	0	4	0	0	3	0	0
OG0000109	-16	12	24	1	-5	-8	18	-2	0	0	0	5	10	7	0	1	0	0	2	0	0	9	-1	-1	-4	-1	-5
OG0000111	-4	5	0	-4	1	0	7	-4	10	-1	4	5	-4	-1	0	0	4	0	0	0	0	0	0	-1	1	6	4
OG0000113	0	0	2	5	0	5	3	3	-3	1	0	-1	5	-1	0	3	1	0	0	0	0	-4	-6	4	0	0	3
OG0000120	-6	1	2	-4	2	-4	13	-7	11	-2	4	9	2	1	0	1	1	0	0	-2	0	0	0	0	0	5	2
OG0000126	-2	0	1	0	5	-2	2	3	-5	0	0	6	1	0	0	2	1	0	1	0	1	0	-1	4	-1	0	0
OG0000129	-1	1	-3	0	2	-1	4	0	2	7	-2	3	-3	0	0	1	3	0	0	0	0	-2	0	2	1	3	4
OG0000130	-9	13	3	-8	11	-5	4	0	-1	3	0	0	-2	-2	0	1	3	0	1	0	1	3	0	1	1	2	1
