FamilyID	Streptanthus<1>	Cam<2>	Spi<3>	Rsq<4>	Boh<5>	Tpa<6>	Tar<7>	Aal<8>	Dni<9>	Ath<10>	Aly<11>	Chi<12>	Esy<13>	Aar<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>
OG0000014	5	7	44	27	20	5	14	22	73	16	23	22	0	11	7	8	14	16	16	16	17	17	9	20	27	17	18
OG0000015	0	33	89	10	86	1	33	12	2	2	5	13	0	2	3	4	7	9	16	18	25	32	26	30	9	7	5
OG0000020	2	24	47	21	20	11	34	27	17	16	12	32	8	4	6	10	16	18	19	19	20	22	19	20	20	18	15
OG0000021	1	15	21	15	21	7	21	34	48	25	16	40	5	2	5	9	16	17	17	16	16	16	13	17	30	21	21
OG0000023	3	20	26	9	41	5	31	11	30	9	16	17	48	2	7	15	16	16	17	17	17	18	16	19	18	15	14
OG0000025	0	13	29	11	30	3	21	15	38	12	11	34	16	34	8	13	15	15	15	15	15	15	12	17	20	16	13
OG0000029	7	18	28	29	22	14	29	22	20	14	11	34	5	3	6	9	15	17	19	19	20	20	16	23	19	17	14
OG0000042	0	11	45	15	35	1	44	1	5	3	0	47	0	1	3	4	7	8	13	13	15	16	11	19	5	9	3
OG0000046	6	24	17	1	21	21	15	7	7	14	10	13	22	22	7	11	11	11	13	14	14	15	15	13	9	12	12
OG0000047	0	22	29	0	4	16	21	0	71	8	3	21	0	2	3	4	9	11	12	12	12	15	15	4	15	10	7
OG0000048	0	15	9	18	23	4	12	27	21	19	17	27	1	3	4	6	11	12	12	12	12	10	9	18	19	16	18
OG0000051	0	4	25	56	50	3	21	4	5	1	2	1	23	1	4	5	5	6	11	12	15	14	5	41	5	3	2
OG0000052	2	11	24	18	29	10	14	8	15	11	14	34	1	3	4	6	11	12	13	13	14	14	11	19	12	14	13
OG0000053	0	9	11	8	20	1	22	4	29	9	19	19	29	13	7	11	12	12	12	10	10	9	8	11	13	13	14
