#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000014	0.359276	2.56266e-118	6.33611e-56	4.04453e-63	N/S
OG0000014	1.64072	6.33611e-56	6.33611e-56	1	*
OG0000015	0.359276	1.51687e-233	1.72479e-108	8.79455e-126	N/S
OG0000015	1.64072	1.72479e-108	1.72479e-108	1	*
OG0000020	0.359276	4.53461e-92	8.13542e-49	5.57391e-44	N/S
OG0000020	1.64072	8.13542e-49	8.13542e-49	1	*
OG0000021	0.359276	2.05959e-86	1.72066e-44	1.19697e-42	N/S
OG0000021	1.64072	1.72066e-44	1.72066e-44	1	*
OG0000023	0.359276	2.49879e-116	1.70491e-55	1.46565e-61	N/S
OG0000023	1.64072	1.70491e-55	1.70491e-55	1	*
OG0000025	0.359276	3.70372e-109	9.88627e-55	3.74633e-55	N/S
OG0000025	1.64072	9.88627e-55	9.88627e-55	1	*
OG0000029	0.359276	1.13927e-62	1.26699e-34	8.99192e-29	N/S
OG0000029	1.64072	1.26699e-34	1.26699e-34	1	*
OG0000042	0.359276	1.13089e-153	1.09356e-69	1.03414e-84	N/S
OG0000042	1.64072	1.09356e-69	1.09356e-69	1	*
OG0000046	0.359276	4.73448e-70	1.147e-40	4.1277e-30	N/S
OG0000046	1.64072	1.147e-40	1.147e-40	1	*
OG0000047	0.359276	7.04175e-148	4.76464e-71	1.47792e-77	N/S
OG0000047	1.64072	4.76464e-71	4.76464e-71	1	*
OG0000048	0.359276	3.11567e-67	1.44504e-37	2.15612e-30	N/S
OG0000048	1.64072	1.44504e-37	1.44504e-37	1	*
OG0000051	0.359276	6.7956e-107	2.62109e-51	2.59266e-56	N/S
OG0000051	1.64072	2.62109e-51	2.62109e-51	1	*
OG0000052	0.359276	3.11751e-67	8.25787e-36	3.77519e-32	N/S
OG0000052	1.64072	8.25787e-36	8.25787e-36	1	*
OG0000053	0.359276	3.79891e-83	8.29268e-44	4.58104e-40	N/S
OG0000053	1.64072	8.29268e-44	8.29268e-44	1	*
OG0000055	0.359276	2.15356e-108	1.77605e-53	1.21256e-55	N/S
OG0000055	1.64072	1.77605e-53	1.77605e-53	1	*
OG0000060	0.359276	7.27051e-53	4.78652e-32	1.51895e-21	N/S
OG0000060	1.64072	4.78652e-32	4.78652e-32	1	*
OG0000061	0.359276	2.52277e-53	1.1875e-30	2.12445e-23	N/S
OG0000061	1.64072	1.1875e-30	1.1875e-30	1	*
OG0000066	0.359276	1.36579e-150	2.11036e-71	6.47182e-80	N/S
OG0000066	1.64072	2.11036e-71	2.11036e-71	1	*
OG0000067	0.359276	3.06868e-92	1.62321e-47	1.89049e-45	N/S
OG0000067	1.64072	1.62321e-47	1.62321e-47	1	*
OG0000068	0.359276	9.12353e-110	2.15047e-51	4.24258e-59	N/S
OG0000068	1.64072	2.15047e-51	2.15047e-51	1	*
OG0000069	0.359276	1.23836e-62	6.03796e-35	2.05096e-28	N/S
OG0000069	1.64072	6.03796e-35	6.03796e-35	1	*
OG0000070	0.359276	2.96953e-68	1.63893e-37	1.81187e-31	N/S
OG0000070	1.64072	1.63893e-37	1.63893e-37	1	*
OG0000072	0.359276	5.14454e-61	4.32951e-33	1.18825e-28	N/S
OG0000072	1.64072	4.32951e-33	4.32951e-33	1	*
OG0000074	0.359276	5.68777e-50	6.50204e-30	8.74767e-21	N/S
OG0000074	1.64072	6.50204e-30	6.50204e-30	1	*
OG0000075	0.359276	2.73492e-38	3.12245e-25	8.75888e-14	N/S
OG0000075	1.64072	3.12245e-25	3.12245e-25	1	*
OG0000077	0.359276	3.5532e-49	3.99767e-32	8.88816e-18	N/S
OG0000077	1.64072	3.99767e-32	3.99767e-32	1	*
OG0000080	0.359276	9.7532e-65	5.90292e-35	1.65227e-30	N/S
OG0000080	1.64072	5.90292e-35	5.90292e-35	1	*
OG0000083	0.359276	2.65854e-46	2.99722e-27	8.87003e-20	N/S
OG0000083	1.64072	2.99722e-27	2.99722e-27	1	*
OG0000085	0.359276	5.6624e-44	2.31063e-26	2.45059e-18	N/S
OG0000085	1.64072	2.31063e-26	2.31063e-26	1	*
OG0000086	0.359276	1.04023e-53	3.21337e-30	3.23719e-24	N/S
OG0000086	1.64072	3.21337e-30	3.21337e-30	1	*
OG0000090	0.359276	5.92427e-30	1.26156e-21	4.69601e-09	N/S
OG0000090	1.64072	1.26156e-21	1.26156e-21	1	*
OG0000091	0.359276	3.36676e-101	3.75159e-52	8.97424e-50	N/S
OG0000091	1.64072	3.75159e-52	3.75159e-52	1	*
OG0000093	0.359276	1.03654e-81	1.30682e-40	7.93179e-42	N/S
OG0000093	1.64072	1.30682e-40	1.30682e-40	1	*
OG0000095	0.359276	1.86699e-43	1.29358e-27	1.44327e-16	N/S
