Start	End	ACK
0	0	0
148080407	148078767	0
282061580	282063109	0
148078786	148080426	0
37551153	37552460	0
61509203	61510405	0
286559703	286557811	0
148078788	148080362	0
296592084	296589859	0
97235407	97233182	0
148080351	148078774	0
148078793	148080364	0
257971046	257972590	0
282063138	282061558	0
94633290	94635410	0
94635409	94633289	0
37551230	37552429	0
94633295	94635370	0
94635369	94633282	0
94633297	94635366	0
299285931	299288816	0
37552394	37551225	0
94635365	94633293	0
148080193	148078781	0
37551226	37552386	0
299288728	299285918	0
37552393	37551224	0
37552395	37551226	0
299288640	299285878	0
299285897	299288641	0
299288663	299285928	0
299285932	299288643	0
0	0	0
199691043	199692266	0
199691043	199692266	0
199378713	199380821	0
199378713	199380821	0
200204406	200203096	0
200241991	200240975	0
199848275	199849630	0
199848275	199849630	0
200204406	200203096	0
200194116	200195753	0
199402502	199403602	0
199402502	199403602	0
200073224	200075425	0
200194116	200195753	0
199091813	199092835	0
199146164	199147186	0
199169768	199170790	0
199209120	199210142	0
199224856	199225878	0
199240592	199241614	0
199271333	199272355	0
199323059	199324081	0
199330926	199331948	0
200043052	200044074	0
200088120	200089142	0
199011561	199012895	0
200076720	200075269	0
199667526	199670339	0
199011561	199012895	0
199417503	199418849	0
199417503	199418849	0
199054324	199056135	0
199054324	199056135	0
199021385	199022407	0
199029253	199030275	0
199044985	199046007	0
199060340	199061362	0
199068208	199069230	0
199076077	199077099	0
199083945	199084967	0
199106825	199107847	0
199114693	199115715	0
199122561	199123583	0
199130429	199131451	0
199138296	199139318	0
199154032	199155054	0
199161900	199162922	0
199177636	199178658	0
199185504	199186526	0
199193372	199194394	0
199201252	199202274	0
199216988	199218010	0
199232724	199233746	0
199248460	199249482	0
199256328	199257350	0
199279201	199280223	0
199287069	199288091	0
199294937	199295959	0
199302805	199303827	0
199346432	199347454	0
199370015	199371037	0
200072455	200073477	0
200103783	200104805	0
198993503	198994525	0
199001371	199002393	0
199017105	199018127	0
199021385	199022407	0
199029253	199030275	0
199044985	199046007	0
199060340	199061362	0
199068208	199069230	0
199076077	199077099	0
199083945	199084967	0
199106825	199107847	0
199114693	199115715	0
199122561	199123583	0
199130429	199131451	0
199138296	199139318	0
199154032	199155054	0
199161900	199162922	0
199177636	199178658	0
199185504	199186526	0
199193372	199194394	0
199201252	199202274	0
199216988	199218010	0
199232724	199233746	0
199248460	199249482	0
199256328	199257350	0
199279201	199280223	0
199287069	199288091	0
199294937	199295959	0
199302805	199303827	0
199346432	199347454	0
199370015	199371037	0
200072455	200073477	0
200103783	200104805	0
200076720	200075269	0
199754351	199755376	0
199754351	199755376	0
200194114	200195760	0
200194114	200195760	0
200144009	200146450	0
199417505	199418842	0
199848286	199849623	0
200105090	200107447	0
199667524	199670346	0
200073224	200075425	0
200241990	200240965	0
199323830	199326091	0
200105090	200107447	0
199054344	199056128	0
199667526	199670339	0
199417505	199418842	0
199848286	199849623	0
200241990	200240965	0
199667524	199670346	0
200075523	200073262	0
199900430	199903273	0
199607558	199609126	0
199607558	199609126	0
200144009	200146450	0
199323830	199326091	0
199900428	199903280	0
200075273	200076721	0
200076722	200075274	0
199054344	199056128	0
199607554	199609119	0
112584241	112585335	0
112584240	112585337	0
200075275	200076720	0
199692172	199690982	0
199607554	199609119	0
148080407	148078767	0
199900428	199903280	0
199900430	199903273	0
112585337	112584240	0
199779013	199780776	0
199393665	199395521	0
200203124	200204398	0
200075275	200076720	0
200076722	200075274	0
200075273	200076721	0
200075523	200073262	0
199692172	199690982	0
148078786	148080426	0
200076721	200075279	0
200203124	200204398	0
200187665	200188969	0
200073226	200075394	0
199682578	199684449	0
199046971	199045826	0
199408678	199410333	0
199946646	199949522	0
199779013	199780776	0
199797171	199793641	0
200107334	200105076	0
200073226	200075394	0
199675319	199676359	0
200242692	200243783	0
199961785	199964670	0
200088891	200091776	0
199682582	199684456	0
199393665	199395521	0
200076721	200075279	0
199513152	199516037	0
199544994	199547879	0
199779014	199780783	0
200105094	200107346	0
199682582	199684456	0
199467395	199470280	0
199568562	199571447	0
199326024	199323844	0
199797171	199793641	0
199885657	199887579	0
200242692	200243783	0
199046971	199045826	0
199482403	199485288	0
199659654	199662539	0
199755125	199758010	0
199977506	199980391	0
199682578	199684449	0
199264731	199267121	0
199378829	199380814	0
199084716	199087601	0
199209891	199212776	0
199272104	199274989	0
199303576	199306461	0
199315975	199318860	0
199347203	199350088	0
199362933	199365815	0
199385797	199388682	0
199459527	199462412	0
199490271	199493156	0
199697242	199700127	0
199747257	199750142	0
199762886	199765771	0
199816437	199819322	0
199938778	199941663	0
200081023	200083908	0
200128195	200131080	0
199946646	199949522	0
199793627	199797172	0
199957636	199958709	0
199326064	199323866	0
199061111	199063996	0
199123332	199126217	0
199131200	199134085	0
199139067	199141952	0
199154803	199157688	0
199170539	199173424	0
199225627	199228512	0
199295708	199298593	0
199355065	199357950	0
199445072	199447957	0
199498139	199501024	0
199614103	199616988	0
199705123	199708008	0
199710200	199713085	0
199785759	199788644	0
199824293	199827178	0
199854606	199857491	0
199930910	199933795	0
199985368	199988253	0
200014819	200017704	0
200022690	200025575	0
199961785	199964670	0
200088891	200091776	0
200144010	200146376	0
200105094	200107346	0
199544992	199547886	0
199395487	199393676	0
200187665	200188969	0
198994274	198997159	0
199002142	199005027	0
199022156	199025041	0
199030024	199032909	0
199068979	199071864	0
199076848	199079733	0
199092584	199095469	0
199107596	199110481	0
199115464	199118349	0
199146935	199149820	0
199162671	199165556	0
199178407	199181292	0
199186275	199189160	0
199194143	199197028	0
199202023	199204908	0
199217759	199220644	0
199233495	199236380	0
199241363	199244248	0
199249231	199252116	0
199279972	199282857	0
199287840	199290725	0
199331697	199334582	0
199521020	199523905	0
199591452	199594337	0
199621995	199624880	0
199513152	199516037	0
199544994	199547879	0
199887492	199885558	0
112585314	112584232	0
199326024	199323844	0
199670233	199667540	0
199513150	199516044	0
200081021	200083915	0
285987503	285985395	0
199380727	199378712	0
199467395	199470280	0
199568562	199571447	0
37551153	37552460	0
199957636	199958709	0
157708001	157706973	0
200105212	200107440	0
199885658	199887586	0
199131198	199134092	0
199482401	199485295	0
199659652	199662546	0
199755123	199758017	0
199816435	199819329	0
199946644	199949529	0
200144010	200146376	0
200036586	200038859	0
199482403	199485288	0
199659654	199662539	0
199755125	199758010	0
199977506	199980391	0
200243782	200242718	0
200036600	200038852	0
199885657	199887579	0
199697240	199700134	0
199747255	199750149	0
199785757	199788651	0
199938776	199941670	0
199961783	199964677	0
199969639	199972530	0
199977504	199980398	0
200128193	200131087	0
199544992	199547886	0
200201606	200203123	0
199670253	199667596	0
199410253	199408694	0
199996115	199993245	0
199885658	199887586	0
199793625	199797173	0
199084716	199087601	0
199209891	199212776	0
199272104	199274989	0
199303576	199306461	0
199315975	199318860	0
199347203	199350088	0
199362933	199365815	0
199385797	199388682	0
199459527	199462412	0
199490271	199493156	0
199697242	199700127	0
199747257	199750142	0
199762886	199765771	0
199816437	199819322	0
199938778	199941663	0
200081023	200083908	0
200128195	200131080	0
199887492	199885558	0
199797173	199793697	0
200036586	200038859	0
199793627	199797172	0
199315973	199318867	0
199355063	199357957	0
199490269	199493163	0
199762884	199765778	0
199824291	199827185	0
199854604	199857498	0
199862472	199865366	0
200022688	200025582	0
200088889	200091783	0
199513150	199516044	0
200081021	200083915	0
199264731	199267121	0
199675319	199676341	0
200204386	200203124	0
199380727	199378712	0
199378829	199380814	0
199061111	199063996	0
199123332	199126217	0
199131200	199134085	0
199139067	199141952	0
199154803	199157688	0
199170539	199173424	0
199225627	199228512	0
199295708	199298593	0
199355065	199357950	0
199445072	199447957	0
199498139	199501024	0
199614103	199616988	0
199705123	199708008	0
199710200	199713085	0
199785759	199788644	0
199824293	199827178	0
199854606	199857491	0
199930910	199933795	0
199985368	199988253	0
200014819	200017704	0
200022690	200025575	0
199395487	199393676	0
199061109	199064003	0
199068977	199071871	0
199084714	199087608	0
199115462	199118356	0
199139065	199141959	0
199154801	199157695	0
199209889	199212783	0
199272102	199274996	0
199295706	199298600	0
199331695	199334589	0
199347201	199350095	0
199362931	199365822	0
199385795	199388689	0
199445070	199447964	0
199459525	199462419	0
199467393	199470287	0
199498137	199501031	0
199521018	199523912	0
199591450	199594344	0
199614101	199616995	0
199621993	199624887	0
199705121	199708015	0
199710198	199713092	0
199930908	199933802	0
199985366	199988260	0
200014817	200017711	0
199131198	199134092	0
199482401	199485295	0
199659652	199662546	0
199755123	199758017	0
199816435	199819329	0
199946644	199949529	0
199037121	199040780	0
199670233	199667540	0
200243782	200242718	0
198994274	198997159	0
199002142	199005027	0
199022156	199025041	0
199030024	199032909	0
199068979	199071864	0
199076848	199079733	0
199092584	199095469	0
199107596	199110481	0
199115464	199118349	0
199146935	199149820	0
199162671	199165556	0
199178407	199181292	0
199186275	199189160	0
199194143	199197028	0
199202023	199204908	0
199217759	199220644	0
199233495	199236380	0
199241363	199244248	0
199249231	199252116	0
199279972	199282857	0
199287840	199290725	0
199331697	199334582	0
199521020	199523905	0
199591452	199594337	0
199621995	199624880	0
199326064	199323866	0
148078788	148080362	0
329873169	329872105	0
199793625	199797173	0
198994272	198997166	0
199002140	199005034	0
199022154	199025048	0
199030022	199032916	0
199076846	199079740	0
199092582	199095476	0
199107594	199110488	0
199123330	199126224	0
199146933	199149827	0
199162669	199165563	0
199170537	199173431	0
199178405	199181299	0
199186273	199189167	0
199194141	199197035	0
199202021	199204915	0
199217757	199220651	0
199225625	199228519	0
199233493	199236387	0
199241361	199244255	0
199249229	199252123	0
199279970	199282864	0
199287838	199290732	0
199303574	199306468	0
199568560	199571454	0
199697240	199700134	0
199785757	199788651	0
199938776	199941670	0
199961783	199964677	0
199969639	199972530	0
199977504	199980398	0
200128193	200131087	0
199903187	199900500	0
200204386	200203124	0
199797172	199793663	0
200105212	200107440	0
199797173	199793697	0
199315973	199318867	0
199355063	199357957	0
199490269	199493163	0
199762884	199765778	0
199824291	199827185	0
199854604	199857498	0
199862472	199865366	0
200022688	200025582	0
200088889	200091783	0
199996115	199993245	0
199670253	199667596	0
199037121	199040780	0
199833740	199832175	0
200036600	200038852	0
199061109	199064003	0
199068977	199071871	0
199084714	199087608	0
199115462	199118356	0
199139065	199141959	0
199154801	199157695	0
199209889	199212783	0
199272102	199274996	0
199295706	199298600	0
199331695	199334589	0
199347201	199350095	0
199362931	199365822	0
199385795	199388689	0
199445070	199447964	0
199459525	199462419	0
199467393	199470287	0
199498137	199501031	0
199521018	199523912	0
199591450	199594344	0
199614101	199616995	0
199621993	199624887	0
199705121	199708015	0
199710198	199713092	0
199747255	199750149	0
199930908	199933802	0
199985366	199988260	0
200014817	200017711	0
200203122	200201620	0
199418756	199417503	0
199903167	199900444	0
296293808	296296033	0
200194112	200195659	0
199410253	199408694	0
199896108	199892575	0
200195667	200194117	0
199403610	199402564	0
198994272	198997166	0
199002140	199005034	0
199022154	199025048	0
199030022	199032916	0
199076846	199079740	0
199092582	199095476	0
199107594	199110488	0
199123330	199126224	0
199146933	199149827	0
199162669	199165563	0
199170537	199173431	0
199178405	199181299	0
199186273	199189167	0
199194141	199197035	0
199202021	199204915	0
199217757	199220651	0
199225625	199228519	0
199233493	199236387	0
199241361	199244255	0
199249229	199252123	0
199279970	199282864	0
199287838	199290732	0
199303574	199306468	0
199568560	199571454	0
199793698	199797171	0
199770754	199771878	0
199553038	199555734	0
199038113	199040773	0
199797172	199793663	0
199670252	199667562	0
199583618	199586437	0
148080351	148078774	0
200204405	200203122	0
200204405	200203122	0
200243789	200242731	0
115428422	115430689	0
200194112	200195659	0
199903187	199900500	0
199609013	199607499	0
199418756	199417503	0
200195667	200194117	0
200201606	200203123	0
148078793	148080364	0
199609033	199607546	0
199560893	199563589	0
199692173	199691055	0
199793698	199797171	0
199012809	199011574	0
199555648	199552088	0
199896108	199892575	0
200188920	200187679	0
199323901	199326042	0
199892561	199896109	0
199264747	199267128	0
199609013	199607499	0
199903167	199900444	0
200243789	200242731	0
199849537	199848284	0
199833740	199832175	0
199609033	199607546	0
199045756	199046904	0
199667597	199670245	0
199563503	199559943	0
199670252	199667562	0
200203122	200201620	0
115430427	115428424	0
199563502	199559864	0
199012809	199011574	0
199770754	199771878	0
199403610	199402564	0
199553038	199555734	0
199038113	199040773	0
199555647	199552009	0
199264747	199267128	0
199583618	199586437	0
199046903	199045770	0
199849537	199848284	0
199403609	199402545	0
11082779	11081358	0
199555648	199552088	0
200201655	200203160	0
199692173	199691055	0
199969712	199972498	0
200107334	200105130	0
199560893	199563589	0
199599321	199600649	0
199892561	199896109	0
199553036	199555741	0
199560891	199563596	0
281077923	281076310	0
200242735	200243784	0
200242735	200243784	0
199887493	199885634	0
199563503	199559943	0
199380728	199378827	0
199323901	199326042	0
199900501	199903179	0
199667597	199670245	0
199903186	199900466	0
199563502	199559864	0
200038765	200036501	0
200107354	200105195	0
199892559	199896110	0
199403609	199402545	0
199896110	199892631	0
199046934	199045792	0
199045756	199046904	0
199600648	199599335	0
199682547	199684355	0
200075300	200073240	0
199555647	199552009	0
199045754	199046905	0
199675317	199676345	0
200188920	200187679	0
200195647	200194115	0
199691074	199689446	0
199770752	199771879	0
200187663	200188916	0
199949416	199946660	0
200195666	200194116	0
199408680	199410230	0
200195666	200194116	0
199689432	199691066	0
200038766	200036589	0
199012808	199011552	0
199848270	199849529	0
199012808	199011552	0
199267035	199264723	0
200146283	200144010	0
200043823	200046312	0
199553036	199555741	0
199560891	199563596	0
199892559	199896110	0
199969712	199972498	0
200195647	200194115	0
199700041	199697282	0
199691056	199692165	0
199691056	199692165	0
199403590	199402565	0
199832161	199833702	0
200130974	200128188	0
199896110	199892631	0
199780690	199779014	0
199900501	199903179	0
199583637	199586444	0
200201655	200203160	0
200091670	200088905	0
199571341	199568576	0
199515931	199513166	0
199903186	199900466	0
200107354	200105195	0
199380728	199378827	0
199887493	199885634	0
199599319	199600659	0
200143993	200146275	0
199848270	199849529	0
199607547	199609025	0
329872109	329873134	0
199896109	199892597	0
199684363	199682582	0
199046903	199045770	0
199056042	199054387	0
199972458	199969711	0
199849536	199848268	0
200282627	200283895	0
199849536	199848268	0
200075300	200073240	0
199964564	199961799	0
199757904	199755139	0
199418755	199417490	0
199418755	199417490	0
200091690	200088961	0
199682547	199684355	0
199780690	199779014	0
199267015	199264712	0
199969641	199972433	0
199417504	199418748	0
200038766	200036589	0
199267035	199264723	0
199403590	199402565	0
200025469	200022704	0
200017598	200014833	0
199972420	199969655	0
