Orthogroup	S_parvula	S_diversifolius
OG0000007	Sp3g26150	Sdiv_ptg000243l_0003-R, Sdiv_ptg000042l_0007-R, Sdiv_ptg000280l_0005-R, Sdiv_ptg000608l_0003-R, Sdiv_ptg001093l_0006-R, Sdiv_ptg000912l_0003-R, Sdiv_ptg000171l_0001-R, Sdiv_ptg000778l_0001-R, Sdiv_ptg000858l_0002-R, Sdiv_ptg000322l_0006-R, Sdiv_ptg001014l_0004-R, Sdiv_ptg000658l_0001-R, Sdiv_ptg000809l_0007-R, Sdiv_ptg000612l_0003-R, Sdiv_ptg000433l_0006-R, Sdiv_ptg000105l_0003-R, Sdiv_ptg000465l_0006-R, Sdiv_ptg000282l_0007-R, Sdiv_ptg000951l_0002-R, Sdiv_ptg000766l_0001-R, Sdiv_ptg000761l_0002-R, Sdiv_ptg000665l_0003-R, Sdiv_ptg000820l_0006-R, Sdiv_ptg000934l_0001-R, Sdiv_ptg001174l_0004-R, Sdiv_ptg000339l_0003-R, Sdiv_ptg000397l_0001-R, Sdiv_ptg000844l_0005-R, Sdiv_ptg000282l_0008-R, Sdiv_ptg000298l_0005-R, Sdiv_ptg000539l_0003-R, Sdiv_ptg000285l_0004-R, Sdiv_ptg000933l_0005-R, Sdiv_ptg000599l_0004-R, Sdiv_ptg001111l_0003-R, Sdiv_ptg001146l_0001-R, Sdiv_ptg000783l_0001-R, Sdiv_ptg000778l_0002-R, Sdiv_ptg000243l_0002-R, Sdiv_ptg000280l_0004-R, Sdiv_ptg000738l_0005-R, Sdiv_ptg000738l_0006-R, Sdiv_ptg000545l_0003-R, Sdiv_ptg000935l_0003-R, Sdiv_ptg000771l_0001-R, Sdiv_ptg000912l_0002-R, Sdiv_ptg000252l_0007-R, Sdiv_ptg000935l_0004-R, Sdiv_ptg000322l_0007-R, Sdiv_ptg000660l_0001-R, Sdiv_ptg000442l_0001-R, Sdiv_ptg000738l_0004-R, Sdiv_ptg000951l_0001-R, Sdiv_ptg000766l_0002-R, Sdiv_ptg000809l_0008-R, Sdiv_ptg000665l_0002-R, Sdiv_ptg000735l_0006-R, Sdiv_ptg000612l_0002-R, Sdiv_ptg000220l_0002-R, Sdiv_ptg000323l_0001-R, Sdiv_ptg000658l_0002-R, Sdiv_ptg000156l_0001-R, Sdiv_ptg000743l_0001-R, Sdiv_ptg000017l_0006-R, Sdiv_ptg000046l_0003-R, Sdiv_ptg000021l_0002-R, Sdiv_ptg000073l_0003-R, Sdiv_ptg000036l_0002-R, Sdiv_ptg000060l_0004-R, Sdiv_ptg000631l_0002-R, Sdiv_ptg000866l_0001-R, Sdiv_ptg000518l_0001-R, Sdiv_ptg000801l_0002-R, Sdiv_ptg000547l_0002-R, Sdiv_ptg000193l_0001-R, Sdiv_ptg001161l_0001-R, Sdiv_ptg001081l_0004-R, Sdiv_ptg000937l_0002-R, Sdiv_ptg000899l_0001-R, Sdiv_ptg000712l_0007-R, Sdiv_ptg000236l_0004-R, Sdiv_ptg000370l_0001-R, Sdiv_ptg000605l_0002-R, Sdiv_ptg000696l_0001-R, Sdiv_ptg000947l_0007-R, Sdiv_ptg000964l_0007-R, Sdiv_ptg000725l_0002-R, Sdiv_ptg000544l_0001-R, Sdiv_ptg000360l_0003-R, Sdiv_ptg000826l_0002-R, Sdiv_ptg000672l_0002-R, Sdiv_ptg000692l_0004-R, Sdiv_ptg000857l_0007-R, Sdiv_ptg000401l_0003-R, Sdiv_ptg000685l_0001-R, Sdiv_ptg001124l_0002-R, Sdiv_ptg000666l_0003-R, Sdiv_ptg000437l_0001-R, Sdiv_ptg000602l_0001-R, Sdiv_ptg000794l_0007-R, Sdiv_ptg000318l_0002-R, Sdiv_ptg000546l_0001-R, Sdiv_ptg000596l_0003-R, Sdiv_ptg000736l_0001-R, Sdiv_ptg000583l_0002-R, Sdiv_ptg000611l_0001-R, Sdiv_ptg000790l_0001-R, Sdiv_ptg001131l_0001-R, Sdiv_ptg001100l_0002-R, Sdiv_ptg000664l_0002-R, Sdiv_ptg000651l_0006-R, Sdiv_ptg001067l_0005-R, Sdiv_ptg000554l_0007-R, Sdiv_ptg000391l_0001-R, Sdiv_ptg000237l_0001-R, Sdiv_ptg000299l_0006-R, Sdiv_ptg000340l_0004-R, Sdiv_ptg000804l_0002-R, Sdiv_ptg001044l_0003-R, Sdiv_ptg000601l_0001-R, Sdiv_ptg000532l_0003-R, Sdiv_ptg001162l_0003-R, Sdiv_ptg000432l_0001-R, Sdiv_ptg000679l_0005-R, Sdiv_ptg000800l_0001-R, Sdiv_ptg000513l_0005-R, Sdiv_ptg000646l_0006-R, Sdiv_ptg001155l_0001-R, Sdiv_ptg000749l_0002-R, Sdiv_ptg000757l_0007-R, Sdiv_ptg000540l_0002-R, Sdiv_ptg000730l_0003-R, Sdiv_ptg000418l_0002-R, Sdiv_ptg000274l_0001-R, Sdiv_ptg000446l_0001-R, Sdiv_ptg000293l_0006-R, Sdiv_ptg000900l_0001-R, Sdiv_ptg000869l_0002-R, Sdiv_ptg000300l_0003-R, Sdiv_ptg000673l_0002-R, Sdiv_ptg000383l_0005-R, Sdiv_ptg000942l_0002-R, Sdiv_ptg001017l_0002-R, Sdiv_ptg000443l_0006-R, Sdiv_ptg000505l_0001-R, Sdiv_ptg001016l_0002-R, Sdiv_ptg000619l_0002-R, Sdiv_ptg000811l_0001-R, Sdiv_ptg000484l_0002-R, Sdiv_ptg000346l_0002-R, Sdiv_ptg000526l_0002-R, Sdiv_ptg000493l_0003-R, Sdiv_ptg000363l_0002-R, Sdiv_ptg000421l_0002-R, Sdiv_ptg000355l_0001-R, Sdiv_ptg000798l_0001-R, Sdiv_ptg000840l_0002-R, Sdiv_ptg000864l_0001-R, Sdiv_ptg001019l_0008-R, Sdiv_ptg000689l_0004-R, Sdiv_ptg000311l_0005-R, Sdiv_ptg000361l_0002-R, Sdiv_ptg000628l_0002-R, Sdiv_ptg000896l_0002-R, Sdiv_ptg001175l_0002-R, Sdiv_ptg001036l_0001-R, Sdiv_ptg000835l_0002-R, Sdiv_ptg000462l_0003-R, Sdiv_ptg000240l_0006-R, Sdiv_ptg000566l_0003-R, Sdiv_ptg001139l_0001-R, Sdiv_ptg000244l_0002-R, Sdiv_ptg000654l_0002-R, Sdiv_ptg000803l_0002-R, Sdiv_ptg000217l_0002-R, Sdiv_ptg000149l_0003-R, Sdiv_ptg000198l_0004-R, Sdiv_ptg000177l_0006-R, Sdiv_ptg000197l_0001-R, Sdiv_ptg000162l_0002-R, Sdiv_ptg000165l_0002-R, Sdiv_ptg000210l_0002-R, Sdiv_ptg000201l_0001-R, Sdiv_ptg000192l_0004-R, Sdiv_ptg000139l_0006-R, Sdiv_ptg000135l_0003-R, Sdiv_ptg000126l_0002-R, Sdiv_ptg000118l_0011-R, Sdiv_ptg000086l_0007-R, Sdiv_ptg000104l_0006-R, Sdiv_ptg000051l_0001-R
OG0000029	Sp2g02590, Sp2g02580	Sdiv_ptg000012l_2202-R
OG0000029	Sp2g02560	Sdiv_ptg000007l_0368-R
OG0000029	Sp2g02110, Sp2g02100, Sp7g03520, Sp2g02550	Sdiv_ptg000007l_0165-R
OG0000036	Sp7g18980	Sdiv_ptg000004l_1038-R, Sdiv_ptg000005l_0718-R
OG0000036	Sp2g09180	Sdiv_ptg000012l_1643-R, Sdiv_ptg000007l_0643-R
OG0000036	Sp5g30900	Sdiv_ptg000002l_1778-R, Sdiv_ptg000015l_0374-R
OG0000036	Sp6g31390	Sdiv_ptg000010l_2156-R
OG0000036	Sp2g25870	Sdiv_ptg000012l_0378-R
OG0000036	Sp2g23430	Sdiv_ptg000012l_0562-R, Sdiv_ptg000007l_1639-R
