og,gene_1,gene_2,C_amplexicaulis,E_salsugineum,S_diversifolius,S_parvula,retained.both,retained.S_div,retained.C_amp,retained.neither,other
1,Sdiv_ptg000001l_1001-R,Sdiv_ptg000013l_0942-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
2,Sdiv_ptg000005l_0199-R,Sdiv_ptg000004l_0463-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
3,Sdiv_ptg000005l_0200-R,Sdiv_ptg000004l_0465-R,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
4,Sdiv_ptg000005l_0203-R,Sdiv_ptg000004l_0466-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
5,Sdiv_ptg000005l_0204-R,Sdiv_ptg000004l_0468-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
6,Sdiv_ptg000005l_0206-R,Sdiv_ptg000004l_0471-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
7,Sdiv_ptg000001l_1002-R,Sdiv_ptg000013l_0943-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
8,Sdiv_ptg000005l_0209-R,Sdiv_ptg000004l_0477-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
9,Sdiv_ptg000005l_0210-R,Sdiv_ptg000004l_0478-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
10,Sdiv_ptg000005l_0211-R,Sdiv_ptg000004l_0479-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
11,Sdiv_ptg000005l_0212-R,Sdiv_ptg000004l_0480-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
12,Sdiv_ptg000005l_0213-R,Sdiv_ptg000004l_0481-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
13,Sdiv_ptg000005l_0214-R,Sdiv_ptg000004l_0483-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
14,Sdiv_ptg000005l_0215-R,Sdiv_ptg000004l_0484-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
15,Sdiv_ptg000005l_0216-R,Sdiv_ptg000004l_0487-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
16,Sdiv_ptg000005l_0218-R,Sdiv_ptg000004l_0490-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
17,Sdiv_ptg000001l_1003-R,Sdiv_ptg000013l_0944-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
18,Sdiv_ptg000005l_0219-R,Sdiv_ptg000004l_0494-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
19,Sdiv_ptg000005l_0220-R,Sdiv_ptg000004l_0493-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
20,Sdiv_ptg000005l_0221-R,Sdiv_ptg000004l_0495-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
21,Sdiv_ptg000005l_0222-R,Sdiv_ptg000004l_0496-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
22,Sdiv_ptg000005l_0225-R,Sdiv_ptg000004l_0498-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
23,Sdiv_ptg000005l_0226-R,Sdiv_ptg000004l_0500-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
24,Sdiv_ptg000005l_0227-R,Sdiv_ptg000004l_0501-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
25,Sdiv_ptg000005l_0228-R,Sdiv_ptg000004l_0503-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
26,Sdiv_ptg000001l_1004-R,Sdiv_ptg000013l_0946-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
27,Sdiv_ptg000005l_0229-R,Sdiv_ptg000004l_0505-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
28,Sdiv_ptg000005l_0230-R,Sdiv_ptg000004l_0507-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
29,Sdiv_ptg000005l_0231-R,Sdiv_ptg000004l_0509-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
30,Sdiv_ptg000005l_0232-R,Sdiv_ptg000004l_0513-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
31,Sdiv_ptg000005l_0233-R,Sdiv_ptg000004l_0515-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
32,Sdiv_ptg000005l_0234-R,Sdiv_ptg000004l_0520-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
33,Sdiv_ptg000004l_0521-R,Sdiv_ptg000005l_0235-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
34,Sdiv_ptg000005l_0238-R,Sdiv_ptg000004l_0522-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
35,Sdiv_ptg000001l_1005-R,Sdiv_ptg000013l_0948-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
36,Sdiv_ptg000005l_0239-R,Sdiv_ptg000004l_0523-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
37,Sdiv_ptg000005l_0240-R,Sdiv_ptg000004l_0524-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
38,Sdiv_ptg000005l_0241-R,Sdiv_ptg000004l_0526-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
39,Sdiv_ptg000005l_0244-R,Sdiv_ptg000004l_0528-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
40,Sdiv_ptg000005l_0245-R,Sdiv_ptg000004l_0533-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
41,Sdiv_ptg000005l_0246-R,Sdiv_ptg000004l_0535-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
42,Sdiv_ptg000005l_0247-R,Sdiv_ptg000004l_0536-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
43,Sdiv_ptg000005l_0248-R,Sdiv_ptg000004l_0537-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
44,Sdiv_ptg000001l_1006-R,Sdiv_ptg000013l_0950-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
45,Sdiv_ptg000005l_0249-R,Sdiv_ptg000004l_0538-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
46,Sdiv_ptg000005l_0251-R,Sdiv_ptg000004l_0539-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
47,Sdiv_ptg000005l_0255-R,Sdiv_ptg000004l_0541-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
48,Sdiv_ptg000005l_0257-R,Sdiv_ptg000004l_0542-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
49,Sdiv_ptg000005l_0258-R,Sdiv_ptg000004l_0544-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
50,Sdiv_ptg000001l_1007-R,Sdiv_ptg000013l_0951-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
51,Sdiv_ptg000005l_0259-R,Sdiv_ptg000004l_0545-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
52,Sdiv_ptg000005l_0260-R,Sdiv_ptg000004l_0548-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
53,Sdiv_ptg000005l_0261-R,Sdiv_ptg000004l_0549-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
54,Sdiv_ptg000005l_0262-R,Sdiv_ptg000004l_0550-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
55,Sdiv_ptg000005l_0263-R,Sdiv_ptg000004l_0552-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
56,Sdiv_ptg000005l_0264-R,Sdiv_ptg000004l_0554-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
57,Sdiv_ptg000005l_0265-R,Sdiv_ptg000004l_0555-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
58,Sdiv_ptg000005l_0268-R,Sdiv_ptg000004l_0557-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
59,Sdiv_ptg000004l_0559-R,Sdiv_ptg000005l_0269-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
60,Sdiv_ptg000005l_0270-R,Sdiv_ptg000004l_0563-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
61,Sdiv_ptg000005l_0273-R,Sdiv_ptg000004l_0551-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
62,Sdiv_ptg000005l_0274-R,Sdiv_ptg000004l_0571-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
63,Sdiv_ptg000005l_0275-R,Sdiv_ptg000004l_0572-R,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
64,Sdiv_ptg000005l_0276-R,Sdiv_ptg000004l_0575-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
65,Sdiv_ptg000005l_0277-R,Sdiv_ptg000004l_0577-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
66,Sdiv_ptg000005l_0278-R,Sdiv_ptg000004l_0579-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
67,Sdiv_ptg000001l_1009-R,Sdiv_ptg000013l_0952-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
68,Sdiv_ptg000005l_0282-R,Sdiv_ptg000004l_0582-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
69,Sdiv_ptg000005l_0283-R,Sdiv_ptg000004l_0584-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
70,Sdiv_ptg000005l_0284-R,Sdiv_ptg000004l_0585-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
71,Sdiv_ptg000005l_0285-R,Sdiv_ptg000004l_0588-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
72,Sdiv_ptg000005l_0286-R,Sdiv_ptg000004l_0589-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
73,Sdiv_ptg000005l_0287-R,Sdiv_ptg000004l_0591-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
74,Sdiv_ptg000005l_0288-R,Sdiv_ptg000004l_0592-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
75,Sdiv_ptg000001l_1010-R,Sdiv_ptg000013l_0953-R,0,0,2,0,FALSE,FALSE,FALSE,FALSE,TRUE
76,Sdiv_ptg000005l_0290-R,Sdiv_ptg000004l_0594-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
77,Sdiv_ptg000005l_0291-R,Sdiv_ptg000004l_0597-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
78,Sdiv_ptg000005l_0292-R,Sdiv_ptg000004l_0596-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
79,Sdiv_ptg000005l_0293-R,Sdiv_ptg000004l_0598-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
80,Sdiv_ptg000005l_0294-R,Sdiv_ptg000004l_0600-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
81,Sdiv_ptg000005l_0295-R,Sdiv_ptg000004l_0602-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
82,Sdiv_ptg000005l_0297-R,Sdiv_ptg000004l_0604-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
83,Sdiv_ptg000001l_1011-R,Sdiv_ptg000013l_0954-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
84,Sdiv_ptg000005l_0300-R,Sdiv_ptg000004l_0608-R,2,1,2,0,TRUE,FALSE,FALSE,FALSE,FALSE
85,Sdiv_ptg000005l_0301-R,Sdiv_ptg000004l_0609-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
86,Sdiv_ptg000005l_0302-R,Sdiv_ptg000004l_0610-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
87,Sdiv_ptg000005l_0304-R,Sdiv_ptg000004l_0611-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
88,Sdiv_ptg000005l_0307-R,Sdiv_ptg000004l_0613-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
89,Sdiv_ptg000005l_0308-R,Sdiv_ptg000004l_0615-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
90,Sdiv_ptg000001l_1012-R,Sdiv_ptg000013l_0955-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
91,Sdiv_ptg000005l_0309-R,Sdiv_ptg000004l_0616-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
92,Sdiv_ptg000005l_0310-R,Sdiv_ptg000004l_0617-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
93,Sdiv_ptg000005l_0312-R,Sdiv_ptg000004l_0618-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
94,Sdiv_ptg000005l_0313-R,Sdiv_ptg000004l_0620-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
95,Sdiv_ptg000005l_0315-R,Sdiv_ptg000004l_0621-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
96,Sdiv_ptg000005l_0316-R,Sdiv_ptg000004l_0622-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
97,Sdiv_ptg000005l_0318-R,Sdiv_ptg000004l_0623-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
98,Sdiv_ptg000005l_0319-R,Sdiv_ptg000004l_0624-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
99,Sdiv_ptg000005l_0320-R,Sdiv_ptg000004l_0625-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
100,Sdiv_ptg000005l_0321-R,Sdiv_ptg000004l_0626-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
101,Sdiv_ptg000005l_0326-R,Sdiv_ptg000004l_0627-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
102,Sdiv_ptg000005l_0327-R,Sdiv_ptg000004l_0636-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
103,Sdiv_ptg000005l_0328-R,Sdiv_ptg000004l_0637-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
104,Sdiv_ptg000001l_1014-R,Sdiv_ptg000013l_0957-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
105,Sdiv_ptg000005l_0329-R,Sdiv_ptg000004l_0638-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
106,Sdiv_ptg000005l_0332-R,Sdiv_ptg000004l_0641-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
107,Sdiv_ptg000005l_0333-R,Sdiv_ptg000004l_0644-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
108,Sdiv_ptg000005l_0335-R,Sdiv_ptg000004l_0648-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
109,Sdiv_ptg000005l_0336-R,Sdiv_ptg000004l_0649-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
110,Sdiv_ptg000005l_0337-R,Sdiv_ptg000004l_0651-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
111,Sdiv_ptg000005l_0338-R,Sdiv_ptg000004l_0652-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
112,Sdiv_ptg000001l_1015-R,Sdiv_ptg000013l_0958-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
113,Sdiv_ptg000005l_0339-R,Sdiv_ptg000004l_0655-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
114,Sdiv_ptg000005l_0342-R,Sdiv_ptg000004l_0654-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
115,Sdiv_ptg000005l_0344-R,Sdiv_ptg000004l_0657-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
116,Sdiv_ptg000005l_0346-R,Sdiv_ptg000004l_0659-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
117,Sdiv_ptg000005l_0348-R,Sdiv_ptg000004l_0660-R,2,0,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
118,Sdiv_ptg000005l_0352-R,Sdiv_ptg000004l_0663-R,1,1,2,1,FALSE,TRUE,FALSE,FALSE,FALSE
119,Sdiv_ptg000005l_0353-R,Sdiv_ptg000004l_0665-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
120,Sdiv_ptg000005l_0354-R,Sdiv_ptg000004l_0666-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
121,Sdiv_ptg000005l_0355-R,Sdiv_ptg000004l_0667-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
122,Sdiv_ptg000005l_0357-R,Sdiv_ptg000004l_0668-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
123,Sdiv_ptg000001l_1017-R,Sdiv_ptg000013l_0960-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
124,Sdiv_ptg000005l_0362-R,Sdiv_ptg000004l_0670-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
125,Sdiv_ptg000005l_0366-R,Sdiv_ptg000004l_0671-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
126,Sdiv_ptg000005l_0367-R,Sdiv_ptg000004l_0672-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
127,Sdiv_ptg000001l_1018-R,Sdiv_ptg000013l_0961-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
128,Sdiv_ptg000005l_0369-R,Sdiv_ptg000004l_0673-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
129,Sdiv_ptg000005l_0370-R,Sdiv_ptg000004l_0675-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
130,Sdiv_ptg000005l_0371-R,Sdiv_ptg000004l_0677-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
131,Sdiv_ptg000005l_0372-R,Sdiv_ptg000004l_0678-R,2,2,2,1,FALSE,FALSE,FALSE,FALSE,TRUE
132,Sdiv_ptg000005l_0380-R,Sdiv_ptg000004l_0685-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
133,Sdiv_ptg000005l_0382-R,Sdiv_ptg000004l_0681-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
134,Sdiv_ptg000005l_0384-R,Sdiv_ptg000004l_0683-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
135,Sdiv_ptg000005l_0385-R,Sdiv_ptg000004l_0684-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
136,Sdiv_ptg000005l_0387-R,Sdiv_ptg000004l_0686-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
137,Sdiv_ptg000005l_0389-R,Sdiv_ptg000004l_0687-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
138,Sdiv_ptg000005l_0390-R,Sdiv_ptg000004l_0688-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
139,Sdiv_ptg000005l_0391-R,Sdiv_ptg000004l_0689-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
140,Sdiv_ptg000005l_0392-R,Sdiv_ptg000004l_0690-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
141,Sdiv_ptg000005l_0393-R,Sdiv_ptg000004l_0691-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
142,Sdiv_ptg000005l_0394-R,Sdiv_ptg000004l_0692-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
143,Sdiv_ptg000005l_0395-R,Sdiv_ptg000004l_0693-R,2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
