Desc	Orthogroup	Aal	Aar	Aly	Ath	Boh	Cam	Chi	Dni	Esy	Rsq	Spi	Streptanthus	Tar	Tpa
(null)	OG0000011	36	0	12	7	26	11	18	7	4	20	83	0	77	14
(null)	OG0000014	22	11	23	16	20	7	22	73	0	27	44	5	14	5
(null)	OG0000015	12	2	5	2	86	33	13	2	0	10	89	0	33	1
(null)	OG0000016	3	0	9	3	86	8	15	55	33	15	41	0	5	13
(null)	OG0000020	27	4	12	16	20	24	32	17	8	21	47	2	34	11
(null)	OG0000021	34	2	16	25	21	15	40	48	5	15	21	1	21	7
(null)	OG0000023	11	2	16	9	41	20	17	30	48	9	26	3	31	5
(null)	OG0000025	15	34	11	12	30	13	34	38	16	11	29	0	21	3
(null)	OG0000027	8	0	26	18	28	13	53	32	32	8	12	1	29	2
(null)	OG0000029	22	3	11	14	22	18	34	20	5	29	28	7	29	14
(null)	OG0000030	6	0	27	19	29	11	22	42	45	6	25	0	22	2
(null)	OG0000035	9	0	52	24	17	11	36	23	19	5	7	0	39	1
(null)	OG0000037	1	0	7	4	58	1	10	90	31	15	7	0	4	5
(null)	OG0000040	15	0	35	16	16	8	16	22	42	6	11	0	32	3
(null)	OG0000042	1	1	0	3	35	11	47	5	0	15	45	0	44	1
(null)	OG0000045	17	0	16	11	15	27	16	17	30	3	16	8	18	10
(null)	OG0000046	7	22	10	14	21	24	13	7	22	1	17	6	15	21
(null)	OG0000047	0	2	3	8	4	22	21	71	0	0	29	0	21	16
(null)	OG0000048	27	3	17	19	23	15	27	21	1	18	9	0	12	4
(null)	OG0000049	6	0	1	0	51	7	10	3	41	24	36	0	14	3
(null)	OG0000051	4	1	2	1	50	4	1	5	23	56	25	0	21	3
(null)	OG0000052	8	3	14	11	29	11	34	15	1	18	24	2	14	10
(null)	OG0000053	4	13	19	9	20	9	19	29	29	8	11	0	22	1
(null)	OG0000054	3	0	0	0	28	9	0	0	16	15	4	0	99	19
(null)	OG0000055	12	1	5	9	17	15	17	7	0	10	63	1	28	6
(null)	OG0000059	0	0	0	4	6	18	4	2	18	26	87	0	21	0
(null)	OG0000060	22	8	23	18	6	7	15	8	21	13	16	1	18	8
(null)	OG0000061	9	20	13	14	14	11	25	18	1	10	20	5	18	6
(null)	OG0000064	10	0	14	15	27	10	35	19	6	12	16	1	15	2
