Orthogroup	S_parvula	S_pinnata
OG0000007	Sp4g09190	Stapi.0068s0008
OG0000007	Sp4g09140	Stapi.1976s0002, Stapi.7153s0002, Stapi.0068s0013, Stapi.8942s0001, Stapi.0001s0024, Stapi.5450s0003, Stapi.12150s0001, Stapi.20575s0001, Stapi.1124s0005, Stapi.0551s0012, Stapi.0951s0009, Stapi.0084s0033, Stapi.1028s0005, Stapi.0088s0016, Stapi.31193s0001, Stapi.9011s0001, Stapi.1374s0004, Stapi.11414s0001, Stapi.0560s0012, Stapi.2070s0005, Stapi.1847s0003, Stapi.27716s0001, Stapi.12557s0001, Stapi.0018s0013, Stapi.1091s0006, Stapi.3538s0001, Stapi.8513s0001, Stapi.4251s0001, Stapi.2974s0008, Stapi.8939s0001, Stapi.0474s0003, Stapi.0013s0055, Stapi.0766s0002, Stapi.3022s0002, Stapi.6282s0003, Stapi.4700s0004, Stapi.16946s0001, Stapi.11062s0003, Stapi.2122s0002, Stapi.0328s0013, Stapi.2656s0003, Stapi.0450s0005, Stapi.0693s0006, Stapi.15694s0002, Stapi.4146s0004, Stapi.1021s0004, Stapi.7968s0003, Stapi.1902s0004, Stapi.0001s0048, Stapi.1205s0004, Stapi.1307s0007, Stapi.8292s0001, Stapi.0526s0005, Stapi.2293s0008, Stapi.0006s0040, Stapi.0023s0020, Stapi.0123s0016, Stapi.0984s0009, Stapi.1190s0011, Stapi.3658s0005, Stapi.0463s0009, Stapi.31132s0001, Stapi.10982s0001, Stapi.0131s0005, Stapi.2011s0009, Stapi.25978s0001, Stapi.3478s0001, Stapi.8504s0001, Stapi.5605s0001, Stapi.0333s0006, Stapi.3573s0005, Stapi.17749s0003, Stapi.16034s0001, Stapi.0101s0012, Stapi.16080s0001, Stapi.1459s0001, Stapi.4596s0004, Stapi.19543s0001, Stapi.1080s0001, Stapi.3108s0001, Stapi.0947s0018, Stapi.4166s0008, Stapi.23260s0001, Stapi.1376s0006, Stapi.0051s0021, Stapi.8797s0002, Stapi.0476s0008, Stapi.24213s0001, Stapi.1385s0001, Stapi.16221s0001, Stapi.0060s0013, Stapi.4106s0004, Stapi.0065s0023, Stapi.0074s0013, Stapi.10450s0001, Stapi.0359s0016, Stapi.0294s0001, Stapi.1104s0006, Stapi.2744s0002, Stapi.1803s0004, Stapi.15473s0001, Stapi.1123s0002, Stapi.19835s0001, Stapi.7675s0001, Stapi.12309s0001, Stapi.12368s0001, Stapi.10004s0001, Stapi.5102s0001, Stapi.1092s0005, Stapi.1642s0002, Stapi.5575s0005, Stapi.0772s0014, Stapi.3341s0002, Stapi.0775s0007, Stapi.0044s0016, Stapi.5466s0001, Stapi.0177s0019, Stapi.6923s0001, Stapi.2575s0003, Stapi.0046s0004, Stapi.5035s0004, Stapi.10703s0002, Stapi.6282s0002, Stapi.1759s0010, Stapi.2406s0002, Stapi.2429s0006, Stapi.0007s0012, Stapi.12812s0002, Stapi.1733s0006, Stapi.12688s0001, Stapi.3879s0002, Stapi.1146s0005, Stapi.17226s0002, Stapi.0392s0001, Stapi.5455s0004, Stapi.0021s0001, Stapi.5083s0003
OG0000011	Sp3g32280	Stapi.7335s0001, Stapi.9902s0002, Stapi.0524s0001, Stapi.0016s0054, Stapi.0511s0003, Stapi.4698s0002, Stapi.4698s0001, Stapi.1464s0001, Stapi.1524s0009, Stapi.9836s0002, Stapi.25813s0001, Stapi.0077s0015, Stapi.0218s0027, Stapi.0119s0006, Stapi.0299s0006, Stapi.0137s0017, Stapi.0004s0038, Stapi.0090s0017, Stapi.1112s0004, Stapi.0181s0019, Stapi.0639s0003, Stapi.3927s0001, Stapi.8598s0003, Stapi.0953s0004, Stapi.2717s0002, Stapi.0129s0002, Stapi.7109s0001, Stapi.1301s0005, Stapi.0162s0002, Stapi.0019s0040, Stapi.4834s0001, Stapi.0522s0012, Stapi.0064s0025, Stapi.6425s0001, Stapi.1766s0002, Stapi.2868s0002, Stapi.0120s0003, Stapi.2064s0007, Stapi.2669s0004, Stapi.0238s0001, Stapi.2341s0001, Stapi.5509s0002, Stapi.0032s0013, Stapi.0082s0026, Stapi.13053s0001, Stapi.0050s0017, Stapi.1509s0006, Stapi.1880s0001, Stapi.21696s0001, Stapi.0023s0046, Stapi.1422s0013, Stapi.0753s0007, Stapi.3553s0001, Stapi.2192s0004, Stapi.3264s0001, Stapi.0074s0016, Stapi.2122s0001, Stapi.0075s0001, Stapi.0509s0002, Stapi.0058s0026, Stapi.12474s0001, Stapi.6230s0003, Stapi.0674s0008, Stapi.2203s0006, Stapi.0511s0006, Stapi.0019s0003, Stapi.0817s0017, Stapi.0228s0002, Stapi.4419s0001, Stapi.1359s0007, Stapi.0115s0002, Stapi.2601s0008, Stapi.0153s0014, Stapi.3350s0001, Stapi.0013s0058, Stapi.0094s0019, Stapi.0600s0005, Stapi.0090s0016, Stapi.0975s0004, Stapi.0051s0009, Stapi.1880s0002, Stapi.0045s0028, Stapi.9359s0002, Stapi.6396s0002, Stapi.20178s0002, Stapi.0213s0014, Stapi.0569s0002, Stapi.0081s0027, Stapi.20946s0001, Stapi.0004s0006, Stapi.0077s0021, Stapi.0301s0015, Stapi.11386s0001, Stapi.0270s0015, Stapi.0068s0020, Stapi.8091s0001, Stapi.0058s0018, Stapi.0076s0019, Stapi.0198s0015, Stapi.0839s0008, Stapi.2229s0004, Stapi.0036s0019, Stapi.0001s0063, Stapi.5733s0001, Stapi.0574s0001, Stapi.0065s0025, Stapi.1028s0006, Stapi.5260s0001, Stapi.0065s0015, Stapi.9600s0001, Stapi.1549s0003, Stapi.0147s0022, Stapi.4394s0001, Stapi.4616s0002, Stapi.11058s0001, Stapi.0090s0001, Stapi.0802s0003, Stapi.0935s0003, Stapi.8824s0004, Stapi.0005s0050, Stapi.7925s0002, Stapi.10235s0002, Stapi.0847s0003, Stapi.0212s0017, Stapi.1094s0008, Stapi.2791s0003, Stapi.0591s0005, Stapi.14655s0001, Stapi.12725s0001, Stapi.1391s0001, Stapi.7480s0001, Stapi.0626s0009, Stapi.14361s0001, Stapi.5057s0003, Stapi.0086s0002, Stapi.7672s0004, Stapi.0639s0009, Stapi.3482s0001, Stapi.0112s0004, Stapi.5475s0001, Stapi.6002s0006, Stapi.0678s0006, Stapi.0457s0002, Stapi.2825s0006, Stapi.1457s0004, Stapi.0032s0036, Stapi.1327s0007, Stapi.9947s0002, Stapi.0334s0009, Stapi.0006s0038, Stapi.2201s0007, Stapi.0071s0019, Stapi.2311s0002, Stapi.0567s0018, Stapi.17194s0001, Stapi.0533s0011, Stapi.1938s0002, Stapi.0739s0012, Stapi.2437s0003, Stapi.17608s0001, Stapi.0139s0005, Stapi.0309s0017, Stapi.1855s0003, Stapi.3547s0002, Stapi.0230s0024, Stapi.11892s0001, Stapi.4922s0003, Stapi.2149s0002, Stapi.3822s0002, Stapi.0668s0006, Stapi.6312s0001, Stapi.0495s0018, Stapi.1763s0002, Stapi.2064s0003, Stapi.5779s0001, Stapi.4900s0001, Stapi.0836s0004, Stapi.8457s0001, Stapi.2854s0001, Stapi.2847s0008, Stapi.6439s0001, Stapi.4142s0005, Stapi.15252s0001, Stapi.3720s0003, Stapi.1681s0001, Stapi.0045s0027, Stapi.0226s0029, Stapi.0004s0039, Stapi.3151s0002, Stapi.1441s0002, Stapi.1666s0004, Stapi.11028s0001, Stapi.0113s0023, Stapi.1536s0007, Stapi.0777s0014, Stapi.0141s0021, Stapi.0587s0021, Stapi.9372s0001, Stapi.1245s0007, Stapi.0365s0003, Stapi.0551s0002, Stapi.0028s0042, Stapi.0309s0010, Stapi.5314s0001, Stapi.0718s0008, Stapi.5090s0001, Stapi.7185s0001, Stapi.0331s0004, Stapi.0200s0015, Stapi.0311s0021, Stapi.1101s0004, Stapi.0004s0033, Stapi.0120s0010, Stapi.2916s0006, Stapi.0235s0029, Stapi.8730s0001, Stapi.0038s0016, Stapi.1840s0002, Stapi.21727s0001
OG0000013	Sp5g20270, Sp3g25600	Stapi.1634s0004, Stapi.0421s0022
OG0000017	Sp2g07580, Sp6g12850, Sp4g08570, Sp3g32060, Sp7g04770, Sp1g22890, Sp4g09730, SpUn0012_0100, Sp3g30250, Sp3g26560, Sp7g06310, SpUn0040_0030, SpUn0005_0320, Sp3g23530, Sp7g15680, Sp2g03930, Sp1g26860, Sp6g12950, Sp3g16820, Sp3g22100, Sp1g27740, SpUn0384_0010, Sp6g09430, Sp2g01940, Sp2g04150, Sp1g33550, Sp5g17720, Sp4g07040, Sp7g08360, Sp7g09000, SpUn0099_0030, SpUn0012_0150, Sp4g06760, Sp6g09530, Sp7g04650, Sp5g19860, Sp4g03200, Sp6g10040, Sp6g13690, SpUn0766_0010, Sp7g05060, Sp1g28040, Sp3g24890, Sp1g32040, Sp5g19640, Sp1g38460, Sp6g09520, Sp3g24960, SpUn0964_0010, Sp3g24980, Sp4g08290, Sp4g07790, Sp2g05050, Sp5g17940, SpUn0079_0010, Sp1g33200, Sp4g09760, SpUn0012_0080, SpUn0012_0070, SpUn1473_0010, Sp1g31950, Sp2g02140, Sp2g06500, Sp5g20530, Sp1g31780, Sp6g11380, Sp7g09320, Sp5g17780, Sp4g05650, SpUn0614_0010, Sp3g27990, Sp3g28320, Sp3g27590, Sp4g10560, SpUn1945_0010, Sp6g10780, Sp4g08340, Sp1g31580, Sp4g07990, Sp1g30190, SpUn0001_0270, SpUn1591_0010, Sp6g07770, Sp1g29170, Sp4g08530, SpUn0002_0660, Sp7g02020, SpUn0012_0110, Sp6g08050, SpUn0002_0240, Sp5g20480, Sp3g27550, Sp2g06130, Sp1g26170, Sp2g06320, Sp5g16110, SpUn0005_0200, Sp2g06660, Sp1g29710, Sp1g34280, SpUn0001_1030, Sp3g24810, Sp4g08540, Sp4g08090, Sp5g19670, Sp5g13270, Sp1g30450, Sp6g09190, Sp4g07350, Sp5g25660, Sp6g08950, Sp2g07180, SpUn0115_0010, SpUn0007_0220, Sp1g32220, Sp4g05400, Sp3g26990, Sp7g04600, SpUn0110_0030, Sp6g04590, Sp3g28940, Sp1g26390, Sp3g27530, Sp6g06180, Sp6g12230, Sp7g01860, Sp4g08690, Sp1g36950, Sp6g07470, Sp6g06910, Sp6g09180, Sp3g26520, Sp3g26070, Sp7g05320, Sp1g29160, Sp3g27610, Sp1g36360, Sp6g07780, Sp3g28330, SpUn0390_0010, SpUn0475_0010, SpUn0895_0010, SpUn1205_0010, Sp1g26850, SpUn1064_0010, SpUn0001_0100, Sp4g12960, Sp1g31760, Sp6g09760, SpUn0002_0330, Sp3g26100, SpUn0385_0010, Sp1g36560, Sp5g17960, SpUn1377_0010, Sp7g04440, Sp5g20210, Sp2g05070, Sp7g07910, Sp6g10070, Sp7g03240, Sp1g31220, Sp6g07480, SpUn1343_0010, Sp7g05250, Sp6g11540, Sp6g11510, Sp4g03810, SpUn1041_0010, Sp5g20110, SpUn0003_0040, Sp4g06510, Sp1g30010, Sp2g06390, Sp3g24900, Sp4g09830, Sp7g09870	Stapi.0044s0025
OG0000018	Sp5g19110	Stapi.3840s0001, Stapi.10178s0001, Stapi.1314s0003, Stapi.5380s0001, Stapi.8540s0001, Stapi.21058s0001, Stapi.16911s0001, Stapi.5063s0005, Stapi.10763s0001, Stapi.0218s0050, Stapi.2176s0003, Stapi.0488s0003, Stapi.2739s0001, Stapi.3319s0005, Stapi.2763s0006, Stapi.4315s0002, Stapi.10900s0002, Stapi.0929s0001, Stapi.0342s0006, Stapi.11174s0001, Stapi.23826s0001, Stapi.10815s0003, Stapi.1373s0006, Stapi.16302s0001, Stapi.7101s0001, Stapi.14834s0001, Stapi.16530s0001, Stapi.2737s0005, Stapi.5710s0002, Stapi.0013s0014, Stapi.15273s0001, Stapi.3220s0005, Stapi.0021s0037, Stapi.2870s0002, Stapi.23661s0001, Stapi.0380s0046, Stapi.2901s0001, Stapi.2547s0003, Stapi.1702s0006, Stapi.10549s0001, Stapi.13289s0002, Stapi.6947s0001, Stapi.10116s0001, Stapi.0326s0007, Stapi.13106s0001, Stapi.2787s0010, Stapi.3319s0003, Stapi.5104s0003, Stapi.0178s0015, Stapi.2231s0003, Stapi.1330s0001, Stapi.4827s0004, Stapi.1012s0002, Stapi.0148s0020, Stapi.12788s0001, Stapi.0986s0007, Stapi.0410s0012, Stapi.2875s0004, Stapi.1725s0007, Stapi.5578s0006, Stapi.21272s0001, Stapi.23168s0001, Stapi.19174s0001, Stapi.7721s0003, Stapi.11975s0001, Stapi.2550s0001, Stapi.2278s0001, Stapi.5308s0010, Stapi.0396s0022, Stapi.0218s0049, Stapi.11654s0001, Stapi.0093s0029, Stapi.12788s0002, Stapi.0355s0001, Stapi.1398s0018, Stapi.4722s0003, Stapi.1718s0005, Stapi.6391s0003, Stapi.0279s0003, Stapi.30278s0001, Stapi.2151s0004, Stapi.17747s0001, Stapi.3924s0007, Stapi.14873s0001, Stapi.9669s0001, Stapi.27216s0001, Stapi.0234s0014, Stapi.4216s0001, Stapi.3250s0003, Stapi.11066s0001, Stapi.0110s0011, Stapi.7418s0002, Stapi.1952s0003, Stapi.1520s0001, Stapi.0010s0064, Stapi.1589s0002, Stapi.2124s0006, Stapi.2214s0003, Stapi.7922s0004, Stapi.4581s0007, Stapi.2431s0004, Stapi.9661s0004, Stapi.3644s0002, Stapi.4216s0002, Stapi.4948s0002, Stapi.0406s0003, Stapi.0235s0024, Stapi.5063s0001, Stapi.0980s0016, Stapi.15887s0001, Stapi.2787s0008, Stapi.0696s0007, Stapi.2406s0005, Stapi.2478s0001, Stapi.1398s0017, Stapi.3198s0003, Stapi.2510s0005, Stapi.1300s0008, Stapi.10493s0001, Stapi.2293s0003, Stapi.1047s0008, Stapi.0616s0002, Stapi.0084s0031, Stapi.13795s0001, Stapi.0418s0012, Stapi.4327s0003, Stapi.1400s0009, Stapi.2478s0002, Stapi.2138s0004, Stapi.1989s0003, Stapi.4515s0001, Stapi.0484s0012, Stapi.2565s0002, Stapi.5335s0002, Stapi.0539s0001, Stapi.10630s0001, Stapi.5704s0002, Stapi.3975s0003, Stapi.1584s0004, Stapi.4495s0002, Stapi.11661s0002, Stapi.3898s0006, Stapi.5271s0001, Stapi.3752s0001, Stapi.3312s0002, Stapi.0280s0023, Stapi.8047s0001, Stapi.8475s0001, Stapi.11737s0001, Stapi.0250s0026, Stapi.2547s0002, Stapi.2906s0003, Stapi.8311s0001, Stapi.2916s0001, Stapi.0380s0047, Stapi.3267s0003, Stapi.15051s0001, Stapi.0235s0010, Stapi.13781s0001, Stapi.1035s0002, Stapi.22793s0001, Stapi.0147s0036, Stapi.3449s0002, Stapi.2193s0006, Stapi.1958s0008, Stapi.0418s0011, Stapi.10378s0002, Stapi.2118s0009, Stapi.2436s0005, Stapi.2875s0005, Stapi.0928s0011, Stapi.0027s0033, Stapi.14039s0002
OG0000023	Sp3g26470	Stapi.5359s0001, Stapi.5557s0003, Stapi.2721s0005, Stapi.0041s0028, Stapi.0655s0007, Stapi.17939s0001, Stapi.0173s0002, Stapi.0675s0015, Stapi.0064s0002, Stapi.4542s0001, Stapi.0111s0007, Stapi.0152s0010, Stapi.4481s0003, Stapi.2171s0004, Stapi.2232s0008, Stapi.0001s0071, Stapi.3606s0005, Stapi.0371s0004, Stapi.2199s0001, Stapi.0157s0007, Stapi.0906s0004, Stapi.7046s0001, Stapi.0544s0003, Stapi.2354s0007, Stapi.2573s0001, Stapi.14792s0003, Stapi.5343s0003, Stapi.1056s0005, Stapi.0694s0005, Stapi.4925s0004, Stapi.0635s0015, Stapi.0918s0009, Stapi.0588s0005, Stapi.4433s0006, Stapi.7389s0001, Stapi.0015s0073, Stapi.5512s0003, Stapi.19539s0002, Stapi.1442s0001, Stapi.0165s0015, Stapi.6833s0002, Stapi.1066s0002, Stapi.3860s0003, Stapi.19539s0001, Stapi.1660s0001, Stapi.4036s0001, Stapi.9371s0001, Stapi.4741s0002, Stapi.3833s0009, Stapi.0085s0015, Stapi.3610s0006, Stapi.0981s0008, Stapi.4802s0001, Stapi.9318s0001, Stapi.0006s0024, Stapi.4687s0002, Stapi.0902s0003, Stapi.9019s0001, Stapi.9410s0002, Stapi.0262s0001, Stapi.0819s0006, Stapi.20455s0001, Stapi.1012s0008, Stapi.9090s0001, Stapi.0317s0005, Stapi.7289s0001, Stapi.1053s0008, Stapi.2773s0001, Stapi.0297s0008, Stapi.1161s0002, Stapi.0028s0041, Stapi.0389s0022, Stapi.1020s0004, Stapi.0552s0001, Stapi.5430s0002, Stapi.3758s0001, Stapi.6579s0002, Stapi.0001s0006, Stapi.2424s0002, Stapi.4410s0001, Stapi.4283s0001, Stapi.0318s0005, Stapi.1877s0003, Stapi.0472s0003, Stapi.0181s0013, Stapi.11092s0001, Stapi.0162s0016, Stapi.0010s0016, Stapi.2797s0007, Stapi.5124s0004, Stapi.10469s0002, Stapi.5318s0001, Stapi.3727s0007, Stapi.17735s0001, Stapi.4654s0004, Stapi.0271s0004, Stapi.4036s0002, Stapi.0748s0005, Stapi.10833s0001, Stapi.0015s0039, Stapi.0221s0002, Stapi.2834s0003, Stapi.12784s0002, Stapi.1684s0002, Stapi.0222s0029, Stapi.0498s0002, Stapi.11446s0001, Stapi.0006s0051, Stapi.0166s0011, Stapi.3079s0003, Stapi.1143s0007, Stapi.1100s0001, Stapi.14350s0003, Stapi.9120s0001, Stapi.9984s0003, Stapi.4341s0001, Stapi.0006s0002, Stapi.3800s0002, Stapi.0176s0011, Stapi.0076s0015, Stapi.1729s0005, Stapi.0297s0005, Stapi.0144s0006, Stapi.0752s0002, Stapi.6517s0005, Stapi.6517s0001, Stapi.1478s0001, Stapi.22818s0001, Stapi.10114s0001, Stapi.7646s0003, Stapi.2441s0001, Stapi.0617s0021, Stapi.0103s0008, Stapi.0234s0029, Stapi.4376s0001, Stapi.0917s0018, Stapi.0815s0013, Stapi.0316s0010, Stapi.4355s0004, Stapi.15502s0002, Stapi.0686s0001, Stapi.12626s0001, Stapi.0530s0011
OG0000028	Sp6g09290	Stapi.0113s0017, Stapi.0414s0021, Stapi.0012s0016, Stapi.0434s0005, Stapi.0282s0015, Stapi.1062s0001
OG0000028	Sp6g11020	Stapi.0776s0008, Stapi.0675s0003
OG0000028	Sp3g28380	Stapi.0396s0008, Stapi.0125s0013
