Orthogroup	C_amplexicaulis	E_salsugineum
OG0000013	Caamp.0311s0026, Caamp.0110s0043	Thhalv10010325m.g
OG0000017	Caamp.0097s0840	Thhalv10002031m.g
OG0000020	Caamp.0067s0012, Caamp.0020s0016, Caamp.0007s0547, Caamp.0118s0001, Caamp.0004s0170	Thhalv10029498m.g
OG0000028	Caamp.0129s0017	Thhalv10003397m.g
OG0000028	Caamp.0075s0004	Thhalv10028246m.g, Thhalv10027529m.g
OG0000028	Caamp.0035s0018	Thhalv10003091m.g, Thhalv10009818m.g, Thhalv10017646m.g, Thhalv10001223m.g, Thhalv10029191m.g, Thhalv10027079m.g, Thhalv10002806m.g, Thhalv10003487m.g, Thhalv10027498m.g, Thhalv10012224m.g, Thhalv10009587m.g, Thhalv10012285m.g
OG0000035	Caamp.0058s0063, Caamp.1033s1054, Caamp.0001s0341, Caamp.0190s1171, Caamp.0097s0886, Caamp.0004s0287	Thhalv10000534m.g
OG0000045	Caamp.0004s0175	Thhalv10023807m.g, Thhalv10027423m.g
OG0000058	Caamp.0097s1071	Thhalv10002866m.g
OG0000065	Caamp.0064s0420, Caamp.0028s0061, Caamp.0139s0011, Caamp.0001s0356, Caamp.0022s0139, Caamp.0037s0534, Caamp.0102s0260, Caamp.0080s0002, Caamp.0011s0068	Thhalv10026974m.g, Thhalv10028995m.g, Thhalv10000723m.g
OG0000066	Caamp.0007s0457	Thhalv10011962m.g, Thhalv10012379m.g, Thhalv10012047m.g, Thhalv10012279m.g, Thhalv10012205m.g, Thhalv10012082m.g, Thhalv10011995m.g, Thhalv10012093m.g, Thhalv10012346m.g, Thhalv10012275m.g
OG0000066	Caamp.0007s0116	Thhalv10028042m.g
OG0000066	Caamp.0023s0224	Thhalv10009823m.g, Thhalv10009303m.g, Thhalv10009630m.g, Thhalv10009318m.g, Thhalv10009617m.g, Thhalv10009762m.g, Thhalv10009829m.g, Thhalv10006464m.g, Thhalv10019504m.g
OG0000066	Caamp.0007s0292	Thhalv10009523m.g, Thhalv10009370m.g, Thhalv10009437m.g, Thhalv10009427m.g, Thhalv10009588m.g, Thhalv10009341m.g, Thhalv10009451m.g, Thhalv10009932m.g, Thhalv10009628m.g, Thhalv10009377m.g, Thhalv10009572m.g, Thhalv10009326m.g, Thhalv10009314m.g, Thhalv10009316m.g, Thhalv10009543m.g, Thhalv10009507m.g, Thhalv10009740m.g, Thhalv10009646m.g, Thhalv10019539m.g, Thhalv10009665m.g, Thhalv10003077m.g, Thhalv10009304m.g, Thhalv10009454m.g, Thhalv10009439m.g, Thhalv10009733m.g, Thhalv10009883m.g, Thhalv10019467m.g, Thhalv10007859m.g
OG0000066	Caamp.0064s0574	Thhalv10009610m.g, Thhalv10009794m.g, Thhalv10009854m.g, Thhalv10012070m.g, Thhalv10012242m.g, Thhalv10012217m.g, Thhalv10012258m.g
OG0000071	Caamp.0034s0047	Thhalv10002286m.g
OG0000071	Caamp.0101s0157, Caamp.0097s0925, Caamp.0113s0022, Caamp.0007s0562, Caamp.0102s0986, Caamp.0011s0176, Caamp.0011s0140	Thhalv10029202m.g
OG0000073	Caamp.0188s0573, Caamp.0032s0051, Caamp.0064s0089	Thhalv10009777m.g, Thhalv10026817m.g
OG0000077	Caamp.0033s0051, Caamp.1035s0349, Caamp.0026s0243, Caamp.0005s0210	Thhalv10010368m.g, Thhalv10010369m.g
OG0000077	Caamp.1035s0553, Caamp.0120s0843	Thhalv10004208m.g
OG0000077	Caamp.0051s0036, Caamp.0066s0033	Thhalv10016651m.g
OG0000077	Caamp.1038s0212, Caamp.1041s1211	Thhalv10013524m.g
OG0000077	Caamp.0076s0457, Caamp.0006s0263	Thhalv10018544m.g
OG0000077	Caamp.0102s0562, Caamp.0105s0504	Thhalv10016629m.g
OG0000077	Caamp.0003s0508	Thhalv10025207m.g
OG0000077	Caamp.0058s0269, Caamp.0076s0557	Thhalv10003210m.g
OG0000078	Caamp.0080s0014	Thhalv10011059m.g
OG0000080	Caamp.1040s0465, Caamp.0005s0178	Thhalv10002572m.g
OG0000080	Caamp.0102s0287, Caamp.0078s0466, Caamp.0095s0862	Thhalv10016809m.g
OG0000080	Caamp.0105s0779	Thhalv10010455m.g
OG0000080	Caamp.0023s0049, Caamp.0078s1038	Thhalv10020950m.g
OG0000080	Caamp.0051s0330, Caamp.1039s1068	Thhalv10020906m.g
OG0000080	Caamp.1038s0437, Caamp.1041s0990	Thhalv10013834m.g
OG0000080	Caamp.0007s0283, Caamp.1033s0895	Thhalv10028132m.g
OG0000080	Caamp.0097s0242	Thhalv10013840m.g
OG0000093	Caamp.1041s0429, Caamp.0094s0838	Thhalv10024335m.g
OG0000093	Caamp.0058s0280, Caamp.0055s0019	Thhalv10002391m.g
OG0000093	Caamp.0098s0008, Caamp.0113s0021	Thhalv10002390m.g
OG0000093	Caamp.0064s0035	Thhalv10018080m.g
OG0000093	Caamp.0033s0049, Caamp.1035s0351	Thhalv10003603m.g
OG0000093	Caamp.1040s0653, Caamp.1037s1023	Thhalv10015530m.g
OG0000093	Caamp.0095s1233, Caamp.0093s0074	Thhalv10022531m.g
