Orthogroup	S_parvula	C_amplexicaulis
OG0000001	SpUn0293_0013	Caamp.0029s0025, Caamp.0011s0248, Caamp.0011s0247, Caamp.0014s0002, Caamp.0136s0002, Caamp.0135s0003, Caamp.0029s0054, Caamp.0035s0144, Caamp.0011s0175, Caamp.1040s1539, Caamp.0012s0033, Caamp.0075s0019, Caamp.0016s0127, Caamp.0086s0031, Caamp.0012s0062, Caamp.0012s0058, Caamp.0036s0006, Caamp.0041s0006, Caamp.0034s0024, Caamp.0008s0091, Caamp.0011s0221, Caamp.0201s0007, Caamp.0012s0057, Caamp.0029s0023, Caamp.0010s0325, Caamp.0098s0015, Caamp.0011s0136, Caamp.0004s0167, Caamp.0130s0004, Caamp.0086s0016, Caamp.0134s0002, Caamp.0134s0005, Caamp.0134s0006, Caamp.0061s0094, Caamp.0030s0001, Caamp.0106s0002, Caamp.0146s0003, Caamp.1040s1559, Caamp.0004s0070, Caamp.0122s0002, Caamp.0189s0002, Caamp.0719s0001, Caamp.0190s1168, Caamp.0113s0036, Caamp.0011s0220, Caamp.0058s0030, Caamp.0048s0056, Caamp.0019s0090, Caamp.0008s0064, Caamp.0067s0002, Caamp.0067s0021, Caamp.0113s0018, Caamp.0098s0004, Caamp.0035s0143, Caamp.0258s0006, Caamp.0035s0232, Caamp.0152s0024, Caamp.0055s0007, Caamp.0123s0005, Caamp.0020s0057, Caamp.0152s0013, Caamp.0009s0071, Caamp.0088s0016, Caamp.0025s0062, Caamp.0083s0005, Caamp.0073s0020, Caamp.0081s0022, Caamp.0012s0053, Caamp.0048s0059, Caamp.0123s0012, Caamp.0133s0004, Caamp.0098s0007, Caamp.0116s0017, Caamp.0041s0005, Caamp.0014s0015, Caamp.0011s0187, Caamp.0014s0085, Caamp.0258s0003, Caamp.0210s0005, Caamp.0589s0001, Caamp.0189s0005, Caamp.0229s0004, Caamp.0010s0026, Caamp.0112s0017, Caamp.0035s0268, Caamp.0258s0001, Caamp.0086s0004, Caamp.0129s0002, Caamp.0063s0005, Caamp.0145s0003, Caamp.0062s0009, Caamp.0030s0049, Caamp.0021s0059, Caamp.0329s0002, Caamp.0285s0002, Caamp.0001s0290, Caamp.0025s0058, Caamp.0115s0016, Caamp.0030s0044, Caamp.0148s0002, Caamp.0042s0041, Caamp.0019s0114, Caamp.0029s0052, Caamp.0282s0001, Caamp.0036s0019, Caamp.1040s1486, Caamp.0009s0062, Caamp.0097s0015, Caamp.0061s0096, Caamp.0082s0001, Caamp.0399s0001, Caamp.0495s0001, Caamp.0008s0166, Caamp.0102s0980, Caamp.0460s0001, Caamp.0102s0916, Caamp.0019s0136, Caamp.0061s0097, Caamp.0108s0001, Caamp.0106s0003, Caamp.0030s0023, Caamp.0035s0195, Caamp.0106s0004, Caamp.0127s0002, Caamp.0007s0323, Caamp.0064s0449, Caamp.0016s0096, Caamp.0011s0159, Caamp.0030s0018, Caamp.0007s0455, Caamp.0014s0025, Caamp.0098s0002, Caamp.0165s0001, Caamp.0019s0070, Caamp.0087s0004, Caamp.0102s0954, Caamp.0095s0271, Caamp.0019s0077, Caamp.0135s0002, Caamp.0019s0027, Caamp.0010s0313, Caamp.0157s0006, Caamp.0019s0048, Caamp.0095s0272, Caamp.0035s0149, Caamp.0172s0004, Caamp.0157s0012, Caamp.0097s0468, Caamp.0152s0014, Caamp.0012s0065, Caamp.0097s0878, Caamp.0020s0037, Caamp.0112s0012, Caamp.0002s0032, Caamp.0086s0018, Caamp.0041s0011, Caamp.0035s0131, Caamp.0035s0135, Caamp.0001s0361, Caamp.0035s0155, Caamp.0035s0267, Caamp.0019s0041, Caamp.0008s0146, Caamp.0032s0010, Caamp.0118s0019, Caamp.1040s1462, Caamp.0034s0031, Caamp.0014s0077, Caamp.0014s0078, Caamp.0010s0333, Caamp.0133s0002, Caamp.0062s0017, Caamp.0089s0032, Caamp.0010s0362, Caamp.0036s0003, Caamp.0126s0001, Caamp.0014s0084, Caamp.0113s0002, Caamp.0062s0016, Caamp.0086s0034, Caamp.0034s0041, Caamp.0073s0017, Caamp.0112s0009, Caamp.0129s0062, Caamp.0068s0010, Caamp.0019s0076, Caamp.0113s0012, Caamp.0017s0028, Caamp.0008s0179, Caamp.0019s0031, Caamp.0073s0041, Caamp.0039s0002, Caamp.0067s0018, Caamp.0145s0007, Caamp.0301s0002, Caamp.1040s1368, Caamp.0014s0013, Caamp.0014s0012, Caamp.0097s1029, Caamp.0210s0008, Caamp.0507s0002, Caamp.0014s0088, Caamp.0029s0039, Caamp.0157s0008, Caamp.0068s0061, Caamp.0118s0024, Caamp.0191s0001, Caamp.0247s0001, Caamp.0135s0006, Caamp.0064s0499, Caamp.0073s0014, Caamp.0122s0010, Caamp.0034s0030, Caamp.0172s0005, Caamp.0118s0016, Caamp.0057s0005, Caamp.0002s0018, Caamp.0011s0222, Caamp.0130s0003, Caamp.0035s0236, Caamp.0019s0029, Caamp.0055s0030, Caamp.0010s0327, Caamp.0115s0004, Caamp.0004s0223, Caamp.0035s0038, Caamp.0035s0243, Caamp.0055s0026, Caamp.0035s0029, Caamp.0021s0082, Caamp.0097s0016, Caamp.0062s0021, Caamp.0073s0024, Caamp.0220s0003, Caamp.0097s0986, Caamp.0043s0010, Caamp.0035s0123, Caamp.0164s0003, Caamp.0021s0075, Caamp.0030s0008, Caamp.0035s0153, Caamp.0021s0036, Caamp.0095s0282, Caamp.0041s0028, Caamp.0050s0004, Caamp.0112s0003, Caamp.0102s0989, Caamp.0035s0235
OG0000001	Sp5g19285	Caamp.0017s0041, Caamp.0097s1044, Caamp.0048s0032, Caamp.0048s0061, Caamp.0034s0043, Caamp.0061s0093, Caamp.0020s0066, Caamp.0057s0001, Caamp.0133s0001, Caamp.0113s0013, Caamp.0122s0003, Caamp.0014s0034, Caamp.0124s0009, Caamp.0220s0002, Caamp.0089s0033, Caamp.0034s0015, Caamp.0145s0005, Caamp.0220s0001, Caamp.0021s0098, Caamp.0042s0014, Caamp.0326s0001, Caamp.0055s0037, Caamp.0048s0001, Caamp.0010s0326
OG0000002	Sp6g09490	Caamp.1040s1348, Caamp.0027s0021, Caamp.0097s0038, Caamp.0004s0323, Caamp.0004s0133, Caamp.0004s0187, Caamp.0068s0004, Caamp.0039s0047, Caamp.0106s0006, Caamp.0156s0001, Caamp.0088s0008, Caamp.0026s0837, Caamp.0050s0022, Caamp.0335s0001, Caamp.1040s1543, Caamp.1037s1707
OG0000007	Sp3g26150	Caamp.0306s0014
OG0000008	Sp3g32060, Sp4g08570, Sp6g12850, Sp3g23530, SpUn0005_0320, SpUn0040_0030, Sp7g06310, Sp3g26560, Sp2g03930, Sp7g15680, Sp2g01940, Sp6g09430, SpUn0384_0010, SpUn0099_0030, SpUn0012_0150, Sp7g09000, Sp7g08360, Sp4g07040, Sp5g17720, Sp1g33550, Sp2g04150, Sp1g27740, Sp3g22100, Sp1g22890, Sp4g09730, SpUn0012_0100, Sp3g30250, Sp6g12950, Sp3g16820, Sp7g04770, Sp2g07580, Sp5g17500, Sp7g05060, Sp6g10040, Sp6g13690, SpUn0766_0010, Sp1g28040, Sp7g03240, Sp6g10070, Sp7g07910, Sp6g07480, SpUn1343_0010, Sp4g06760, Sp6g09530, Sp7g04650, Sp6g09520, Sp3g24960, Sp5g20110, Sp3g24980, SpUn0964_0010, Sp4g08290, Sp4g07790, SpUn1473_0010, Sp1g30010, Sp4g06510, Sp1g31220, SpUn1041_0010, Sp6g11540, Sp6g11510, Sp7g05250, SpUn1377_0010, Sp4g03810, Sp7g04440, Sp6g09180, Sp6g06910, Sp6g07470, Sp2g06390, Sp3g24900, Sp4g09830, Sp1g26860, Sp6g07940, SpUn0012_0110, Sp7g02020, SpUn0012_0070, Sp7g09870, Sp2g06500, Sp4g05650, Sp5g17780, Sp3g27530, Sp6g06180, Sp6g12230, Sp1g26170, Sp1g26390, SpUn0005_0200, Sp5g16110, Sp2g06320, Sp2g06660, Sp1g29710, Sp1g34280, Sp5g13270, Sp4g08540, Sp4g08090, Sp5g19670, Sp1g30450, Sp6g09190, Sp6g04590, SpUn0110_0030, Sp7g04600, Sp3g26990, SpUn0115_0010, SpUn0007_0220, Sp4g05400, Sp1g32220, Sp2g07180, Sp6g08950, Sp5g25660, Sp4g07350, Sp3g28940, Sp1g36950, Sp1g31760, Sp6g09760, SpUn0001_1030, Sp3g24810, Sp4g08690, Sp7g01860, Sp5g20480, SpUn0002_0240, Sp6g08050, Sp3g27550, Sp2g06130, SpUn0002_0660, Sp4g08530, Sp1g29170, Sp6g07770, SpUn0001_0270, Sp1g30190, SpUn1591_0010, Sp2g05070, Sp5g20210, Sp1g31580, Sp4g07990, SpUn1945_0010, Sp3g27590, Sp3g28320, Sp4g10560, Sp4g08340, Sp6g10780, Sp3g27990, SpUn0614_0010, SpUn0079_0010, Sp5g17940, SpUn0012_0080, Sp4g09760, Sp3g26100, Sp3g24890, Sp5g19860, Sp4g03200, Sp1g33200, Sp1g31950, SpUn0002_0330, Sp1g31780, Sp5g20530, Sp6g11380, Sp7g09320, SpUn1064_0010, SpUn0001_0100, Sp4g12960, Sp3g26070, Sp3g26520, Sp7g05320, Sp1g29160, Sp3g27610, Sp1g36360, Sp3g28330, Sp6g07780, SpUn1205_0010, Sp1g26850, SpUn0895_0010, SpUn0475_0010, SpUn0390_0010, SpUn0385_0010, Sp5g17960, Sp1g36560, Sp5g19640, Sp1g38460, Sp2g02140, Sp1g32040, SpUn0003_0040, Sp2g05050	Caamp.0097s0840
OG0000011	Sp4g07770, SpUn0002_0430, Sp7g10000, Sp5g19210, Sp3g26550, SpUn0005_0270, Sp7g03400, SpUn0002_0760, SpUn0035_0100, Sp4g06870, SpUn0158_0010, Sp3g25520, Sp3g25260, SpUn0032_0060, Sp3g25220, Sp4g06080, Sp5g19880, SpUn0001_0340, Sp4g07690, Sp7g08430, Sp6g11620, Sp4g08030, Sp4g08040, Sp4g07580, Sp5g19420, Sp7g08180, SpUn1355_0010, Sp4g06530, SpUn0097_0020, Sp6g11780, SpUn0041_0040, Sp3g34180, Sp7g11160, Sp3g26730, Sp7g08340, Sp3g26110, Sp1g33320, Sp3g27210, Sp3g24000, Sp7g09650, Sp7g07110, Sp3g24530, Sp4g05410, Sp6g11770, Sp5g19430, Sp3g24850, Sp1g21810, SpUn1035_0010, SpUn1028_0010, Sp3g27370, Sp7g05160, Sp5g18860, Sp4g06840, SpUn0016_0130, SpUn0016_0140, SpUn0112_0010, Sp7g06930, Sp3g23910, Sp5g18310, SpUn0045_0040, SpUn0043_0050, SpUn0112_0020, Sp7g06950, Sp7g06690, Sp4g09110, SpUn0002_0410, Sp7g08730, SpUn0016_0100, SpUn0041_0060, Sp7g09130, SpUn0107_0010, SpUn0043_0010, Sp4g07650, Sp6g12070, Sp7g10270, SpUn0016_0060, SpUn0041_0070, SpUn0016_0050, SpUn1243_0010, Sp7g08720, Sp4g07610, SpUn0041_0050, Sp5g16770, SpUn0003_0250, Sp4g08840, SpUn0016_0120, Sp7g06960, Sp1g31590, SpUn0005_0280, SpUn0150_0020, Sp3g26270, SpUn0016_0020, Sp5g18300, SpUn0016_0170, SpUn0041_0020, SpUn0016_0070, Sp7g10250, Sp7g05150, Sp4g07630, Sp7g05870, SpUn1315_0010, Sp3g24460, SpUn0458_0020, Sp7g07550, Sp4g07680, Sp1g32190, Sp4g07830, Sp1g31570, Sp5g19010, Sp4g09100, Sp7g06980, SpUn0088_0020, Sp1g30780, Sp4g09330, SpUn0037_0010, Sp3g24160, Sp5g18970, SpUn0016_0150, Sp7g08740, SpUn0784_0010, Sp3g23900, Sp1g33040, Sp1g33050, Sp3g23920, Sp7g06920, Sp7g06940, Sp6g08100, SpUn0005_0340, Sp6g11230, Sp3g25170, Sp3g24450, SpUn0469_0010, SpUn0004_0220, SpUn0004_0230, SpUn0411_0010, SpUn0144_0010, SpUn0002_0560, SpUn0150_0030, SpUn0005_0290, SpUn0394_0010, SpUn0008_0060, SpUn0099_0050, SpUn0516_0010, Sp4g04500, Sp7g07300, Sp3g23680, SpUn0016_0090, SpUn0041_0090	Caamp.0039s0026
OG0000013	Sp3g26440, SpUn0001_0420, Sp3g25100, SpUn0003_0210, Sp6g10760, Sp6g10250, Sp1g31630, Sp7g05560, SpUn0001_0580, Sp1g30910, Sp7g05850, Sp6g12240, Sp6g12250, Sp5g18590, Sp5g18600, SpUn0002_0790, SpUn0759_0010, Sp5g19350, Sp6g11010, SpUn1060_0010, Sp3g24650, Sp6g10340, Sp3g25010, Sp7g08170, SpUn0126_0010, Sp4g08420, Sp5g18350, SpUn0002_0090, Sp3g25070, Sp5g19160, Sp5g18330, Sp2g06350, Sp7g06490, Sp5g19460, Sp3g26000, Sp4g08410, Sp1g31000, SpUn0001_0300, SpUn0094_0010, SpUn0104_0010, Sp6g12503, SpUn0015_0170, Sp3g29530, Sp4g05370, Sp7g05210, Sp3g26920, Sp5g20900, Sp3g26740, Sp7g05220, Sp6g12190, Sp5g18140, Sp7g07000, Sp4g09530, Sp2g06760, SpUn0320_0010, Sp7g06480, Sp5g17060, Sp4g06620, Sp2g07210, SpUn0004_0160, Sp4g09540, Sp4g07170, Sp5g20170, SpUn0207_0010, SpUn0812_0010, SpUn0207_0020, SpUn1232_0010, Sp1g29790, SpUn1006_0010, Sp5g19330, Sp5g19030, Sp7g10450, Sp4g07180, Sp6g11700, Sp4g06610, Sp3g24410, SpUn0053_0070, Sp1g30330, Sp5g20130, Sp4g08790, Sp5g19280, Sp6g11750, Sp7g10400, Sp7g08330, Sp7g09230, SpUn0001_0650, SpUn0001_0640, Sp3g26910, SpUn0001_0560, SpUn0003_0340, Sp4g06930, Sp4g06920, Sp6g10550, Sp4g09090, SpUn0003_0180, SpUn0025_0030, Sp5g20250, Sp7g05430, Sp6g10750, Sp2g06810, Sp1g29850, Sp6g10210, Sp7g06730, SpUn0003_0350, Sp3g23990, Sp4g05600, Sp2g06800, Sp7g07540, Sp4g09590, Sp5g19820, Sp1g30860, Sp2g06600, Sp3g25150, Sp1g29840, Sp5g19830, Sp1g30970, Sp6g11470, Sp7g07440, Sp1g31330, Sp4g08520, Sp1g31460, Sp2g08260, Sp1g30830	Caamp.0017s0080
OG0000017	Sp6g11020, Sp7g03480	Caamp.0097s0981
OG0000017	Sp1g32850, Sp3g26930	Caamp.0075s0004
OG0000017	Sp7g09260, Sp1g16530, SpUn0002_0220, Sp5g16900, Sp7g10830, Sp6g11310, Sp7g09450, Sp7g07960, Sp4g06340, Sp1g32680, Sp6g09170, Sp6g07890, Sp4g08700, SpUn0002_0030, Sp1g31240, Sp6g11390, Sp2g05200, SpUn0001_1070, Sp1g32360, Sp7g07460, Sp2g07530, Sp6g09680, Sp6g10520, SpUn1776_0010, Sp5g18380, Sp6g12660, SpUn0001_0870, Sp6g10400, Sp5g21220, Sp7g08130, Sp6g10600, Sp4g04600, Sp6g04550	Caamp.0011s0141
