Orthogroup	S_diversifolius	C_amplexicaulis
OG0000002	Sdiv_ptg000001l_0441-R	Caamp.0031s0026
OG0000002	Sdiv_ptg000014l_1842-R	Caamp.0008s0079, Caamp.0062s0014, Caamp.0129s0063, Caamp.0010s0319, Caamp.0034s0027
OG0000013	Sdiv_ptg000629l_0004-R, Sdiv_ptg000942l_0006-R, Sdiv_ptg000558l_0001-R, Sdiv_ptg000037l_0001-R, Sdiv_ptg000062l_0004-R, Sdiv_ptg000127l_0004-R, Sdiv_ptg000132l_0002-R, Sdiv_ptg000155l_0001-R, Sdiv_ptg000055l_0006-R, Sdiv_ptg000120l_0007-R, Sdiv_ptg000080l_0008-R, Sdiv_ptg000075l_0002-R, Sdiv_ptg000038l_0005-R, Sdiv_ptg000142l_0003-R, Sdiv_ptg000104l_0001-R, Sdiv_ptg000077l_0008-R, Sdiv_ptg000152l_0002-R, Sdiv_ptg000094l_0004-R, Sdiv_ptg000116l_0001-R, Sdiv_ptg000118l_0006-R, Sdiv_ptg000021l_0008-R, Sdiv_ptg000168l_0003-R, Sdiv_ptg000149l_0009-R, Sdiv_ptg000112l_0001-R, Sdiv_ptg000017l_0001-R, Sdiv_ptg000146l_0004-R, Sdiv_ptg000098l_0006-R, Sdiv_ptg000743l_0007-R, Sdiv_ptg000274l_0007-R, Sdiv_ptg000358l_0010-R, Sdiv_ptg000568l_0003-R, Sdiv_ptg000722l_0002-R, Sdiv_ptg000525l_0004-R, Sdiv_ptg001087l_0006-R, Sdiv_ptg001133l_0001-R, Sdiv_ptg000775l_0001-R, Sdiv_ptg000983l_0002-R, Sdiv_ptg000464l_0006-R, Sdiv_ptg000758l_0005-R, Sdiv_ptg000264l_0003-R, Sdiv_ptg000785l_0002-R, Sdiv_ptg000488l_0002-R, Sdiv_ptg000336l_0003-R, Sdiv_ptg000670l_0002-R, Sdiv_ptg000714l_0006-R, Sdiv_ptg000497l_0004-R, Sdiv_ptg000806l_0004-R, Sdiv_ptg000612l_0009-R, Sdiv_ptg000879l_0007-R, Sdiv_ptg000837l_0001-R, Sdiv_ptg000769l_0008-R, Sdiv_ptg000177l_0001-R, Sdiv_ptg000403l_0004-R, Sdiv_ptg000734l_0001-R, Sdiv_ptg000659l_0006-R, Sdiv_ptg000877l_0006-R, Sdiv_ptg000189l_0004-R, Sdiv_ptg000599l_0010-R, Sdiv_ptg000948l_0001-R, Sdiv_ptg000427l_0006-R, Sdiv_ptg000570l_0002-R, Sdiv_ptg000790l_0007-R, Sdiv_ptg000206l_0006-R, Sdiv_ptg001099l_0004-R, Sdiv_ptg000298l_0001-R, Sdiv_ptg000757l_0002-R, Sdiv_ptg000860l_0002-R, Sdiv_ptg000547l_0007-R, Sdiv_ptg000721l_0003-R, Sdiv_ptg000789l_0006-R, Sdiv_ptg000882l_0005-R, Sdiv_ptg000675l_0006-R, Sdiv_ptg000307l_0006-R, Sdiv_ptg000750l_0003-R, Sdiv_ptg001177l_0007-R, Sdiv_ptg000250l_0002-R, Sdiv_ptg000191l_0002-R, Sdiv_ptg000326l_0004-R, Sdiv_ptg000927l_0006-R, Sdiv_ptg001055l_0001-R, Sdiv_ptg000590l_0007-R, Sdiv_ptg000510l_0006-R, Sdiv_ptg000193l_0007-R, Sdiv_ptg000329l_0002-R, Sdiv_ptg001008l_0006-R, Sdiv_ptg001065l_0004-R, Sdiv_ptg000369l_0004-R, Sdiv_ptg000465l_0001-R, Sdiv_ptg000893l_0008-R, Sdiv_ptg001062l_0006-R, Sdiv_ptg000809l_0002-R, Sdiv_ptg000517l_0003-R, Sdiv_ptg000302l_0004-R, Sdiv_ptg000347l_0002-R, Sdiv_ptg001157l_0001-R, Sdiv_ptg000611l_0006-R, Sdiv_ptg000764l_0002-R, Sdiv_ptg000813l_0006-R, Sdiv_ptg000624l_0001-R, Sdiv_ptg000709l_0001-R, Sdiv_ptg000921l_0005-R, Sdiv_ptg000402l_0008-R, Sdiv_ptg000667l_0002-R, Sdiv_ptg001173l_0005-R, Sdiv_ptg000188l_0005-R, Sdiv_ptg000917l_0006-R, Sdiv_ptg000344l_0003-R, Sdiv_ptg000916l_0002-R, Sdiv_ptg000362l_0002-R, Sdiv_ptg000331l_0006-R, Sdiv_ptg000296l_0006-R, Sdiv_ptg000998l_0004-R, Sdiv_ptg000992l_0003-R, Sdiv_ptg001033l_0001-R, Sdiv_ptg000401l_0007-R, Sdiv_ptg000925l_0006-R, Sdiv_ptg001053l_0006-R, Sdiv_ptg000818l_0004-R, Sdiv_ptg000474l_0005-R, Sdiv_ptg000455l_0004-R, Sdiv_ptg000316l_0006-R, Sdiv_ptg000384l_0001-R, Sdiv_ptg001120l_0002-R, Sdiv_ptg000458l_0002-R, Sdiv_ptg001057l_0004-R, Sdiv_ptg000227l_0005-R, Sdiv_ptg000792l_0002-R, Sdiv_ptg001125l_0006-R, Sdiv_ptg000964l_0001-R, Sdiv_ptg000291l_0006-R, Sdiv_ptg001019l_0001-R, Sdiv_ptg000880l_0002-R, Sdiv_ptg000339l_0008-R, Sdiv_ptg000500l_0005-R, Sdiv_ptg000240l_0001-R, Sdiv_ptg000251l_0003-R, Sdiv_ptg000475l_0004-R, Sdiv_ptg000443l_0002-R, Sdiv_ptg001153l_0005-R, Sdiv_ptg000301l_0005-R, Sdiv_ptg000327l_0006-R, Sdiv_ptg001050l_0006-R, Sdiv_ptg001059l_0006-R, Sdiv_ptg000985l_0004-R, Sdiv_ptg000501l_0007-R, Sdiv_ptg000725l_0008-R, Sdiv_ptg001063l_0005-R, Sdiv_ptg000715l_0006-R, Sdiv_ptg000760l_0006-R, Sdiv_ptg001037l_0004-R, Sdiv_ptg000799l_0004-R, Sdiv_ptg000299l_0001-R, Sdiv_ptg000541l_0005-R, Sdiv_ptg000787l_0002-R, Sdiv_ptg000695l_0004-R, Sdiv_ptg000237l_0006-R, Sdiv_ptg000979l_0006-R, Sdiv_ptg000665l_0008-R, Sdiv_ptg000589l_0004-R, Sdiv_ptg000756l_0001-R, Sdiv_ptg001148l_0001-R, Sdiv_ptg001054l_0001-R, Sdiv_ptg000662l_0005-R, Sdiv_ptg000238l_0007-R, Sdiv_ptg000817l_0004-R, Sdiv_ptg000845l_0004-R, Sdiv_ptg000269l_0006-R, Sdiv_ptg001010l_0002-R, Sdiv_ptg000557l_0006-R, Sdiv_ptg000322l_0001-R, Sdiv_ptg000938l_0002-R, Sdiv_ptg000638l_0006-R, Sdiv_ptg000259l_0005-R, Sdiv_ptg000252l_0002-R, Sdiv_ptg000473l_0002-R, Sdiv_ptg000593l_0006-R, Sdiv_ptg000351l_0002-R, Sdiv_ptg001161l_0007-R, Sdiv_ptg001178l_0003-R, Sdiv_ptg000773l_0001-R, Sdiv_ptg000933l_0001-R, Sdiv_ptg000947l_0001-R, Sdiv_ptg000668l_0006-R, Sdiv_ptg001058l_0004-R, Sdiv_ptg001135l_0004-R, Sdiv_ptg000586l_0003-R, Sdiv_ptg000260l_0002-R, Sdiv_ptg000246l_0001-R, Sdiv_ptg000540l_0008-R, Sdiv_ptg000553l_0001-R, Sdiv_ptg000939l_0002-R, Sdiv_ptg000395l_0002-R, Sdiv_ptg000716l_0004-R	Caamp.0311s0026
OG0000013	Sdiv_ptg000244l_0007-R, Sdiv_ptg000580l_0004-R, Sdiv_ptg000139l_0001-R	Caamp.0110s0043
OG0000016	Sdiv_ptg000547l_0002-R, Sdiv_ptg000518l_0001-R, Sdiv_ptg000801l_0002-R, Sdiv_ptg000631l_0002-R, Sdiv_ptg000866l_0001-R, Sdiv_ptg000554l_0007-R, Sdiv_ptg000798l_0001-R, Sdiv_ptg000689l_0004-R, Sdiv_ptg000937l_0002-R, Sdiv_ptg000654l_0002-R, Sdiv_ptg000696l_0001-R, Sdiv_ptg000896l_0002-R, Sdiv_ptg000794l_0007-R, Sdiv_ptg001036l_0001-R, Sdiv_ptg000361l_0002-R, Sdiv_ptg000602l_0001-R, Sdiv_ptg000237l_0001-R, Sdiv_ptg000318l_0002-R, Sdiv_ptg000685l_0001-R, Sdiv_ptg000673l_0002-R, Sdiv_ptg001175l_0002-R, Sdiv_ptg000628l_0002-R, Sdiv_ptg001093l_0006-R, Sdiv_ptg000608l_0003-R, Sdiv_ptg000280l_0005-R, Sdiv_ptg000243l_0003-R, Sdiv_ptg000042l_0007-R, Sdiv_ptg000171l_0001-R, Sdiv_ptg000912l_0003-R, Sdiv_ptg000820l_0006-R, Sdiv_ptg000934l_0001-R, Sdiv_ptg000665l_0003-R, Sdiv_ptg000660l_0001-R, Sdiv_ptg000761l_0002-R, Sdiv_ptg000282l_0007-R, Sdiv_ptg000465l_0006-R, Sdiv_ptg000951l_0002-R, Sdiv_ptg000766l_0001-R, Sdiv_ptg000858l_0002-R, Sdiv_ptg000778l_0001-R, Sdiv_ptg000612l_0003-R, Sdiv_ptg000809l_0007-R, Sdiv_ptg000658l_0001-R, Sdiv_ptg000105l_0003-R, Sdiv_ptg000433l_0006-R, Sdiv_ptg001014l_0004-R, Sdiv_ptg000322l_0006-R, Sdiv_ptg000243l_0002-R, Sdiv_ptg000778l_0002-R, Sdiv_ptg000280l_0004-R, Sdiv_ptg001146l_0001-R, Sdiv_ptg000783l_0001-R, Sdiv_ptg000539l_0003-R, Sdiv_ptg000285l_0004-R, Sdiv_ptg000282l_0008-R, Sdiv_ptg000298l_0005-R, Sdiv_ptg000599l_0004-R, Sdiv_ptg001111l_0003-R, Sdiv_ptg000933l_0005-R, Sdiv_ptg000844l_0005-R, Sdiv_ptg000397l_0001-R, Sdiv_ptg000339l_0003-R, Sdiv_ptg001174l_0004-R, Sdiv_ptg000738l_0005-R, Sdiv_ptg000738l_0006-R, Sdiv_ptg000545l_0003-R, Sdiv_ptg000935l_0003-R, Sdiv_ptg000964l_0007-R, Sdiv_ptg000771l_0001-R, Sdiv_ptg001161l_0001-R, Sdiv_ptg000601l_0001-R, Sdiv_ptg000546l_0001-R, Sdiv_ptg000493l_0003-R, Sdiv_ptg001081l_0004-R, Sdiv_ptg000156l_0001-R, Sdiv_ptg000743l_0001-R, Sdiv_ptg000658l_0002-R, Sdiv_ptg000809l_0008-R, Sdiv_ptg000935l_0004-R, Sdiv_ptg000220l_0002-R, Sdiv_ptg000735l_0006-R, Sdiv_ptg000322l_0007-R, Sdiv_ptg000323l_0001-R, Sdiv_ptg000612l_0002-R, Sdiv_ptg000149l_0003-R, Sdiv_ptg000017l_0006-R, Sdiv_ptg000165l_0002-R, Sdiv_ptg000217l_0002-R, Sdiv_ptg000135l_0003-R, Sdiv_ptg000198l_0004-R, Sdiv_ptg000197l_0001-R, Sdiv_ptg000051l_0001-R, Sdiv_ptg000401l_0003-R, Sdiv_ptg000139l_0006-R, Sdiv_ptg000126l_0002-R, Sdiv_ptg000021l_0002-R, Sdiv_ptg000046l_0003-R, Sdiv_ptg000162l_0002-R, Sdiv_ptg000104l_0006-R, Sdiv_ptg000193l_0001-R, Sdiv_ptg000036l_0002-R, Sdiv_ptg000118l_0011-R, Sdiv_ptg000274l_0001-R, Sdiv_ptg000201l_0001-R, Sdiv_ptg000840l_0002-R, Sdiv_ptg001162l_0003-R, Sdiv_ptg000236l_0004-R, Sdiv_ptg001044l_0003-R, Sdiv_ptg000583l_0002-R, Sdiv_ptg000725l_0002-R, Sdiv_ptg001016l_0002-R, Sdiv_ptg000370l_0001-R, Sdiv_ptg001139l_0001-R, Sdiv_ptg000544l_0001-R, Sdiv_ptg000340l_0004-R, Sdiv_ptg000462l_0003-R, Sdiv_ptg000672l_0002-R, Sdiv_ptg000346l_0002-R, Sdiv_ptg000540l_0002-R, Sdiv_ptg000484l_0002-R, Sdiv_ptg000421l_0002-R, Sdiv_ptg000619l_0002-R, Sdiv_ptg001019l_0008-R, Sdiv_ptg000646l_0006-R, Sdiv_ptg000363l_0002-R, Sdiv_ptg000864l_0001-R, Sdiv_ptg000355l_0001-R, Sdiv_ptg001124l_0002-R, Sdiv_ptg000826l_0002-R, Sdiv_ptg000900l_0001-R, Sdiv_ptg000418l_0002-R, Sdiv_ptg000526l_0002-R, Sdiv_ptg000513l_0005-R, Sdiv_ptg000605l_0002-R, Sdiv_ptg000857l_0007-R, Sdiv_ptg000432l_0001-R, Sdiv_ptg000240l_0006-R, Sdiv_ptg000804l_0002-R, Sdiv_ptg000899l_0001-R, Sdiv_ptg000947l_0007-R, Sdiv_ptg000443l_0006-R, Sdiv_ptg000869l_0002-R, Sdiv_ptg000736l_0001-R, Sdiv_ptg000811l_0001-R, Sdiv_ptg001100l_0002-R, Sdiv_ptg000651l_0006-R, Sdiv_ptg000293l_0006-R, Sdiv_ptg000712l_0007-R, Sdiv_ptg000505l_0001-R, Sdiv_ptg000664l_0002-R, Sdiv_ptg000611l_0001-R, Sdiv_ptg000446l_0001-R, Sdiv_ptg000757l_0007-R, Sdiv_ptg000692l_0004-R, Sdiv_ptg000666l_0003-R, Sdiv_ptg000300l_0003-R, Sdiv_ptg000532l_0003-R, Sdiv_ptg001155l_0001-R, Sdiv_ptg000360l_0003-R, Sdiv_ptg000391l_0001-R, Sdiv_ptg000749l_0002-R, Sdiv_ptg000790l_0001-R, Sdiv_ptg001017l_0002-R, Sdiv_ptg001067l_0005-R, Sdiv_ptg000244l_0002-R, Sdiv_ptg000566l_0003-R, Sdiv_ptg000835l_0002-R, Sdiv_ptg000437l_0001-R, Sdiv_ptg000383l_0005-R, Sdiv_ptg000299l_0006-R, Sdiv_ptg001131l_0001-R, Sdiv_ptg000803l_0002-R, Sdiv_ptg000942l_0002-R, Sdiv_ptg000800l_0001-R, Sdiv_ptg000073l_0003-R, Sdiv_ptg000210l_0002-R, Sdiv_ptg000086l_0007-R, Sdiv_ptg000177l_0006-R, Sdiv_ptg000060l_0004-R, Sdiv_ptg000192l_0004-R, Sdiv_ptg000730l_0003-R, Sdiv_ptg000596l_0003-R, Sdiv_ptg000679l_0005-R, Sdiv_ptg000311l_0005-R	Caamp.0306s0014
OG0000030	Sdiv_ptg000014l_1867-R	Caamp.0031s0037, Caamp.0039s0031, Caamp.0097s0993, Caamp.0097s0990, Caamp.0167s0007, Caamp.0005s0027, Caamp.0035s0134, Caamp.0049s0033, Caamp.0055s0032, Caamp.0190s1200, Caamp.0035s0167, Caamp.0201s0002, Caamp.1040s1407, Caamp.0047s0005, Caamp.0062s0001, Caamp.0097s0924, Caamp.0112s0015, Caamp.0011s0245, Caamp.0239s0002, Caamp.0126s0003, Caamp.0292s0005, Caamp.0191s0002, Caamp.0011s0195, Caamp.0017s0005, Caamp.0126s0009, Caamp.0010s0024, Caamp.0152s0016, Caamp.0008s0205, Caamp.0043s0018, Caamp.0095s0274, Caamp.0035s0129, Caamp.0048s0047, Caamp.0129s0033, Caamp.0035s0006, Caamp.0019s0138, Caamp.0043s0004, Caamp.1040s1490, Caamp.0035s0117, Caamp.1040s1541, Caamp.0138s0003, Caamp.0086s0009, Caamp.0025s0029, Caamp.0002s0013, Caamp.0017s0073, Caamp.1040s1526, Caamp.0138s0001, Caamp.0303s0079, Caamp.0126s0012, Caamp.0029s0033, Caamp.0057s0036, Caamp.0162s0001, Caamp.0113s0020, Caamp.1033s0935, Caamp.0019s0057, Caamp.1040s1516, Caamp.0025s0019, Caamp.1037s1762, Caamp.0048s0011, Caamp.0097s0146, Caamp.0004s0169, Caamp.1040s0938, Caamp.0035s0110, Caamp.0062s0010, Caamp.0001s0327, Caamp.0053s0095, Caamp.0006s0706, Caamp.0008s0207, Caamp.0027s0050, Caamp.0076s0689, Caamp.0097s0992, Caamp.0243s0004, Caamp.0101s0179, Caamp.0034s0028, Caamp.0098s0006, Caamp.0076s1088, Caamp.0058s0073, Caamp.0039s0009, Caamp.0004s0168, Caamp.0042s0031, Caamp.0019s0051, Caamp.0021s0061, Caamp.0035s0145, Caamp.0036s0032, Caamp.0255s0001, Caamp.0008s0203, Caamp.0190s0458, Caamp.0005s0297, Caamp.0078s0649, Caamp.0008s0072, Caamp.0009s0079, Caamp.0038s0048, Caamp.0063s0020, Caamp.0032s0005, Caamp.0463s0001, Caamp.0019s0043, Caamp.0073s0003, Caamp.0324s0003, Caamp.0043s0019
OG0000030	Sdiv_ptg000010l_1447-R, Sdiv_ptg000003l_1336-R	Caamp.0035s0121, Caamp.0172s0006, Caamp.0017s0038, Caamp.0119s0004, Caamp.0073s0004, Caamp.0210s0002, Caamp.0134s0007, Caamp.0157s0004, Caamp.0032s0002, Caamp.0165s0007, Caamp.0009s0080, Caamp.0035s0022, Caamp.0055s0033, Caamp.0039s0050, Caamp.0055s0006, Caamp.1040s1408, Caamp.0030s0042, Caamp.0035s0214
OG0000046	Sdiv_ptg000007l_0998-R	Caamp.0101s0084, Caamp.0102s0100, Caamp.0009s0008, Caamp.0061s0009, Caamp.0029s0041, Caamp.0097s1042
OG0000047	Sdiv_ptg000022l_0377-R	Caamp.0106s0001
OG0000051	Sdiv_ptg000007l_0071-R	Caamp.0303s1097
