Orthogroup	S_parvula	E_salsugineum
OG0000001	SpUn0293_0013, Sp5g19285	Thhalv10002848m.g
OG0000002	Sp6g09490	Thhalv10029498m.g
OG0000008	Sp3g32060, Sp4g08570, Sp6g12850, Sp3g23530, SpUn0005_0320, SpUn0040_0030, Sp7g06310, Sp3g26560, Sp2g03930, Sp7g15680, Sp2g01940, Sp6g09430, SpUn0384_0010, SpUn0099_0030, SpUn0012_0150, Sp7g09000, Sp7g08360, Sp4g07040, Sp5g17720, Sp1g33550, Sp2g04150, Sp1g27740, Sp3g22100, Sp1g22890, Sp4g09730, SpUn0012_0100, Sp3g30250, Sp6g12950, Sp3g16820, Sp7g04770, Sp2g07580	Thhalv10002031m.g
OG0000008	Sp5g17500	Thhalv10028707m.g
OG0000017	Sp6g11020, Sp7g03480	Thhalv10005542m.g, Thhalv10000620m.g, Thhalv10027058m.g, Thhalv10012328m.g, Thhalv10005429m.g
OG0000017	Sp1g32850, Sp3g26930	Thhalv10027529m.g
OG0000017	Sp5g16900, Sp7g10830	Thhalv10003487m.g, Thhalv10027079m.g, Thhalv10029191m.g, Thhalv10002806m.g, Thhalv10027498m.g, Thhalv10012285m.g, Thhalv10009587m.g, Thhalv10012224m.g, Thhalv10017646m.g, Thhalv10009818m.g, Thhalv10028300m.g, Thhalv10003091m.g, Thhalv10001223m.g
OG0000017	Sp6g11310, Sp7g09450	Thhalv10002115m.g
OG0000017	Sp7g07960, Sp4g06340	Thhalv10027985m.g
OG0000017	Sp6g12660, SpUn0001_0870, Sp6g10400, Sp5g21220, Sp7g08130, Sp6g10600, Sp4g04600, Sp6g04550	Thhalv10026902m.g, Thhalv10015686m.g, Thhalv10001142m.g, Thhalv10019737m.g, Thhalv10011945m.g, Thhalv10019512m.g, Thhalv10011992m.g, Thhalv10003335m.g, Thhalv10012321m.g, Thhalv10002827m.g, Thhalv10015514m.g, Thhalv10022993m.g, Thhalv10002297m.g, Thhalv10015762m.g, Thhalv10009841m.g, Thhalv10005260m.g, Thhalv10017779m.g
OG0000017	Sp5g17180	Thhalv10002274m.g
OG0000024	Sp1g27310	Thhalv10012346m.g, Thhalv10012082m.g, Thhalv10011995m.g, Thhalv10012093m.g, Thhalv10012205m.g, Thhalv10012047m.g, Thhalv10012279m.g, Thhalv10012379m.g, Thhalv10011962m.g, Thhalv10012275m.g
OG0000029	Sp2g02590, Sp2g02580	Thhalv10024041m.g, Thhalv10024076m.g, Thhalv10023505m.g
OG0000029	Sp2g02610	Thhalv10023911m.g
OG0000029	Sp2g02570	Thhalv10024090m.g
OG0000029	Sp2g02110	Thhalv10023457m.g
OG0000029	Sp2g02100	Thhalv10023838m.g
OG0000029	Sp7g03520	Thhalv10028140m.g
OG0000029	Sp2g02550	Thhalv10023447m.g
OG0000036	Sp7g18980	Thhalv10025207m.g
OG0000036	Sp2g09180	Thhalv10003210m.g
OG0000036	Sp5g30900	Thhalv10018544m.g
OG0000036	Sp6g31390	Thhalv10013524m.g
OG0000036	Sp2g25870, Sp5g14830	Thhalv10005520m.g, Thhalv10010369m.g, Thhalv10010368m.g
OG0000036	Sp2g23430	Thhalv10010366m.g, Thhalv10004208m.g
OG0000036	Sp4g12280	Thhalv10016651m.g
OG0000039	Sp6g32510, Sp5g30720, Sp3g29820, Sp7g35840	Thhalv10014984m.g
OG0000039	Sp7g35830	Thhalv10019309m.g
OG0000039	Sp6g31050	Thhalv10015270m.g
OG0000039	Sp1g07810	Thhalv10014985m.g, Thhalv10005114m.g
OG0000039	Sp6g33060	Thhalv10014986m.g
OG0000040	Sp7g28060	Thhalv10024335m.g
OG0000040	Sp3g32410	Thhalv10022531m.g
OG0000040	Sp6g19080	Thhalv10015530m.g
OG0000040	Sp5g02900	Thhalv10005774m.g
OG0000040	Sp2g25850	Thhalv10003603m.g
OG0000040	Sp5g18280	Thhalv10002391m.g
OG0000040	Sp3g25350	Thhalv10002390m.g
OG0000040	Sp5g35100	Thhalv10018080m.g
OG0000041	Sp5g08630	Thhalv10016809m.g
OG0000041	Sp4g19980	Thhalv10010455m.g
OG0000041	Sp3g10340	Thhalv10020950m.g
OG0000041	Sp1g28660	Thhalv10028132m.g
OG0000041	Sp6g33600	Thhalv10013834m.g
OG0000041	Sp4g24310, Sp1g36120, Sp3g16870	Thhalv10020906m.g
OG0000041	Sp6g21050, Sp5g15160	Thhalv10002572m.g
OG0000047	SpUn0003_0370	Thhalv10027535m.g
OG0000047	Sp4g05160, Sp4g02360, SpUn0005_0180, SpUn0007_0130, SpUn0013_0030, Sp1g31200, Sp7g08350, Sp5g19660, Sp3g26530, Sp7g06320, Sp6g09400, Sp1g31770, Sp1g36550, Sp3g23670, Sp6g09740, SpUn0002_0670, Sp1g34290, Sp7g01850, Sp3g27520, Sp2g06140, Sp4g07030, SpUn0005_0190, Sp6g09750, Sp5g19650, Sp5g17390, Sp4g06480, Sp4g08150, Sp7g02850, Sp7g08990, Sp2g06330, Sp5g17740, Sp3g28000, Sp1g31210, SpUn1097_0010, Sp7g06300, Sp5g20470, Sp7g07680, Sp5g17400, SpUn0166_0010	Thhalv10002920m.g
OG0000049	Sp6g26270	Thhalv10015141m.g
OG0000049	Sp6g26260	Thhalv10015121m.g, Thhalv10015119m.g, Thhalv10015118m.g, Thhalv10015117m.g
OG0000049	Sp6g26280	Thhalv10015858m.g, Thhalv10002886m.g
OG0000050	Sp3g21330, Sp7g09760, Sp4g09450, Sp3g26380, Sp7g26700, Sp3g29680, SpUn0030_0070, Sp3g31760, Sp7g10630, Sp7g05470, Sp7g06400, Sp7g08450, Sp7g03320, Sp6g10060, Sp7g04130, Sp4g06170, Sp7g07740, Sp3g29630, Sp7g10930, Sp6g07800, Sp7g10230, Sp7g07530, Sp3g23930, Sp5g17770, Sp6g09390, Sp6g07660, Sp3g28720, Sp7g05980, Sp4g06470, Sp2g22320, Sp2g01850, Sp6g16700, Sp5g20730, Sp1g29090, Sp1g31130, SpUn0002_0700, Sp2g06260	Thhalv10017817m.g, Thhalv10009844m.g, Thhalv10019496m.g
OG0000051	SpUn1341_0010, Sp4g09010, SpUn0004_0170	Thhalv10028068m.g
OG0000052	Sp6g08240	Thhalv10029448m.g, Thhalv10029511m.g, Thhalv10011096m.g, Thhalv10019812m.g, Thhalv10023182m.g, Thhalv10021955m.g, Thhalv10003114m.g, Thhalv10027106m.g, Thhalv10015990m.g, Thhalv10027292m.g, Thhalv10003101m.g, Thhalv10015902m.g, Thhalv10023880m.g, Thhalv10019746m.g, Thhalv10000502m.g, Thhalv10019761m.g, Thhalv10002266m.g, Thhalv10023966m.g, Thhalv10003373m.g, Thhalv10003035m.g, Thhalv10002876m.g
OG0000052	Sp4g09630	Thhalv10015594m.g
OG0000053	Sp5g15617	Thhalv10026974m.g
OG0000054	Sp4g11600	Thhalv10015098m.g
OG0000054	Sp5g15350	Thhalv10016102m.g, Thhalv10010851m.g
OG0000054	Sp4g19900	Thhalv10002736m.g
OG0000055	Sp7g01830, Sp4g02040	Thhalv10000651m.g
OG0000055	Sp3g08720	Thhalv10020743m.g
OG0000055	SpUn0245_0010	Thhalv10018572m.g
OG0000055	Sp1g26630	Thhalv10022069m.g, Thhalv10007675m.g
OG0000055	SpUn0042_0020, Sp4g02000, Sp4g01860, Sp4g01990, Sp6g27530, Sp3g10450	Thhalv10000461m.g
OG0000056	Sp5g05790, Sp4g23420	Thhalv10006295m.g
OG0000056	Sp5g17420, Sp6g23330	Thhalv10002700m.g
OG0000056	Sp5g21490	Thhalv10027976m.g
OG0000056	Sp4g08270	Thhalv10002103m.g
OG0000057	Sp6g15450	Thhalv10014941m.g
OG0000057	Sp7g25920	Thhalv10026967m.g
OG0000057	Sp3g07130	Thhalv10021705m.g
OG0000057	Sp3g29980	Thhalv10022898m.g
OG0000057	Sp6g18000	Thhalv10014935m.g
OG0000057	Sp7g00370	Thhalv10027977m.g
OG0000057	Sp2g00510	Thhalv10023744m.g
OG0000058	Sp7g29450	Thhalv10022393m.g
OG0000058	Sp3g21250	Thhalv10022006m.g, Thhalv10021918m.g
OG0000059	Sp1g31020	Thhalv10019486m.g
OG0000061	Sp1g30605	Thhalv10002275m.g, Thhalv10005675m.g, Thhalv10005333m.g, Thhalv10011948m.g, Thhalv10012204m.g, Thhalv10011093m.g, Thhalv10015783m.g, Thhalv10012261m.g, Thhalv10019469m.g, Thhalv10023173m.g, Thhalv10028046m.g, Thhalv10002181m.g, Thhalv10023932m.g, Thhalv10002330m.g, Thhalv10027556m.g, Thhalv10001868m.g, Thhalv10028186m.g, Thhalv10023166m.g, Thhalv10022584m.g, Thhalv10024135m.g, Thhalv10011953m.g, Thhalv10011986m.g, Thhalv10012171m.g, Thhalv10023825m.g, Thhalv10002288m.g, Thhalv10012191m.g, Thhalv10015352m.g, Thhalv10024100m.g, Thhalv10029343m.g, Thhalv10022494m.g
