genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
S_diversifolius,S_diversifolius,ptg000001l,ptg000001l,S_diversifolius S_diversifolius selfBlk ptg000001l,5285,23253088,1,2310,2_0,2_2309,2306,5285,23253088,1,2310,2_0,2_2309,2306,+,5285,23253088,1,2310,2_0,2_2309
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 115,938260,1162754,183,225,2_182,2_224,6,969926,1206275,21666,21705,2_21665,2_21704,6,+,969926,1206275,21666,21705,2_21665,2_21704
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 116,1470186,1887159,282,334,2_281,2_333,6,1526575,1923949,21752,21794,2_21751,2_21793,6,+,1526575,1923949,21752,21794,2_21751,2_21793
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 5,938260,1162754,183,225,2_182,2_224,6,969926,1206275,21666,21705,2_21665,2_21704,6,+,969926,1206275,21666,21705,2_21665,2_21704
S_diversifolius,S_diversifolius,ptg000001l,ptg000011l,S_diversifolius_vs_S_diversifolius: 6,1470186,1887159,282,334,2_281,2_333,6,1526575,1923949,21752,21794,2_21751,2_21793,6,+,1526575,1923949,21752,21794,2_21751,2_21793
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 129,11259636,15462715,474,762,2_473,2_761,115,8977166,13792602,24724,24987,2_24723,2_24986,115,+,8977166,13792602,24724,24987,2_24723,2_24986
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 131,15554560,23250480,785,2309,2_784,2_2308,610,13858680,21074924,25004,26474,2_25003,2_26473,610,+,13858680,21074924,25004,26474,2_25003,2_26473
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 2,386259,737267,82,150,2_81,2_149,5,375376,717515,24346,24403,2_24345,2_24402,5,+,375376,717515,24346,24403,2_24345,2_24402
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 7,11259636,15462715,474,762,2_473,2_761,115,8977166,13792602,24724,24987,2_24723,2_24986,115,+,8977166,13792602,24724,24987,2_24723,2_24986
S_diversifolius,S_diversifolius,ptg000001l,ptg000013l,S_diversifolius_vs_S_diversifolius: 9,15554560,23250480,785,2309,2_784,2_2308,609,13858680,21074924,25004,26474,2_25003,2_26473,609,+,13858680,21074924,25004,26474,2_25003,2_26473
