genome1,genome2,chr1,chr2,blkID,startBp1,endBp1,startOrd1,endOrd1,firstGene1,lastGene1,nHits1,minBp2,maxBp2,minOrd2,maxOrd2,minGene2,maxGene2,nHits2,orient,startBp2,endBp2,startOrd2,endOrd2,firstGene2,lastGene2
C_amplexicaulis,S_pinnata,Caul_scaffold1,Stan_scaffold2144,S_pinnata_vs_C_amplexicaulis: 2,578468,621861,109,117,0_108,0_116,7,6513,72421,26529,26537,4_18021,4_18029,7,+,6513,72421,26529,26537,4_18021,4_18029
C_amplexicaulis,S_pinnata,Caul_scaffold1,Stan_scaffold243,S_pinnata_vs_C_amplexicaulis: 1,226205,270418,43,50,0_42,0_49,6,279081,325955,7504,7511,4_21033,4_21040,6,+,279081,325955,7504,7511,4_21033,4_21040
C_amplexicaulis,S_pinnata,Caul_scaffold101,Stan_scaffold139,S_pinnata_vs_C_amplexicaulis: 293,4105,74071,24802,24810,0_731,0_739,8,291906,416484,5242,5254,4_8084,4_8096,8,+,291906,416484,5242,5254,4_8084,4_8096
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold1149,S_pinnata_vs_C_amplexicaulis: 299,1381446,1448766,25294,25304,0_1223,0_1233,6,7690,99249,18914,18925,4_3471,4_3482,6,+,7690,99249,18914,18925,4_3471,4_3482
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold1533,S_pinnata_vs_C_amplexicaulis: 305,3013722,3047609,25629,25638,0_1558,0_1567,7,35849,92584,22244,22255,4_10448,4_10459,7,+,35849,92584,22244,22255,4_10448,4_10459
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold290,S_pinnata_vs_C_amplexicaulis: 307,3678162,3833278,25761,25791,0_1690,0_1720,8,23827,214354,8338,8351,4_25328,4_25341,8,+,23827,214354,8338,8351,4_25328,4_25341
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold3326,S_pinnata_vs_C_amplexicaulis: 303,2398746,2422426,25491,25501,0_1420,0_1430,7,7698,48021,33117,33126,4_28791,4_28800,7,+,7698,48021,33117,33126,4_28791,4_28800
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold376,S_pinnata_vs_C_amplexicaulis: 302,2316797,2375503,25475,25486,0_1404,0_1415,9,1465,75835,9776,9785,4_31504,4_31513,9,+,1465,75835,9776,9785,4_31504,4_31513
C_amplexicaulis,S_pinnata,Caul_scaffold102,Stan_scaffold418,S_pinnata_vs_C_amplexicaulis: 308,3921869,4028263,25812,25829,0_1741,0_1758,11,19155,223883,10500,10520,4_34069,4_34089,11,+,19155,223883,10500,10520,4_34069,4_34089
C_amplexicaulis,S_pinnata,Caul_scaffold1027,Stan_scaffold1431,S_pinnata_vs_C_amplexicaulis: 402,14530,113705,34979,35008,0_1952,0_1981,18,14276,104293,21451,21477,4_8859,4_8885,18,+,14276,104293,21451,21477,4_8859,4_8885
C_amplexicaulis,S_pinnata,Caul_scaffold1027,Stan_scaffold1525,S_pinnata_vs_C_amplexicaulis: 403,76799,154946,34999,35018,0_1972,0_1991,11,41525,101353,22184,22199,4_10315,4_10330,11,+,41525,101353,22184,22199,4_10315,4_10330
C_amplexicaulis,S_pinnata,Caul_scaffold1031,Stan_scaffold1178,S_pinnata_vs_C_amplexicaulis: 406,2858918,2933115,35911,35923,0_2885,0_2897,10,4611,108175,19187,19201,4_4061,4_4075,10,+,4611,108175,19187,19201,4_4061,4_4075
C_amplexicaulis,S_pinnata,Caul_scaffold1031,Stan_scaffold1306,S_pinnata_vs_C_amplexicaulis: 405,2402198,2438420,35790,35798,0_2764,0_2772,6,5822,39146,20384,20390,4_6605,4_6611,6,+,5822,39146,20384,20390,4_6605,4_6611
C_amplexicaulis,S_pinnata,Caul_scaffold1031,Stan_scaffold2104,S_pinnata_vs_C_amplexicaulis: 404,437714,474114,35356,35365,0_2330,0_2339,6,12366,84261,26234,26245,4_17592,4_17603,6,+,12366,84261,26234,26245,4_17592,4_17603
C_amplexicaulis,S_pinnata,Caul_scaffold1031,Stan_scaffold2580,S_pinnata_vs_C_amplexicaulis: 407,4037073,4120840,36186,36209,0_3160,0_3183,11,1055,63905,29140,29159,4_22453,4_22472,11,+,1055,63905,29140,29159,4_22453,4_22472
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1009,S_pinnata_vs_C_amplexicaulis: 417,3181409,3236076,36876,36884,0_3850,0_3858,6,43788,131879,17525,17532,4_378,4_385,6,+,43788,131879,17525,17532,4_378,4_385
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1010,S_pinnata_vs_C_amplexicaulis: 427,5162193,5200276,37201,37207,0_4175,0_4181,6,7453,109212,17533,17542,4_431,4_440,6,+,7453,109212,17533,17542,4_431,4_440
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1063,S_pinnata_vs_C_amplexicaulis: 412,1797532,1859506,36600,36615,0_3574,0_3589,14,3863,109471,18035,18051,4_1580,4_1596,14,+,3863,109471,18035,18051,4_1580,4_1596
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1078,S_pinnata_vs_C_amplexicaulis: 414,2074247,2138907,36665,36676,0_3639,0_3650,10,1003,98767,18201,18218,4_1927,4_1944,10,+,1003,98767,18201,18218,4_1927,4_1944
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1120,S_pinnata_vs_C_amplexicaulis: 416,2830350,2883152,36818,36831,0_3792,0_3805,12,60270,111477,18617,18629,4_2905,4_2917,12,+,60270,111477,18617,18629,4_2905,4_2917
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1364,S_pinnata_vs_C_amplexicaulis: 420,3834176,3862359,36994,36999,0_3968,0_3973,6,8631,56777,20854,20860,4_7606,4_7612,6,+,8631,56777,20854,20860,4_7606,4_7612
C_amplexicaulis,S_pinnata,Caul_scaffold1033,Stan_scaffold1438,S_pinnata_vs_C_amplexicaulis: 411,1656841,1692269,36573,36579,0_3547,0_3553,6,31927,81971,21521,21527,4_8957,4_8963,6,+,31927,81971,21521,21527,4_8957,4_8963
