Orthogroup	C_amplexicaulis	S_pinnata
OG0000000	Caamp.0058s0276	Stapi.0041s0010
OG0000000	Caamp.0232s0001	Stapi.0076s0013, Stapi.0171s0010, Stapi.0015s0067, Stapi.3202s0006, Stapi.1423s0002, Stapi.0007s0049, Stapi.0009s0019, Stapi.0160s0005, Stapi.0817s0009, Stapi.0394s0001, Stapi.6842s0001, Stapi.2068s0002, Stapi.0222s0039, Stapi.0333s0008, Stapi.0055s0020, Stapi.0238s0004, Stapi.0325s0006, Stapi.0011s0044, Stapi.0236s0003, Stapi.0350s0005, Stapi.0893s0005, Stapi.0023s0077, Stapi.0268s0001, Stapi.2027s0004, Stapi.26274s0001, Stapi.0091s0022, Stapi.0015s0045, Stapi.2439s0005, Stapi.0038s0027, Stapi.0754s0014, Stapi.0571s0006, Stapi.3451s0002, Stapi.0323s0004, Stapi.9180s0003, Stapi.1092s0012, Stapi.0060s0015, Stapi.0121s0007, Stapi.0920s0003
OG0000000	Caamp.0004s0104	Stapi.0052s0056, Stapi.0314s0006, Stapi.0435s0006, Stapi.0009s0001, Stapi.1048s0003, Stapi.3993s0001, Stapi.0439s0001, Stapi.17017s0001, Stapi.13524s0001, Stapi.13540s0001, Stapi.0167s0014, Stapi.1818s0004, Stapi.0422s0004, Stapi.0089s0022, Stapi.0883s0006, Stapi.0270s0006, Stapi.0088s0011, Stapi.0545s0008, Stapi.0671s0003
OG0000000	Caamp.0152s0012	Stapi.0139s0011, Stapi.0360s0002, Stapi.0001s0044, Stapi.0530s0007, Stapi.0868s0006, Stapi.0263s0007, Stapi.0975s0002, Stapi.0153s0012, Stapi.0178s0016, Stapi.0005s0021, Stapi.1534s0006, Stapi.7171s0001, Stapi.1201s0003, Stapi.4281s0002, Stapi.0271s0011, Stapi.2248s0002, Stapi.0220s0007, Stapi.2595s0001, Stapi.2173s0006, Stapi.2608s0001, Stapi.0006s0007, Stapi.0704s0003, Stapi.0524s0005, Stapi.0034s0018, Stapi.1278s0003, Stapi.0038s0007, Stapi.0199s0011, Stapi.0015s0084, Stapi.1732s0004, Stapi.2653s0002, Stapi.0604s0017, Stapi.0116s0006, Stapi.3219s0001, Stapi.2213s0004, Stapi.1270s0004, Stapi.0047s0009, Stapi.0075s0018, Stapi.0035s0007, Stapi.0087s0004, Stapi.0103s0005, Stapi.8010s0001, Stapi.18745s0001, Stapi.0123s0001, Stapi.7202s0001, Stapi.22695s0001, Stapi.0314s0009, Stapi.0063s0018, Stapi.0552s0005, Stapi.0779s0001, Stapi.0156s0016, Stapi.11757s0001, Stapi.0426s0015, Stapi.0073s0015, Stapi.0544s0009, Stapi.0191s0006, Stapi.0087s0012, Stapi.4225s0002, Stapi.0054s0029, Stapi.4116s0002, Stapi.0878s0001, Stapi.0319s0009, Stapi.0411s0003, Stapi.0006s0026, Stapi.0054s0047, Stapi.1634s0003, Stapi.0015s0068, Stapi.0030s0022, Stapi.0990s0003, Stapi.2952s0001, Stapi.4258s0001, Stapi.0101s0013, Stapi.1201s0005, Stapi.0840s0002, Stapi.0152s0005, Stapi.0546s0005, Stapi.0135s0001, Stapi.0323s0005, Stapi.0158s0004, Stapi.0137s0027, Stapi.4170s0005, Stapi.0229s0002, Stapi.0448s0006, Stapi.0430s0007, Stapi.6182s0003, Stapi.0112s0009, Stapi.0081s0019, Stapi.0704s0005, Stapi.3769s0002, Stapi.0076s0012, Stapi.1105s0005, Stapi.0016s0041, Stapi.0090s0010, Stapi.0508s0001, Stapi.4384s0002, Stapi.0073s0016, Stapi.4520s0001, Stapi.5630s0001, Stapi.5630s0002, Stapi.0101s0004, Stapi.12038s0001, Stapi.0121s0008, Stapi.0104s0007, Stapi.1503s0003, Stapi.0007s0038, Stapi.0008s0013, Stapi.1061s0001, Stapi.0953s0002, Stapi.0052s0055, Stapi.0787s0004, Stapi.14178s0001, Stapi.0030s0001, Stapi.0202s0008, Stapi.1277s0004, Stapi.0624s0004, Stapi.0065s0005
OG0000000	Caamp.1037s1709	Stapi.3541s0001, Stapi.0058s0021, Stapi.3416s0001, Stapi.7841s0002, Stapi.0055s0025, Stapi.0189s0010, Stapi.4954s0003, Stapi.2218s0003, Stapi.0261s0003
OG0000000	Caamp.0012s0079	Stapi.0493s0008, Stapi.0493s0007, Stapi.0456s0016, Stapi.0061s0019, Stapi.1444s0002, Stapi.0001s0032, Stapi.0239s0016, Stapi.1447s0002, Stapi.0420s0001, Stapi.0009s0013, Stapi.0321s0008, Stapi.12501s0001, Stapi.2305s0004, Stapi.0003s0056, Stapi.1740s0001, Stapi.3288s0002, Stapi.0033s0001, Stapi.0054s0031, Stapi.1424s0001, Stapi.0812s0003, Stapi.0128s0003, Stapi.0482s0008, Stapi.0037s0011, Stapi.0153s0015, Stapi.1377s0001
OG0000002	Caamp.0031s0026	Stapi.0283s0012, Stapi.0158s0011, Stapi.1192s0002, Stapi.0085s0027, Stapi.3845s0003, Stapi.0005s0064, Stapi.4357s0004, Stapi.1630s0003, Stapi.2519s0001, Stapi.0003s0031, Stapi.0386s0015, Stapi.1714s0002, Stapi.0613s0009, Stapi.12495s0001, Stapi.0346s0017, Stapi.2868s0006, Stapi.0799s0007, Stapi.1032s0012, Stapi.0335s0003, Stapi.22351s0001, Stapi.8824s0003, Stapi.4200s0001, Stapi.0192s0006, Stapi.0283s0015, Stapi.0321s0004, Stapi.0053s0005, Stapi.2555s0002, Stapi.7858s0001, Stapi.0277s0013, Stapi.0165s0021, Stapi.0067s0022, Stapi.0100s0019, Stapi.0777s0011, Stapi.15839s0001, Stapi.0059s0011, Stapi.0007s0031, Stapi.0435s0007, Stapi.2435s0002, Stapi.0256s0014, Stapi.1013s0005, Stapi.0169s0006, Stapi.0984s0001, Stapi.8621s0001, Stapi.1176s0005, Stapi.1444s0004, Stapi.0136s0012, Stapi.0183s0004, Stapi.1547s0003, Stapi.1100s0002, Stapi.0611s0018, Stapi.16222s0001, Stapi.0435s0008, Stapi.0311s0012, Stapi.0901s0017, Stapi.0036s0030, Stapi.0010s0055, Stapi.1013s0004, Stapi.19194s0001, Stapi.0547s0004, Stapi.0269s0019, Stapi.0427s0003, Stapi.0054s0086
OG0000002	Caamp.0008s0079	Stapi.2411s0003, Stapi.3640s0001, Stapi.2087s0006, Stapi.4231s0002, Stapi.0054s0025, Stapi.0008s0048, Stapi.0982s0001, Stapi.0012s0059, Stapi.0087s0008, Stapi.0398s0005, Stapi.0409s0007, Stapi.0053s0001, Stapi.0360s0001, Stapi.2071s0004, Stapi.0088s0014, Stapi.0699s0001, Stapi.15744s0001, Stapi.0882s0001, Stapi.0369s0002, Stapi.0178s0014, Stapi.0479s0003, Stapi.3066s0003, Stapi.0927s0001, Stapi.0012s0033, Stapi.0714s0001, Stapi.6686s0002, Stapi.6559s0002, Stapi.0281s0004, Stapi.0178s0011, Stapi.0096s0006, Stapi.0691s0003, Stapi.0050s0004, Stapi.2192s0003, Stapi.1749s0001, Stapi.2210s0002, Stapi.0120s0020, Stapi.0056s0044, Stapi.1387s0004, Stapi.0062s0015, Stapi.0022s0039, Stapi.0024s0031, Stapi.0234s0030, Stapi.0229s0004, Stapi.0113s0011, Stapi.4568s0001, Stapi.0001s0027, Stapi.0216s0019, Stapi.0159s0010, Stapi.0013s0049, Stapi.9351s0001, Stapi.1844s0004, Stapi.0236s0002, Stapi.0068s0016, Stapi.1099s0005, Stapi.1550s0001, Stapi.1634s0002, Stapi.0398s0002, Stapi.0241s0001, Stapi.0180s0002, Stapi.0407s0010, Stapi.0821s0005, Stapi.1671s0004, Stapi.0015s0056, Stapi.0005s0059, Stapi.0020s0025, Stapi.0036s0064, Stapi.2650s0003
OG0000002	Caamp.0062s0014, Caamp.0129s0063, Caamp.0010s0319	Stapi.0160s0024, Stapi.0009s0030, Stapi.2818s0002, Stapi.3448s0002, Stapi.1397s0001, Stapi.0088s0001, Stapi.0809s0001, Stapi.0063s0001, Stapi.0252s0020, Stapi.0034s0026, Stapi.0075s0022, Stapi.0023s0011, Stapi.0030s0010, Stapi.0066s0005, Stapi.0008s0017, Stapi.0258s0010, Stapi.2516s0001, Stapi.0012s0003, Stapi.0011s0016, Stapi.5755s0001, Stapi.0990s0002, Stapi.0712s0005, Stapi.3150s0001, Stapi.0063s0019, Stapi.1783s0001, Stapi.0740s0005, Stapi.1094s0002, Stapi.0697s0002, Stapi.0167s0020, Stapi.0546s0004, Stapi.0258s0011, Stapi.0179s0018, Stapi.0042s0036, Stapi.0072s0004, Stapi.0423s0006, Stapi.3202s0001, Stapi.0012s0025, Stapi.0015s0022, Stapi.7570s0001, Stapi.1836s0003, Stapi.0050s0024, Stapi.4137s0002
OG0000002	Caamp.0034s0027	Stapi.0055s0022, Stapi.2191s0001, Stapi.0001s0030, Stapi.0292s0005, Stapi.0165s0004, Stapi.0002s0019, Stapi.0650s0001, Stapi.2146s0002, Stapi.2292s0007, Stapi.0384s0002, Stapi.0941s0001, Stapi.1509s0002, Stapi.0531s0001, Stapi.0179s0017, Stapi.6279s0001, Stapi.0005s0020, Stapi.0189s0013, Stapi.1461s0001, Stapi.0022s0020, Stapi.8660s0001, Stapi.0547s0007, Stapi.0033s0029, Stapi.0064s0003, Stapi.0192s0021, Stapi.0464s0005, Stapi.0120s0011, Stapi.0814s0001, Stapi.0213s0005, Stapi.5648s0003, Stapi.0015s0042, Stapi.0715s0004, Stapi.0046s0024, Stapi.0055s0003, Stapi.0139s0010, Stapi.1765s0013, Stapi.5863s0001, Stapi.15855s0001, Stapi.0398s0001, Stapi.2680s0004, Stapi.0178s0005, Stapi.3519s0001, Stapi.1129s0007, Stapi.0770s0003, Stapi.5382s0001, Stapi.0036s0009, Stapi.1473s0004, Stapi.0844s0001, Stapi.16556s0003, Stapi.0022s0035, Stapi.0020s0027, Stapi.4775s0001, Stapi.0790s0013, Stapi.0088s0013, Stapi.0054s0020, Stapi.0740s0006, Stapi.10495s0001, Stapi.0120s0002, Stapi.0009s0002, Stapi.0256s0010, Stapi.2818s0001, Stapi.0014s0037, Stapi.0088s0008, Stapi.0223s0004, Stapi.0023s0042, Stapi.0216s0018, Stapi.0036s0016, Stapi.0036s0015, Stapi.5748s0002, Stapi.0430s0008, Stapi.1615s0006, Stapi.0027s0027, Stapi.0251s0006, Stapi.0011s0041, Stapi.0402s0003, Stapi.22638s0001, Stapi.4904s0001, Stapi.0303s0007, Stapi.0026s0033, Stapi.1822s0001, Stapi.0303s0001, Stapi.1827s0003, Stapi.0337s0005, Stapi.0394s0002, Stapi.1011s0004, Stapi.1577s0004, Stapi.0415s0017, Stapi.1048s0004, Stapi.0058s0003, Stapi.0033s0049, Stapi.0366s0007, Stapi.1997s0002, Stapi.0493s0011, Stapi.0017s0016, Stapi.0157s0013, Stapi.0153s0008, Stapi.3807s0001, Stapi.0329s0011, Stapi.16165s0001, Stapi.2685s0004, Stapi.0113s0014, Stapi.0445s0005, Stapi.0011s0017, Stapi.0076s0021, Stapi.0089s0032, Stapi.0041s0006, Stapi.0111s0017, Stapi.0001s0028, Stapi.4024s0001, Stapi.0012s0022, Stapi.6372s0002, Stapi.0515s0005, Stapi.2243s0003, Stapi.0112s0007, Stapi.5479s0002, Stapi.0113s0012, Stapi.0035s0008, Stapi.0283s0007, Stapi.0283s0005, Stapi.0204s0001, Stapi.0445s0002, Stapi.0096s0008, Stapi.0071s0015, Stapi.0031s0028, Stapi.0064s0021, Stapi.0006s0006, Stapi.0052s0059, Stapi.0016s0047, Stapi.1176s0004, Stapi.0023s0109, Stapi.0198s0001, Stapi.0035s0022, Stapi.0836s0003, Stapi.0639s0004, Stapi.7054s0001, Stapi.3379s0001, Stapi.0470s0001, Stapi.0261s0006, Stapi.7265s0001, Stapi.0023s0079, Stapi.0009s0027, Stapi.0041s0037, Stapi.1129s0003, Stapi.1796s0003, Stapi.0023s0051, Stapi.4954s0002, Stapi.0066s0006, Stapi.0053s0014, Stapi.0174s0007, Stapi.0075s0025, Stapi.1789s0003, Stapi.3720s0001, Stapi.0143s0012, Stapi.0172s0018, Stapi.2809s0001, Stapi.1374s0003, Stapi.5207s0001, Stapi.0114s0018, Stapi.0052s0040, Stapi.1101s0007, Stapi.0240s0005, Stapi.1844s0005, Stapi.0007s0052, Stapi.3182s0002, Stapi.0685s0012, Stapi.0740s0001, Stapi.3743s0001, Stapi.0067s0002, Stapi.20363s0001, Stapi.0384s0003, Stapi.0032s0030, Stapi.13524s0002, Stapi.0672s0002, Stapi.1205s0006, Stapi.0607s0002, Stapi.0629s0005, Stapi.2846s0002, Stapi.0314s0010, Stapi.0003s0016, Stapi.1962s0002, Stapi.0940s0002, Stapi.0094s0021, Stapi.0276s0013, Stapi.0058s0025, Stapi.0245s0003, Stapi.1665s0005, Stapi.8408s0002, Stapi.1567s0003, Stapi.0154s0008, Stapi.0031s0036, Stapi.0015s0070, Stapi.0178s0020, Stapi.0091s0019, Stapi.0003s0059, Stapi.3304s0002, Stapi.0006s0034, Stapi.0086s0027, Stapi.0030s0011, Stapi.0584s0004, Stapi.0019s0042, Stapi.3377s0003, Stapi.0870s0008, Stapi.0261s0005, Stapi.0087s0011, Stapi.0157s0001, Stapi.2282s0001, Stapi.0039s0015, Stapi.6546s0001, Stapi.1827s0002, Stapi.2990s0001, Stapi.9418s0001, Stapi.1740s0004, Stapi.0800s0006, Stapi.0003s0045, Stapi.0029s0027, Stapi.0023s0067, Stapi.0206s0003, Stapi.5024s0001, Stapi.0089s0028, Stapi.0288s0005, Stapi.0615s0001, Stapi.0192s0019, Stapi.26364s0001, Stapi.11426s0001, Stapi.4116s0003, Stapi.0010s0053, Stapi.0013s0038, Stapi.0202s0034, Stapi.10635s0001, Stapi.0066s0012, Stapi.0148s0011, Stapi.0157s0009, Stapi.0033s0023, Stapi.0256s0017, Stapi.0029s0028, Stapi.0239s0015, Stapi.0010s0035, Stapi.0023s0043, Stapi.0022s0062, Stapi.3397s0001, Stapi.0791s0003, Stapi.0900s0005, Stapi.0258s0005, Stapi.4889s0003, Stapi.0061s0006, Stapi.0063s0016, Stapi.7484s0001, Stapi.9180s0001, Stapi.0225s0002, Stapi.0607s0005, Stapi.0078s0006, Stapi.0032s0023, Stapi.9499s0001, Stapi.0187s0004, Stapi.0031s0020, Stapi.1190s0009, Stapi.0081s0010, Stapi.0201s0004, Stapi.0699s0002, Stapi.0125s0026, Stapi.0107s0017, Stapi.4663s0002, Stapi.15615s0002, Stapi.0036s0014, Stapi.0774s0006, Stapi.2218s0002, Stapi.0415s0009, Stapi.5762s0001, Stapi.0402s0005, Stapi.7040s0001, Stapi.0535s0002, Stapi.18459s0001, Stapi.0015s0026, Stapi.0197s0010, Stapi.0472s0011, Stapi.0467s0006, Stapi.2184s0003, Stapi.0003s0061, Stapi.0537s0002, Stapi.0011s0029, Stapi.7157s0001, Stapi.1832s0002, Stapi.0024s0035, Stapi.1997s0001, Stapi.0011s0032, Stapi.0151s0013, Stapi.0152s0022, Stapi.0015s0079, Stapi.2078s0001, Stapi.0087s0005, Stapi.0055s0011, Stapi.0002s0005, Stapi.0895s0009, Stapi.0015s0043, Stapi.1176s0001
