Orthogroup	E_salsugineum	S_diversifolius
OG0000013	Thhalv10010325m.g	Sdiv_ptg000629l_0004-R, Sdiv_ptg000942l_0006-R, Sdiv_ptg000558l_0001-R, Sdiv_ptg000037l_0001-R, Sdiv_ptg000062l_0004-R, Sdiv_ptg000127l_0004-R, Sdiv_ptg000132l_0002-R, Sdiv_ptg000155l_0001-R, Sdiv_ptg000055l_0006-R, Sdiv_ptg000120l_0007-R, Sdiv_ptg000080l_0008-R, Sdiv_ptg000075l_0002-R, Sdiv_ptg000038l_0005-R, Sdiv_ptg000142l_0003-R, Sdiv_ptg000104l_0001-R, Sdiv_ptg000077l_0008-R, Sdiv_ptg000152l_0002-R, Sdiv_ptg000094l_0004-R, Sdiv_ptg000116l_0001-R, Sdiv_ptg000118l_0006-R, Sdiv_ptg000021l_0008-R, Sdiv_ptg000168l_0003-R, Sdiv_ptg000149l_0009-R, Sdiv_ptg000112l_0001-R, Sdiv_ptg000017l_0001-R, Sdiv_ptg000146l_0004-R, Sdiv_ptg000098l_0006-R, Sdiv_ptg000743l_0007-R, Sdiv_ptg000274l_0007-R, Sdiv_ptg000358l_0010-R, Sdiv_ptg000568l_0003-R, Sdiv_ptg000722l_0002-R, Sdiv_ptg000525l_0004-R, Sdiv_ptg001087l_0006-R, Sdiv_ptg001133l_0001-R, Sdiv_ptg000775l_0001-R, Sdiv_ptg000983l_0002-R, Sdiv_ptg000464l_0006-R, Sdiv_ptg000758l_0005-R, Sdiv_ptg000264l_0003-R, Sdiv_ptg000785l_0002-R, Sdiv_ptg000488l_0002-R, Sdiv_ptg000336l_0003-R, Sdiv_ptg000670l_0002-R, Sdiv_ptg000714l_0006-R, Sdiv_ptg000497l_0004-R, Sdiv_ptg000806l_0004-R, Sdiv_ptg000612l_0009-R, Sdiv_ptg000879l_0007-R, Sdiv_ptg000837l_0001-R, Sdiv_ptg000769l_0008-R, Sdiv_ptg000177l_0001-R, Sdiv_ptg000403l_0004-R, Sdiv_ptg000734l_0001-R, Sdiv_ptg000659l_0006-R, Sdiv_ptg000877l_0006-R, Sdiv_ptg000189l_0004-R, Sdiv_ptg000599l_0010-R, Sdiv_ptg000948l_0001-R, Sdiv_ptg000427l_0006-R, Sdiv_ptg000570l_0002-R, Sdiv_ptg000790l_0007-R, Sdiv_ptg000206l_0006-R, Sdiv_ptg001099l_0004-R, Sdiv_ptg000298l_0001-R, Sdiv_ptg000757l_0002-R, Sdiv_ptg000860l_0002-R, Sdiv_ptg000547l_0007-R, Sdiv_ptg000721l_0003-R, Sdiv_ptg000789l_0006-R, Sdiv_ptg000882l_0005-R, Sdiv_ptg000675l_0006-R, Sdiv_ptg000307l_0006-R, Sdiv_ptg000750l_0003-R, Sdiv_ptg001177l_0007-R, Sdiv_ptg000250l_0002-R, Sdiv_ptg000191l_0002-R, Sdiv_ptg000326l_0004-R, Sdiv_ptg000927l_0006-R, Sdiv_ptg001055l_0001-R, Sdiv_ptg000590l_0007-R, Sdiv_ptg000510l_0006-R, Sdiv_ptg000193l_0007-R, Sdiv_ptg000329l_0002-R, Sdiv_ptg001008l_0006-R, Sdiv_ptg001065l_0004-R, Sdiv_ptg000369l_0004-R, Sdiv_ptg000465l_0001-R, Sdiv_ptg000893l_0008-R, Sdiv_ptg001062l_0006-R, Sdiv_ptg000809l_0002-R, Sdiv_ptg000517l_0003-R, Sdiv_ptg000302l_0004-R, Sdiv_ptg000347l_0002-R, Sdiv_ptg001157l_0001-R, Sdiv_ptg000611l_0006-R, Sdiv_ptg000764l_0002-R, Sdiv_ptg000813l_0006-R, Sdiv_ptg000624l_0001-R, Sdiv_ptg000709l_0001-R, Sdiv_ptg000921l_0005-R, Sdiv_ptg000402l_0008-R, Sdiv_ptg000667l_0002-R, Sdiv_ptg001173l_0005-R, Sdiv_ptg000188l_0005-R, Sdiv_ptg000917l_0006-R, Sdiv_ptg000344l_0003-R, Sdiv_ptg000916l_0002-R, Sdiv_ptg000362l_0002-R, Sdiv_ptg000331l_0006-R, Sdiv_ptg000296l_0006-R, Sdiv_ptg000998l_0004-R, Sdiv_ptg000992l_0003-R, Sdiv_ptg001033l_0001-R, Sdiv_ptg000401l_0007-R, Sdiv_ptg000925l_0006-R, Sdiv_ptg001053l_0006-R, Sdiv_ptg000818l_0004-R, Sdiv_ptg000474l_0005-R, Sdiv_ptg000455l_0004-R, Sdiv_ptg000316l_0006-R, Sdiv_ptg000384l_0001-R, Sdiv_ptg001120l_0002-R, Sdiv_ptg000458l_0002-R, Sdiv_ptg001057l_0004-R, Sdiv_ptg000227l_0005-R, Sdiv_ptg000792l_0002-R, Sdiv_ptg001125l_0006-R, Sdiv_ptg000964l_0001-R, Sdiv_ptg000291l_0006-R, Sdiv_ptg001019l_0001-R, Sdiv_ptg000880l_0002-R, Sdiv_ptg000339l_0008-R, Sdiv_ptg000500l_0005-R, Sdiv_ptg000240l_0001-R, Sdiv_ptg000251l_0003-R, Sdiv_ptg000475l_0004-R, Sdiv_ptg000443l_0002-R, Sdiv_ptg001153l_0005-R, Sdiv_ptg000301l_0005-R, Sdiv_ptg000327l_0006-R, Sdiv_ptg001050l_0006-R, Sdiv_ptg001059l_0006-R, Sdiv_ptg000985l_0004-R, Sdiv_ptg000501l_0007-R, Sdiv_ptg000725l_0008-R, Sdiv_ptg001063l_0005-R, Sdiv_ptg000715l_0006-R, Sdiv_ptg000760l_0006-R, Sdiv_ptg001037l_0004-R, Sdiv_ptg000799l_0004-R, Sdiv_ptg000299l_0001-R, Sdiv_ptg000541l_0005-R, Sdiv_ptg000787l_0002-R, Sdiv_ptg000695l_0004-R, Sdiv_ptg000237l_0006-R, Sdiv_ptg000979l_0006-R, Sdiv_ptg000665l_0008-R, Sdiv_ptg000589l_0004-R, Sdiv_ptg000756l_0001-R, Sdiv_ptg001148l_0001-R, Sdiv_ptg001054l_0001-R, Sdiv_ptg000662l_0005-R, Sdiv_ptg000238l_0007-R, Sdiv_ptg000817l_0004-R, Sdiv_ptg000845l_0004-R, Sdiv_ptg000269l_0006-R, Sdiv_ptg001010l_0002-R, Sdiv_ptg000557l_0006-R, Sdiv_ptg000322l_0001-R, Sdiv_ptg000938l_0002-R, Sdiv_ptg000638l_0006-R, Sdiv_ptg000259l_0005-R, Sdiv_ptg000252l_0002-R, Sdiv_ptg000473l_0002-R, Sdiv_ptg000593l_0006-R, Sdiv_ptg000351l_0002-R, Sdiv_ptg001161l_0007-R, Sdiv_ptg001178l_0003-R, Sdiv_ptg000773l_0001-R, Sdiv_ptg000933l_0001-R, Sdiv_ptg000947l_0001-R, Sdiv_ptg000668l_0006-R, Sdiv_ptg001058l_0004-R, Sdiv_ptg001135l_0004-R, Sdiv_ptg000586l_0003-R, Sdiv_ptg000260l_0002-R, Sdiv_ptg000246l_0001-R, Sdiv_ptg000540l_0008-R, Sdiv_ptg000553l_0001-R, Sdiv_ptg000939l_0002-R, Sdiv_ptg000395l_0002-R, Sdiv_ptg000716l_0004-R, Sdiv_ptg000527l_0007-R, Sdiv_ptg000244l_0007-R, Sdiv_ptg000580l_0004-R, Sdiv_ptg000139l_0001-R, Sdiv_ptg000172l_0002-R, Sdiv_ptg000613l_0006-R, Sdiv_ptg000140l_0001-R, Sdiv_ptg000562l_0005-R, Sdiv_ptg000308l_0001-R, Sdiv_ptg000511l_0001-R, Sdiv_ptg001072l_0002-R, Sdiv_ptg000940l_0003-R, Sdiv_ptg000781l_0001-R, Sdiv_ptg000609l_0006-R
OG0000045	Thhalv10019861m.g, Thhalv10029225m.g, Thhalv10001790m.g	Sdiv_ptg000003l_0606-R, Sdiv_ptg000002l_0501-R
OG0000077	Thhalv10010368m.g, Thhalv10010369m.g	Sdiv_ptg000012l_0378-R
OG0000077	Thhalv10004208m.g	Sdiv_ptg000012l_0562-R, Sdiv_ptg000007l_1639-R
OG0000077	Thhalv10016651m.g	Sdiv_ptg000022l_0679-R, Sdiv_ptg000008l_0637-R
OG0000077	Thhalv10013524m.g	Sdiv_ptg000010l_2156-R
OG0000077	Thhalv10018544m.g	Sdiv_ptg000002l_1778-R, Sdiv_ptg000015l_0374-R
OG0000077	Thhalv10016629m.g	Sdiv_ptg000008l_0991-R
OG0000077	Thhalv10025207m.g	Sdiv_ptg000005l_0718-R, Sdiv_ptg000004l_1038-R
OG0000077	Thhalv10003210m.g	Sdiv_ptg000012l_1643-R, Sdiv_ptg000007l_0643-R
