Orthogroup	S_pinnata	S_diversifolius
OG0000002	Stapi.0283s0012, Stapi.0158s0011, Stapi.1192s0002, Stapi.0085s0027, Stapi.3845s0003, Stapi.0005s0064, Stapi.4357s0004, Stapi.1630s0003, Stapi.2519s0001, Stapi.0003s0031, Stapi.0386s0015, Stapi.1714s0002, Stapi.0613s0009, Stapi.12495s0001, Stapi.0346s0017, Stapi.2868s0006, Stapi.0799s0007, Stapi.1032s0012, Stapi.0335s0003, Stapi.22351s0001, Stapi.8824s0003, Stapi.4200s0001, Stapi.0192s0006, Stapi.0283s0015, Stapi.0321s0004, Stapi.0053s0005, Stapi.2555s0002, Stapi.7858s0001, Stapi.0277s0013, Stapi.0165s0021, Stapi.0067s0022, Stapi.0100s0019, Stapi.0777s0011, Stapi.15839s0001, Stapi.0059s0011, Stapi.0007s0031, Stapi.0435s0007, Stapi.2435s0002, Stapi.0256s0014, Stapi.1013s0005, Stapi.0169s0006, Stapi.0984s0001, Stapi.8621s0001, Stapi.1176s0005, Stapi.1444s0004, Stapi.0136s0012, Stapi.0183s0004, Stapi.1547s0003, Stapi.1100s0002, Stapi.0611s0018, Stapi.16222s0001, Stapi.0435s0008, Stapi.0311s0012, Stapi.0901s0017, Stapi.0036s0030, Stapi.0010s0055, Stapi.1013s0004, Stapi.19194s0001, Stapi.0547s0004, Stapi.0269s0019, Stapi.0427s0003, Stapi.0054s0086	Sdiv_ptg000001l_0441-R
OG0000002	Stapi.0024s0008, Stapi.11181s0001, Stapi.3304s0001, Stapi.0013s0059, Stapi.1134s0001, Stapi.0187s0007, Stapi.0168s0007, Stapi.4114s0002, Stapi.0049s0024, Stapi.1422s0014, Stapi.0094s0013, Stapi.29491s0001, Stapi.0058s0001, Stapi.1691s0002, Stapi.0067s0013, Stapi.0361s0016, Stapi.0094s0001, Stapi.0022s0045, Stapi.3436s0003, Stapi.0036s0038, Stapi.0100s0020, Stapi.0048s0006, Stapi.4498s0001, Stapi.0706s0004, Stapi.1377s0002, Stapi.0012s0029, Stapi.0568s0001, Stapi.0242s0005, Stapi.1267s0002, Stapi.0008s0042, Stapi.1205s0005, Stapi.0089s0031, Stapi.0321s0002, Stapi.0011s0024, Stapi.0031s0040, Stapi.0023s0093, Stapi.1217s0002, Stapi.0337s0003, Stapi.1101s0005, Stapi.0078s0001, Stapi.0088s0012, Stapi.1086s0005, Stapi.0051s0022, Stapi.0383s0006, Stapi.1086s0004, Stapi.0969s0003, Stapi.0812s0004, Stapi.1415s0005, Stapi.0113s0021, Stapi.0090s0002, Stapi.0416s0001, Stapi.4733s0001, Stapi.0944s0007, Stapi.0052s0053, Stapi.0011s0036, Stapi.0012s0050, Stapi.1291s0001, Stapi.0052s0058, Stapi.1503s0002, Stapi.2334s0004, Stapi.16968s0001, Stapi.0187s0006, Stapi.1114s0007, Stapi.0275s0014, Stapi.0013s0047, Stapi.0010s0050, Stapi.0091s0016, Stapi.1969s0002, Stapi.0117s0002, Stapi.20196s0001, Stapi.0078s0028, Stapi.0189s0001, Stapi.0306s0003, Stapi.0240s0003, Stapi.1014s0003, Stapi.0509s0001, Stapi.16556s0002, Stapi.17227s0001, Stapi.0189s0006, Stapi.0086s0005, Stapi.14716s0001, Stapi.0099s0020, Stapi.0035s0005, Stapi.0154s0005, Stapi.0297s0006, Stapi.13996s0001, Stapi.5649s0001, Stapi.0405s0001, Stapi.0015s0021, Stapi.0493s0006, Stapi.0341s0008, Stapi.0160s0023, Stapi.2864s0003, Stapi.0239s0012, Stapi.0355s0006, Stapi.10335s0001, Stapi.5420s0002, Stapi.0978s0002, Stapi.0057s0031, Stapi.3395s0001, Stapi.0023s0091, Stapi.0614s0003, Stapi.17758s0001, Stapi.0010s0030, Stapi.3993s0003, Stapi.7392s0004, Stapi.0062s0020, Stapi.0037s0028, Stapi.0213s0016, Stapi.0133s0024, Stapi.1361s0006, Stapi.0158s0001, Stapi.0524s0006, Stapi.0121s0004, Stapi.0052s0038, Stapi.4421s0001, Stapi.0088s0007, Stapi.0107s0002, Stapi.9328s0001, Stapi.0070s0003, Stapi.0842s0001, Stapi.0152s0009, Stapi.0093s0016, Stapi.0259s0013, Stapi.0063s0034, Stapi.0005s0044, Stapi.0164s0014, Stapi.0005s0037, Stapi.0012s0034, Stapi.11091s0001, Stapi.0087s0022, Stapi.5007s0002, Stapi.7651s0002, Stapi.0321s0009, Stapi.12991s0001, Stapi.0295s0008, Stapi.5076s0001, Stapi.0090s0015, Stapi.0065s0022, Stapi.2599s0002, Stapi.0615s0006, Stapi.0690s0006, Stapi.0211s0009, Stapi.2875s0003, Stapi.0539s0003, Stapi.0013s0029, Stapi.0347s0003, Stapi.0404s0004, Stapi.1275s0004, Stapi.0354s0005, Stapi.0878s0003, Stapi.0011s0021, Stapi.0011s0019, Stapi.0011s0020, Stapi.0215s0014, Stapi.0052s0050, Stapi.0096s0002, Stapi.0216s0014, Stapi.1615s0005, Stapi.0011s0038, Stapi.0423s0002, Stapi.0618s0013, Stapi.0041s0014, Stapi.0905s0001, Stapi.0607s0006, Stapi.0069s0011, Stapi.5685s0001, Stapi.1871s0003, Stapi.3544s0001, Stapi.1434s0014, Stapi.0069s0015, Stapi.0033s0014, Stapi.0019s0053, Stapi.1048s0001, Stapi.0955s0005, Stapi.0295s0013, Stapi.0171s0008, Stapi.0052s0032, Stapi.0546s0009, Stapi.0717s0002, Stapi.0001s0014, Stapi.1665s0003, Stapi.28464s0001, Stapi.0029s0001, Stapi.0079s0026, Stapi.1050s0004, Stapi.0041s0024, Stapi.2174s0002, Stapi.0368s0003, Stapi.0083s0002, Stapi.1174s0002, Stapi.0427s0004, Stapi.0283s0006, Stapi.0300s0014, Stapi.0008s0030, Stapi.2176s0001, Stapi.0013s0028, Stapi.0141s0002, Stapi.2494s0003, Stapi.0046s0015, Stapi.0164s0016, Stapi.0048s0015, Stapi.0452s0005, Stapi.0112s0013, Stapi.2890s0003, Stapi.0612s0006, Stapi.3377s0001, Stapi.0023s0052, Stapi.0192s0013, Stapi.0835s0003, Stapi.0015s0065, Stapi.3196s0001, Stapi.0398s0003, Stapi.0271s0003, Stapi.0003s0057, Stapi.1277s0001, Stapi.0019s0057, Stapi.13986s0001, Stapi.15071s0001, Stapi.0020s0042, Stapi.0893s0007, Stapi.4078s0001, Stapi.0006s0033, Stapi.0022s0002, Stapi.5446s0001, Stapi.5303s0001, Stapi.8593s0002, Stapi.0071s0004, Stapi.3699s0003, Stapi.0171s0002, Stapi.0515s0007, Stapi.0046s0010, Stapi.0142s0002, Stapi.0076s0023, Stapi.0052s0060, Stapi.0161s0026, Stapi.16673s0001, Stapi.0078s0025, Stapi.1601s0004, Stapi.0422s0017, Stapi.2271s0001, Stapi.1110s0010, Stapi.0712s0004, Stapi.5201s0001, Stapi.0465s0030, Stapi.0260s0003, Stapi.0015s0023, Stapi.0024s0029, Stapi.0076s0014, Stapi.4008s0003, Stapi.3212s0001, Stapi.0023s0064, Stapi.0066s0002, Stapi.0278s0003, Stapi.0054s0014, Stapi.0055s0014, Stapi.0014s0004, Stapi.1050s0006, Stapi.0133s0005, Stapi.0103s0007, Stapi.0256s0003, Stapi.0439s0004, Stapi.1860s0002, Stapi.1429s0002, Stapi.4684s0001, Stapi.0034s0016, Stapi.0023s0099, Stapi.9055s0001, Stapi.5342s0003, Stapi.1577s0005, Stapi.0303s0004, Stapi.0236s0013, Stapi.0050s0029, Stapi.1433s0007, Stapi.0008s0041, Stapi.0854s0002, Stapi.0017s0005, Stapi.0019s0051, Stapi.0013s0020, Stapi.2943s0004, Stapi.0106s0001, Stapi.0409s0004, Stapi.0475s0007, Stapi.0066s0015, Stapi.5705s0001, Stapi.0068s0030, Stapi.0365s0008, Stapi.1114s0008, Stapi.0508s0008, Stapi.3429s0004, Stapi.3461s0001, Stapi.0546s0001, Stapi.0678s0004, Stapi.5705s0002, Stapi.0007s0019, Stapi.2663s0001, Stapi.2411s0003, Stapi.3640s0001, Stapi.2087s0006, Stapi.4231s0002, Stapi.0054s0025, Stapi.0008s0048, Stapi.0982s0001, Stapi.0012s0059, Stapi.0087s0008, Stapi.0398s0005, Stapi.0409s0007, Stapi.0053s0001, Stapi.0360s0001, Stapi.2071s0004, Stapi.0088s0014, Stapi.0699s0001, Stapi.15744s0001, Stapi.0882s0001, Stapi.0369s0002, Stapi.0178s0014, Stapi.0479s0003, Stapi.3066s0003, Stapi.0927s0001, Stapi.0012s0033, Stapi.0714s0001, Stapi.6686s0002, Stapi.6559s0002, Stapi.0281s0004, Stapi.0178s0011, Stapi.0096s0006, Stapi.0691s0003, Stapi.0050s0004, Stapi.2192s0003, Stapi.1749s0001, Stapi.2210s0002, Stapi.0120s0020, Stapi.0056s0044, Stapi.1387s0004, Stapi.0062s0015, Stapi.0022s0039, Stapi.0024s0031, Stapi.0234s0030, Stapi.0229s0004, Stapi.0113s0011, Stapi.4568s0001, Stapi.0001s0027, Stapi.0216s0019, Stapi.0159s0010, Stapi.0013s0049, Stapi.9351s0001, Stapi.1844s0004, Stapi.0236s0002, Stapi.0068s0016, Stapi.1099s0005, Stapi.1550s0001, Stapi.1634s0002, Stapi.0398s0002, Stapi.0241s0001, Stapi.0180s0002, Stapi.0407s0010, Stapi.0821s0005, Stapi.1671s0004, Stapi.0015s0056, Stapi.0005s0059, Stapi.0020s0025, Stapi.0036s0064, Stapi.2650s0003, Stapi.0160s0024, Stapi.0009s0030, Stapi.2818s0002, Stapi.3448s0002, Stapi.1397s0001, Stapi.0088s0001, Stapi.0809s0001, Stapi.0063s0001, Stapi.0252s0020, Stapi.0034s0026, Stapi.0075s0022, Stapi.0023s0011, Stapi.0030s0010, Stapi.0066s0005, Stapi.0008s0017, Stapi.0258s0010, Stapi.2516s0001, Stapi.0012s0003, Stapi.0011s0016, Stapi.5755s0001, Stapi.0990s0002, Stapi.0712s0005, Stapi.3150s0001, Stapi.0063s0019, Stapi.1783s0001, Stapi.0740s0005, Stapi.1094s0002, Stapi.0697s0002, Stapi.0167s0020, Stapi.0546s0004, Stapi.0258s0011, Stapi.0179s0018, Stapi.0042s0036, Stapi.0072s0004, Stapi.0423s0006, Stapi.3202s0001, Stapi.0012s0025, Stapi.0015s0022, Stapi.7570s0001, Stapi.1836s0003, Stapi.0050s0024, Stapi.4137s0002, Stapi.0055s0022, Stapi.2191s0001, Stapi.0001s0030, Stapi.0292s0005, Stapi.0165s0004, Stapi.0002s0019, Stapi.0650s0001, Stapi.2146s0002, Stapi.2292s0007, Stapi.0384s0002, Stapi.0941s0001, Stapi.1509s0002, Stapi.0531s0001, Stapi.0179s0017, Stapi.6279s0001, Stapi.0005s0020, Stapi.0189s0013, Stapi.1461s0001, Stapi.0022s0020, Stapi.8660s0001, Stapi.0547s0007, Stapi.0033s0029, Stapi.0064s0003, Stapi.0192s0021, Stapi.0464s0005, Stapi.0120s0011, Stapi.0814s0001, Stapi.0213s0005, Stapi.5648s0003, Stapi.0015s0042, Stapi.0715s0004, Stapi.0046s0024, Stapi.0055s0003, Stapi.0139s0010, Stapi.1765s0013, Stapi.5863s0001, Stapi.15855s0001, Stapi.0398s0001, Stapi.2680s0004, Stapi.0178s0005, Stapi.3519s0001, Stapi.1129s0007, Stapi.0770s0003, Stapi.5382s0001, Stapi.0036s0009, Stapi.1473s0004, Stapi.0844s0001, Stapi.16556s0003, Stapi.0022s0035, Stapi.0020s0027, Stapi.4775s0001, Stapi.0790s0013, Stapi.0088s0013, Stapi.0054s0020, Stapi.0740s0006, Stapi.10495s0001, Stapi.0120s0002, Stapi.0009s0002, Stapi.0256s0010, Stapi.2818s0001, Stapi.0014s0037, Stapi.0088s0008, Stapi.0223s0004, Stapi.0023s0042, Stapi.0216s0018, Stapi.0036s0016, Stapi.0036s0015, Stapi.5748s0002, Stapi.0430s0008, Stapi.1615s0006, Stapi.0027s0027, Stapi.0251s0006, Stapi.0011s0041, Stapi.0402s0003, Stapi.22638s0001, Stapi.4904s0001, Stapi.0303s0007, Stapi.0026s0033, Stapi.1822s0001, Stapi.0303s0001, Stapi.1827s0003, Stapi.0337s0005, Stapi.0394s0002, Stapi.1011s0004, Stapi.1577s0004, Stapi.0415s0017, Stapi.1048s0004, Stapi.0058s0003, Stapi.0033s0049, Stapi.0366s0007, Stapi.1997s0002, Stapi.0493s0011, Stapi.0017s0016, Stapi.0157s0013, Stapi.0153s0008, Stapi.3807s0001, Stapi.0329s0011, Stapi.16165s0001, Stapi.2685s0004, Stapi.0113s0014, Stapi.0445s0005, Stapi.0011s0017, Stapi.0076s0021, Stapi.0089s0032, Stapi.0041s0006, Stapi.0111s0017, Stapi.0001s0028, Stapi.4024s0001, Stapi.0012s0022, Stapi.6372s0002, Stapi.0515s0005, Stapi.2243s0003, Stapi.0112s0007, Stapi.5479s0002, Stapi.0113s0012, Stapi.0035s0008, Stapi.0283s0007, Stapi.0283s0005, Stapi.0204s0001, Stapi.0445s0002, Stapi.0096s0008, Stapi.0071s0015, Stapi.0031s0028, Stapi.0064s0021, Stapi.0006s0006, Stapi.0052s0059, Stapi.0016s0047, Stapi.1176s0004, Stapi.0023s0109, Stapi.0198s0001, Stapi.0035s0022, Stapi.0836s0003, Stapi.0639s0004, Stapi.7054s0001, Stapi.3379s0001, Stapi.0470s0001, Stapi.0261s0006, Stapi.7265s0001, Stapi.0023s0079, Stapi.0009s0027, Stapi.0041s0037, Stapi.1129s0003, Stapi.1796s0003, Stapi.0023s0051, Stapi.4954s0002, Stapi.0066s0006, Stapi.0053s0014, Stapi.0174s0007, Stapi.0075s0025, Stapi.1789s0003, Stapi.3720s0001, Stapi.0143s0012, Stapi.0172s0018, Stapi.2809s0001, Stapi.1374s0003, Stapi.5207s0001, Stapi.0114s0018, Stapi.0052s0040, Stapi.1101s0007, Stapi.0240s0005, Stapi.1844s0005, Stapi.0007s0052, Stapi.3182s0002, Stapi.0685s0012, Stapi.0740s0001, Stapi.3743s0001, Stapi.0067s0002, Stapi.20363s0001, Stapi.0384s0003, Stapi.0032s0030, Stapi.13524s0002, Stapi.0672s0002, Stapi.1205s0006, Stapi.0607s0002, Stapi.0629s0005, Stapi.2846s0002, Stapi.0314s0010, Stapi.0003s0016, Stapi.1962s0002, Stapi.0940s0002, Stapi.0094s0021, Stapi.0276s0013, Stapi.0058s0025, Stapi.0245s0003, Stapi.1665s0005, Stapi.8408s0002, Stapi.1567s0003, Stapi.0154s0008, Stapi.0031s0036, Stapi.0015s0070, Stapi.0178s0020, Stapi.0091s0019, Stapi.0003s0059, Stapi.3304s0002, Stapi.0006s0034, Stapi.0086s0027, Stapi.0030s0011, Stapi.0584s0004, Stapi.0019s0042, Stapi.3377s0003, Stapi.0870s0008, Stapi.0261s0005, Stapi.0087s0011, Stapi.0157s0001, Stapi.2282s0001, Stapi.0039s0015, Stapi.6546s0001, Stapi.1827s0002, Stapi.2990s0001, Stapi.9418s0001, Stapi.1740s0004, Stapi.0800s0006, Stapi.0003s0045, Stapi.0029s0027, Stapi.0023s0067, Stapi.0206s0003, Stapi.5024s0001, Stapi.0089s0028, Stapi.0288s0005, Stapi.0615s0001, Stapi.0192s0019, Stapi.26364s0001, Stapi.11426s0001, Stapi.4116s0003, Stapi.0010s0053, Stapi.0013s0038, Stapi.0202s0034, Stapi.10635s0001, Stapi.0066s0012, Stapi.0148s0011, Stapi.0157s0009, Stapi.0033s0023, Stapi.0256s0017, Stapi.0029s0028, Stapi.0239s0015, Stapi.0010s0035, Stapi.0023s0043, Stapi.0022s0062, Stapi.3397s0001, Stapi.0791s0003, Stapi.0900s0005, Stapi.0258s0005, Stapi.4889s0003, Stapi.0061s0006, Stapi.0063s0016, Stapi.7484s0001, Stapi.9180s0001, Stapi.0225s0002, Stapi.0607s0005, Stapi.0078s0006, Stapi.0032s0023, Stapi.9499s0001, Stapi.0187s0004, Stapi.0031s0020, Stapi.1190s0009, Stapi.0081s0010, Stapi.0201s0004, Stapi.0699s0002, Stapi.0125s0026, Stapi.0107s0017, Stapi.4663s0002, Stapi.15615s0002, Stapi.0036s0014, Stapi.0774s0006, Stapi.2218s0002, Stapi.0415s0009, Stapi.5762s0001, Stapi.0402s0005, Stapi.7040s0001, Stapi.0535s0002, Stapi.18459s0001, Stapi.0015s0026, Stapi.0197s0010, Stapi.0472s0011, Stapi.0467s0006, Stapi.2184s0003, Stapi.0003s0061, Stapi.0537s0002, Stapi.0011s0029, Stapi.7157s0001, Stapi.1832s0002, Stapi.0024s0035, Stapi.1997s0001, Stapi.0011s0032, Stapi.0151s0013, Stapi.0152s0022, Stapi.0015s0079, Stapi.2078s0001, Stapi.0087s0005, Stapi.0055s0011, Stapi.0002s0005, Stapi.0895s0009, Stapi.0015s0043, Stapi.1176s0001	Sdiv_ptg000014l_1842-R
OG0000013	Stapi.1634s0004	Sdiv_ptg000629l_0004-R, Sdiv_ptg000942l_0006-R, Sdiv_ptg000558l_0001-R, Sdiv_ptg000037l_0001-R, Sdiv_ptg000062l_0004-R, Sdiv_ptg000127l_0004-R, Sdiv_ptg000132l_0002-R, Sdiv_ptg000155l_0001-R, Sdiv_ptg000055l_0006-R, Sdiv_ptg000120l_0007-R, Sdiv_ptg000080l_0008-R, Sdiv_ptg000075l_0002-R, Sdiv_ptg000038l_0005-R, Sdiv_ptg000142l_0003-R, Sdiv_ptg000104l_0001-R, Sdiv_ptg000077l_0008-R, Sdiv_ptg000152l_0002-R, Sdiv_ptg000094l_0004-R, Sdiv_ptg000116l_0001-R, Sdiv_ptg000118l_0006-R, Sdiv_ptg000021l_0008-R, Sdiv_ptg000168l_0003-R, Sdiv_ptg000149l_0009-R, Sdiv_ptg000112l_0001-R, Sdiv_ptg000017l_0001-R, Sdiv_ptg000146l_0004-R, Sdiv_ptg000098l_0006-R, Sdiv_ptg000743l_0007-R, Sdiv_ptg000274l_0007-R, Sdiv_ptg000358l_0010-R, Sdiv_ptg000568l_0003-R, Sdiv_ptg000722l_0002-R, Sdiv_ptg000525l_0004-R, Sdiv_ptg001087l_0006-R, Sdiv_ptg001133l_0001-R, Sdiv_ptg000775l_0001-R, Sdiv_ptg000983l_0002-R, Sdiv_ptg000464l_0006-R, Sdiv_ptg000758l_0005-R, Sdiv_ptg000264l_0003-R, Sdiv_ptg000785l_0002-R, Sdiv_ptg000488l_0002-R, Sdiv_ptg000336l_0003-R, Sdiv_ptg000670l_0002-R, Sdiv_ptg000714l_0006-R, Sdiv_ptg000497l_0004-R, Sdiv_ptg000806l_0004-R, Sdiv_ptg000612l_0009-R, Sdiv_ptg000879l_0007-R, Sdiv_ptg000837l_0001-R, Sdiv_ptg000769l_0008-R, Sdiv_ptg000177l_0001-R, Sdiv_ptg000403l_0004-R, Sdiv_ptg000734l_0001-R, Sdiv_ptg000659l_0006-R, Sdiv_ptg000877l_0006-R, Sdiv_ptg000189l_0004-R, Sdiv_ptg000599l_0010-R, Sdiv_ptg000948l_0001-R, Sdiv_ptg000427l_0006-R, Sdiv_ptg000570l_0002-R, Sdiv_ptg000790l_0007-R, Sdiv_ptg000206l_0006-R, Sdiv_ptg001099l_0004-R, Sdiv_ptg000298l_0001-R, Sdiv_ptg000757l_0002-R, Sdiv_ptg000860l_0002-R, Sdiv_ptg000547l_0007-R, Sdiv_ptg000721l_0003-R, Sdiv_ptg000789l_0006-R, Sdiv_ptg000882l_0005-R, Sdiv_ptg000675l_0006-R, Sdiv_ptg000307l_0006-R, Sdiv_ptg000750l_0003-R, Sdiv_ptg001177l_0007-R, Sdiv_ptg000250l_0002-R, Sdiv_ptg000191l_0002-R, Sdiv_ptg000326l_0004-R, Sdiv_ptg000927l_0006-R, Sdiv_ptg001055l_0001-R, Sdiv_ptg000590l_0007-R, Sdiv_ptg000510l_0006-R, Sdiv_ptg000193l_0007-R, Sdiv_ptg000329l_0002-R, Sdiv_ptg001008l_0006-R, Sdiv_ptg001065l_0004-R, Sdiv_ptg000369l_0004-R, Sdiv_ptg000465l_0001-R, Sdiv_ptg000893l_0008-R, Sdiv_ptg001062l_0006-R, Sdiv_ptg000809l_0002-R, Sdiv_ptg000517l_0003-R, Sdiv_ptg000302l_0004-R, Sdiv_ptg000347l_0002-R, Sdiv_ptg001157l_0001-R, Sdiv_ptg000611l_0006-R, Sdiv_ptg000764l_0002-R, Sdiv_ptg000813l_0006-R, Sdiv_ptg000624l_0001-R, Sdiv_ptg000709l_0001-R, Sdiv_ptg000921l_0005-R, Sdiv_ptg000402l_0008-R, Sdiv_ptg000667l_0002-R, Sdiv_ptg001173l_0005-R, Sdiv_ptg000188l_0005-R, Sdiv_ptg000917l_0006-R, Sdiv_ptg000344l_0003-R, Sdiv_ptg000916l_0002-R, Sdiv_ptg000362l_0002-R, Sdiv_ptg000331l_0006-R, Sdiv_ptg000296l_0006-R, Sdiv_ptg000998l_0004-R, Sdiv_ptg000992l_0003-R, Sdiv_ptg001033l_0001-R, Sdiv_ptg000401l_0007-R, Sdiv_ptg000925l_0006-R, Sdiv_ptg001053l_0006-R, Sdiv_ptg000818l_0004-R, Sdiv_ptg000474l_0005-R, Sdiv_ptg000455l_0004-R, Sdiv_ptg000316l_0006-R, Sdiv_ptg000384l_0001-R, Sdiv_ptg001120l_0002-R, Sdiv_ptg000458l_0002-R, Sdiv_ptg001057l_0004-R, Sdiv_ptg000227l_0005-R, Sdiv_ptg000792l_0002-R, Sdiv_ptg001125l_0006-R, Sdiv_ptg000964l_0001-R, Sdiv_ptg000291l_0006-R, Sdiv_ptg001019l_0001-R, Sdiv_ptg000880l_0002-R, Sdiv_ptg000339l_0008-R, Sdiv_ptg000500l_0005-R, Sdiv_ptg000240l_0001-R, Sdiv_ptg000251l_0003-R, Sdiv_ptg000475l_0004-R, Sdiv_ptg000443l_0002-R, Sdiv_ptg001153l_0005-R, Sdiv_ptg000301l_0005-R, Sdiv_ptg000327l_0006-R, Sdiv_ptg001050l_0006-R, Sdiv_ptg001059l_0006-R, Sdiv_ptg000985l_0004-R, Sdiv_ptg000501l_0007-R, Sdiv_ptg000725l_0008-R, Sdiv_ptg001063l_0005-R, Sdiv_ptg000715l_0006-R, Sdiv_ptg000760l_0006-R, Sdiv_ptg001037l_0004-R, Sdiv_ptg000799l_0004-R, Sdiv_ptg000299l_0001-R, Sdiv_ptg000541l_0005-R, Sdiv_ptg000787l_0002-R, Sdiv_ptg000695l_0004-R, Sdiv_ptg000237l_0006-R, Sdiv_ptg000979l_0006-R, Sdiv_ptg000665l_0008-R, Sdiv_ptg000589l_0004-R, Sdiv_ptg000756l_0001-R, Sdiv_ptg001148l_0001-R, Sdiv_ptg001054l_0001-R, Sdiv_ptg000662l_0005-R, Sdiv_ptg000238l_0007-R, Sdiv_ptg000817l_0004-R, Sdiv_ptg000845l_0004-R, Sdiv_ptg000269l_0006-R, Sdiv_ptg001010l_0002-R, Sdiv_ptg000557l_0006-R, Sdiv_ptg000322l_0001-R, Sdiv_ptg000938l_0002-R, Sdiv_ptg000638l_0006-R, Sdiv_ptg000259l_0005-R, Sdiv_ptg000252l_0002-R, Sdiv_ptg000473l_0002-R, Sdiv_ptg000593l_0006-R, Sdiv_ptg000351l_0002-R, Sdiv_ptg001161l_0007-R, Sdiv_ptg001178l_0003-R, Sdiv_ptg000773l_0001-R, Sdiv_ptg000933l_0001-R, Sdiv_ptg000947l_0001-R, Sdiv_ptg000668l_0006-R, Sdiv_ptg001058l_0004-R, Sdiv_ptg001135l_0004-R, Sdiv_ptg000586l_0003-R, Sdiv_ptg000260l_0002-R, Sdiv_ptg000246l_0001-R, Sdiv_ptg000540l_0008-R, Sdiv_ptg000553l_0001-R, Sdiv_ptg000939l_0002-R, Sdiv_ptg000395l_0002-R, Sdiv_ptg000716l_0004-R
OG0000013	Stapi.0421s0022	Sdiv_ptg000527l_0007-R
OG0000016	Stapi.0390s0026	Sdiv_ptg000547l_0002-R
OG0000016	Stapi.0390s0025	Sdiv_ptg000156l_0001-R, Sdiv_ptg000743l_0001-R, Sdiv_ptg000658l_0002-R
OG0000016	Stapi.2858s0010	Sdiv_ptg000809l_0008-R, Sdiv_ptg000935l_0004-R, Sdiv_ptg000220l_0002-R, Sdiv_ptg000735l_0006-R, Sdiv_ptg000322l_0007-R, Sdiv_ptg000323l_0001-R
OG0000045	Stapi.17558s0001	Sdiv_ptg000003l_0606-R
OG0000045	Stapi.3797s0008	Sdiv_ptg000002l_0501-R
OG0000046	Stapi.0048s0036, Stapi.8980s0003, Stapi.14589s0001, Stapi.5875s0001, Stapi.1888s0002, Stapi.0976s0008, Stapi.3093s0005, Stapi.0670s0012, Stapi.1542s0002, Stapi.5877s0002, Stapi.16395s0001, Stapi.2131s0006, Stapi.3281s0008, Stapi.1299s0008, Stapi.0058s0009, Stapi.0858s0005, Stapi.2176s0006, Stapi.7627s0002, Stapi.13496s0001, Stapi.4672s0001, Stapi.0279s0006, Stapi.0194s0014, Stapi.0235s0014, Stapi.0356s0015, Stapi.1752s0003, Stapi.0535s0006, Stapi.6990s0006, Stapi.9771s0001, Stapi.0317s0008, Stapi.11182s0001, Stapi.16207s0001, Stapi.6871s0002, Stapi.0875s0008, Stapi.4869s0004, Stapi.10989s0001, Stapi.9023s0001, Stapi.5756s0002, Stapi.1118s0004, Stapi.3207s0001, Stapi.0055s0004, Stapi.0001s0058, Stapi.0224s0010, Stapi.0605s0011, Stapi.1157s0002, Stapi.3140s0002, Stapi.0685s0003, Stapi.0902s0004, Stapi.10663s0002, Stapi.2472s0009, Stapi.0080s0024, Stapi.20460s0001, Stapi.0001s0016, Stapi.0859s0003, Stapi.0645s0004, Stapi.0129s0023, Stapi.0016s0058, Stapi.0103s0021, Stapi.3425s0003, Stapi.0735s0011, Stapi.0085s0032, Stapi.0256s0011, Stapi.1452s0005, Stapi.1725s0010	Sdiv_ptg000007l_0998-R
